rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Joseph Addai,IND,RB,4,0,0,0,294,2,22,118,0,0,0,0,0,16.1,64.2
2,Thomas Jones,CHI,RB,3,0,0,0,301,4,6,24,0,0,0,0,0,19.8,59.5
3,Adam Vinatieri,IND,K,4,0,0,0,0,0,0,0,0,0,0,0,0,12.8,51.0
4,Brian Westbrook,PHI,RB,2,0,0,0,257,3,5,17,0,0,0,0,0,23.9,47.9
5,Dominic Rhodes,IND,RB,4,0,0,0,306,1,7,70,0,0,0,0,0,11.8,47.1
6,Jabar Gaffney,NE,WR,3,0,0,0,0,0,21,244,2,0,0,0,0,15.6,46.9
7,Peyton Manning,IND,QB,4,1034,3,7,3,1,0,0,0,0,0,0,0,11.4,45.7
8,Tom Brady,NE,QB,3,724,5,4,18,0,0,0,0,0,0,0,0,14.3,42.8
9,Dallas Clark,IND,TE,4,0,0,0,1,0,21,317,0,0,0,0,0,10.6,42.3
10,Reggie Wayne,IND,WR,4,0,0,0,0,0,17,216,2,0,0,0,0,10.5,42.1
11,Bernard Berrian,CHI,WR,3,0,0,0,0,0,14,228,2,0,0,0,0,13.9,41.8
12,Deuce McAllister,NO,RB,2,0,0,0,161,1,7,47,1,0,0,0,0,18.1,36.3
13,Stephen Gostkowski,NE,K,3,0,0,0,0,0,0,0,0,0,0,0,0,11.0,33.0
14,Asante Samuel,NE,CB,3,0,0,0,0,0,0,0,0,0,2,0,0,11.0,33.0
15,Bob Sanders,IND,FS,4,0,0,0,0,0,0,0,0,0,2,1,0,8.1,32.5
16,LaDainian Tomlinson,LAC,RB,1,0,0,0,123,2,2,64,0,0,0,0,0,31.7,31.7
17,R. Caldwell,NE,WR,3,0,0,0,0,0,16,176,1,0,0,0,1,10.5,31.6
18,Shaun Alexander,SEA,RB,2,0,0,0,177,2,1,12,0,0,0,0,0,15.7,31.4
