rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Aaron Rodgers,GB,QB,16,4381,38,5,269,2,0,0,0,0,0,0,0,22.1,354.1
2,Andrew Luck,IND,QB,16,4761,40,16,263,3,0,0,0,0,0,0,0,21.9,350.7
3,Le'Veon Bell,PIT,RB,16,0,0,0,1361,8,83,854,3,0,0,0,0,20.6,329.0
4,Russell Wilson,SEA,QB,16,3475,20,7,849,6,1,17,0,0,0,0,0,20.5,328.1
5,DeMarco Murray,DAL,RB,16,0,0,0,1845,13,57,416,0,0,0,0,0,20.2,322.6
6,Antonio Brown,PIT,WR,16,20,1,0,13,0,129,1698,13,0,0,0,0,19.8,316.4
7,Peyton Manning,DEN,QB,16,4727,39,15,-24,0,0,0,0,0,0,0,0,19.5,312.7
8,Ben Roethlisberger,PIT,QB,16,4952,32,9,27,0,0,-6,0,0,0,0,0,19.1,306.2
9,Drew Brees,NO,QB,16,4952,33,17,68,1,1,1,0,0,0,0,0,19.0,303.5
10,Matt Forte,CHI,RB,16,0,0,0,1038,6,102,808,4,0,0,0,0,18.5,295.6
11,Demaryius Thomas,DEN,WR,16,0,0,0,0,0,111,1619,11,0,0,0,0,17.8,285.4
12,Matt Ryan,ATL,QB,16,4694,28,14,145,0,0,0,0,0,0,0,0,17.8,284.3
13,Marshawn Lynch,SEA,RB,16,0,0,0,1306,13,37,367,4,0,0,0,0,17.7,283.8
14,Ryan Tannehill,MIA,QB,16,4045,27,12,311,1,1,-4,0,0,0,0,0,17.4,279.0
15,Jordy Nelson,GB,WR,16,0,0,0,0,0,98,1519,13,0,0,0,0,17.4,278.9
16,Tom Brady,NE,QB,16,4109,33,9,57,0,0,0,0,0,0,0,0,17.4,278.1
17,J.J. Watt,HOU,DE,16,0,0,0,0,0,3,4,3,21,1,4,5,17.3,276.4
18,Dez Bryant,DAL,WR,16,0,0,0,0,0,88,1320,16,0,0,0,0,17.0,272.0
19,Eli Manning,NYG,QB,16,4410,30,14,31,1,0,0,0,0,0,0,0,16.8,269.5
20,Tony Romo,DAL,QB,15,3705,34,9,61,0,0,0,0,0,0,0,0,17.8,266.3
21,Philip Rivers,LAC,QB,16,4286,31,18,104,0,0,0,0,0,0,0,0,16.6,265.8
22,Joe Flacco,BAL,QB,16,3986,27,12,70,2,0,0,0,0,0,0,0,16.4,262.4
23,Jay Cutler,CHI,QB,15,3812,28,18,191,2,0,0,0,0,0,0,0,17.0,255.6
24,Arian Foster,HOU,RB,13,5,1,0,1246,8,38,327,5,0,0,0,0,19.6,254.5
25,Eddie Lacy,GB,RB,16,0,0,0,1139,9,42,427,4,0,0,0,0,15.7,251.6
26,Matthew Stafford,DET,QB,16,4257,22,12,93,2,0,0,0,0,0,0,0,15.7,251.6
27,Emmanuel Sanders,DEN,WR,16,0,0,0,44,0,101,1404,9,0,0,0,0,15.7,251.3
28,Colin Kaepernick,SF,QB,16,3369,19,10,641,1,0,0,0,0,0,0,0,15.7,250.9
29,Odell Beckham Jr.,NYG,WR,12,0,0,0,35,0,91,1305,12,0,0,0,0,20.8,249.5
30,Cam Newton,CAR,QB,14,3127,18,12,539,5,0,0,0,0,0,0,0,17.8,249.0
31,Randall Cobb,GB,WR,16,0,0,0,37,0,91,1287,12,0,0,0,0,15.5,247.9
32,Julio Jones,ATL,WR,15,0,0,0,1,0,104,1593,6,0,0,0,0,16.4,245.4
33,Jeremy Maclin,PHI,WR,16,0,0,0,0,0,86,1329,10,0,0,0,0,14.7,235.9
34,Jamaal Charles,KC,RB,15,0,0,0,1033,9,40,291,5,0,0,0,0,15.4,230.4
35,Rob Gronkowski,NE,TE,15,0,0,0,0,0,82,1124,12,0,0,0,0,15.0,225.4
36,Andy Dalton,CIN,QB,16,3398,19,17,169,4,1,18,1,0,0,0,0,14.1,225.1
37,Justin Forsett,BAL,RB,16,0,0,0,1266,8,44,263,0,0,0,0,0,14.1,224.9
38,Alex Smith,KC,QB,15,3265,18,6,254,1,0,0,0,0,0,0,0,14.7,220.0
39,Alshon Jeffery,CHI,WR,16,0,0,0,33,0,85,1133,10,0,0,0,0,13.7,219.1
40,T.Y. Hilton,IND,WR,15,0,0,0,20,0,82,1345,7,0,0,1,0,14.5,217.5
41,Mike Evans,TB,WR,15,0,0,0,0,0,68,1051,12,0,0,0,0,14.1,211.1
42,Golden Tate,DET,WR,16,0,0,0,30,0,99,1331,4,0,0,0,0,13.1,209.6
43,Lamar Miller,MIA,RB,16,0,0,0,1099,8,38,275,1,0,0,0,0,12.8,204.4
44,Jeremy Hill,CIN,RB,16,0,0,0,1124,9,27,215,0,0,0,0,0,12.3,197.4
45,CJ Anderson,DEN,RB,15,0,0,0,849,8,34,324,2,0,0,0,0,13.0,194.3
46,DeAndre Hopkins,HOU,WR,16,0,0,0,0,0,76,1210,6,0,0,0,1,12.1,193.0
47,Derek Carr,LV,QB,16,3270,21,12,87,0,0,0,0,0,0,0,0,12.0,191.5
48,Calvin Johnson,DET,WR,13,0,0,0,0,0,71,1077,8,0,0,0,0,14.7,191.2
49,Kelvin Benjamin,CAR,WR,16,0,0,0,0,0,73,1008,9,0,0,0,0,11.8,189.3
50,Antonio Gates,LAC,TE,16,0,0,0,0,0,69,821,12,0,0,0,0,11.8,188.6
51,Jimmy Graham,NO,TE,16,0,0,0,0,0,85,889,10,0,0,1,0,11.7,187.4
52,LeSean McCoy,PHI,RB,16,0,0,0,1319,5,29,155,0,0,0,0,0,11.6,185.9
53,Justin Houston,KC,OLB,16,0,0,0,0,0,0,0,0,22,0,4,0,11.4,182.4
54,DeSean Jackson,WAS,WR,15,0,0,0,7,0,56,1169,6,0,0,0,0,12.1,181.6
55,Joique Bell,DET,RB,15,0,0,0,860,7,34,322,1,0,0,0,0,12.1,181.2
56,Steve Smith,BAL,WR,16,0,0,0,0,0,79,1065,6,0,0,0,0,11.2,180.0
57,Ryan Fitzpatrick,HOU,QB,12,2483,17,8,184,2,0,0,0,0,0,0,0,15.0,179.7
58,Teddy Bridgewater,MIN,QB,13,2919,14,12,209,1,0,0,0,0,0,0,0,13.8,179.7
59,Alfred Morris,WAS,RB,16,0,0,0,1074,8,17,155,0,0,0,0,0,11.2,179.4
60,Mike Wallace,MIA,WR,16,0,0,0,16,0,67,862,10,0,0,0,0,11.2,179.3
61,Greg Olsen,CAR,TE,16,0,0,0,0,0,84,1008,6,0,0,0,0,11.2,178.8
62,Anquan Boldin,SF,WR,16,0,0,0,4,0,83,1062,5,0,0,0,0,11.1,178.1
63,Mark Ingram II,NO,RB,13,0,0,0,964,9,29,145,0,0,0,0,0,13.6,177.4
