rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Will Grier,DAL,QB,3,640,4,2,74,2,0,0,0,0,0,0,0,19.0,57.0
2,Austin Watkins Jr.,CLE,WR,4,0,0,0,0,0,16,257,2,0,0,0,0,11.4,45.7
3,Julius Chestnut,TEN,RB,3,0,0,0,174,1,5,58,2,0,0,0,0,14.6,43.7
4,Jaleel McLaughlin,DEN,RB,3,0,0,0,113,3,7,33,1,0,0,0,0,14.0,42.1
5,Malik Willis,TEN,QB,3,485,3,4,130,1,0,0,0,0,0,0,0,13.5,40.4
6,Emanuel Wilson,GB,RB,3,0,0,0,223,2,4,24,0,0,0,0,0,12.9,38.7
7,Daniel Carlson,LV,K,3,0,0,0,0,0,0,0,0,0,0,0,0,12.0,36.0
8,Ihmir Smith-Marsette,KC,WR,3,0,0,0,0,0,9,195,2,0,0,0,0,12.0,36.0
9,Greg Zuerlein,NYJ,K,4,0,0,0,0,0,0,0,0,0,0,0,0,8.8,35.0
10,Trey Sermon,PHI,RB,3,0,0,0,105,3,6,49,0,0,0,0,0,11.5,34.4
11,Chris Brooks,MIA,RB,3,0,0,0,104,2,3,39,1,0,0,0,0,11.3,33.8
12,Easton Stick,LAC,QB,3,380,1,2,82,2,0,0,0,0,0,0,0,11.1,33.4
13,Kristian Wilkerson,LV,WR,3,0,0,0,0,0,17,188,1,0,0,0,0,11.1,33.3
14,Evan McPherson,CIN,K,3,0,0,0,0,0,0,0,0,0,0,0,0,11.0,33.0
15,Blaine Gabbert,KC,QB,3,348,5,1,6,0,0,0,0,0,0,0,0,10.8,32.5
16,Dorian Thompson-Robinson,CLE,QB,4,440,2,0,69,0,0,0,0,0,0,0,0,8.1,32.5
17,Aidan O'Connell,LV,QB,3,482,3,0,12,0,0,0,0,0,0,0,0,10.8,32.5
