rank,player,def_sacks,def_int,fr,def_fum_forced,def td,def_safety,def_special_teams_td,g,fpts,fpts_per_game,rost,year,week,pos
1,New England Patriots (NE),5,3,2,2,0,0,0,1,16.0,16.0,13.3%,2002,1,dst
2,Miami Dolphins (MIA),3,1,1,1,1,0,0,1,13.0,13.0,69.0%,2002,1,dst
3,New Orleans Saints (NO),3,1,0,1,1,0,0,1,13.0,13.0,63.8%,2002,1,dst
4,Houston Texans (HOU),3,1,1,0,0,1,0,1,13.0,13.0,29.9%,2002,1,dst
5,San Francisco 49ers (SF),3,3,0,0,0,0,0,1,13.0,13.0,98.1%,2002,1,dst
6,Los Angeles Chargers (LAC),4,1,0,0,0,0,0,1,13.0,13.0,16.5%,2002,1,dst
7,Tennessee Titans (TEN),6,2,1,1,0,0,0,1,12.0,12.0,3.5%,2002,1,dst
8,Indianapolis Colts (IND),1,1,1,1,1,0,0,1,11.0,11.0,24.5%,2002,1,dst
9,New York Jets (NYJ),4,2,1,1,0,0,2,1,10.0,10.0,82.9%,2002,1,dst
10,Philadelphia Eagles (PHI),1,1,3,2,0,0,0,1,9.0,9.0,50.8%,2002,1,dst
11,Dallas Cowboys (DAL),6,1,0,0,0,0,0,1,9.0,9.0,93.2%,2002,1,dst
12,Los Angeles Rams (LAR),4,2,0,0,0,0,0,1,8.0,8.0,21.1%,2002,1,dst
13,Denver Broncos (DEN),3,1,1,0,0,0,0,1,8.0,8.0,34.5%,2002,1,dst
14,Carolina Panthers (CAR),2,1,0,0,0,0,0,1,8.0,8.0,2.9%,2002,1,dst
15,Chicago Bears (CHI),1,2,1,2,0,0,0,1,7.0,7.0,31.1%,2002,1,dst
16,Jacksonville Jaguars (JAC),1,0,2,2,0,0,0,1,6.0,6.0,47.2%,2002,1,dst
17,Baltimore Ravens (BAL),2,0,0,0,0,0,0,1,6.0,6.0,87.5%,2002,1,dst
18,Green Bay Packers (GB),4,0,1,1,0,0,0,1,5.0,5.0,26.0%,2002,1,dst
19,Minnesota Vikings (MIN),1,1,1,0,0,0,0,1,5.0,5.0,11.6%,2002,1,dst
20,Seattle Seahawks (SEA),2,1,1,1,0,0,0,1,5.0,5.0,26.9%,2002,1,dst
21,Tampa Bay Buccaneers (TB),2,1,0,0,0,0,0,1,5.0,5.0,20.7%,2002,1,dst
22,New York Giants (NYG),0,1,0,0,0,0,0,1,4.0,4.0,3.1%,2002,1,dst
23,Las Vegas Raiders (LV),3,0,0,2,0,0,0,1,4.0,4.0,21.9%,2002,1,dst
24,Washington Commanders (WAS),1,1,0,0,0,0,0,1,3.0,3.0,8.1%,2002,1,dst
25,Pittsburgh Steelers (PIT),2,0,1,1,0,0,0,1,3.0,3.0,76.5%,2002,1,dst
26,Arizona Cardinals (ARI),1,1,0,0,0,0,0,1,2.0,2.0,0.8%,2002,1,dst
27,Buffalo Bills (BUF),3,0,1,1,0,0,0,1,1.0,1.0,62.6%,2002,1,dst
28,Atlanta Falcons (ATL),2,0,1,3,0,0,0,1,0.0,0.0,16.5%,2002,1,dst
29,Cincinnati Bengals (CIN),1,0,0,0,0,0,0,1,0.0,0.0,48.8%,2002,1,dst
30,Kansas City Chiefs (KC),1,0,1,1,0,0,0,1,-1.0,-1.0,77.0%,2002,1,dst
31,Cleveland Browns (CLE),0,1,0,0,0,0,0,1,-2.0,-2.0,94.3%,2002,1,dst
32,Detroit Lions (DET),0,0,0,1,0,0,0,1,-4.0,-4.0,43.8%,2002,1,dst
1,Los Angeles Chargers (LAC),9,2,1,2,1,0,0,1,28.0,28.0,16.5%,2002,2,dst
2,New England Patriots (NE),5,1,1,1,2,0,0,1,25.0,25.0,13.3%,2002,2,dst
3,Tampa Bay Buccaneers (TB),3,1,0,0,1,1,1,1,24.0,24.0,20.7%,2002,2,dst
4,Carolina Panthers (CAR),6,2,1,2,1,0,0,1,22.0,22.0,2.9%,2002,2,dst
5,New Orleans Saints (NO),1,1,3,2,1,0,0,1,16.0,16.0,63.8%,2002,2,dst
6,Cleveland Browns (CLE),5,3,0,2,0,0,0,1,15.0,15.0,94.3%,2002,2,dst
7,Dallas Cowboys (DAL),3,1,0,1,1,0,0,1,15.0,15.0,93.2%,2002,2,dst
8,New York Giants (NYG),1,2,2,1,1,0,0,1,15.0,15.0,3.1%,2002,2,dst
9,Chicago Bears (CHI),4,0,3,2,0,0,0,1,14.0,14.0,31.1%,2002,2,dst
10,Philadelphia Eagles (PHI),4,2,1,1,0,0,0,1,14.0,14.0,50.8%,2002,2,dst
11,Buffalo Bills (BUF),5,0,3,2,1,0,1,1,13.0,13.0,62.6%,2002,2,dst
12,Las Vegas Raiders (LV),0,1,4,2,0,0,1,1,11.0,11.0,21.9%,2002,2,dst
13,Miami Dolphins (MIA),0,3,0,0,0,0,0,1,10.0,10.0,69.0%,2002,2,dst
14,Pittsburgh Steelers (PIT),5,2,0,1,0,0,0,1,9.0,9.0,76.5%,2002,2,dst
15,Arizona Cardinals (ARI),1,0,1,1,0,0,1,1,7.0,7.0,0.8%,2002,2,dst
