rank,player,fg,fg_att,fg_perc,fg_longest,fg_1_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,xp,xp_att,g,fpts,fpts_per_game,rost,year,week,pos
1,Olindo Mare (FA),0,0,0.0,0,0,0,0,0,0,7,7,1,7.0,7.0,0.0%,2002,1,k
2,Ryan Longwell (FA),3,4,75.0,42,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
3,Brett Conway (FA),1,1,100.0,35,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
4,Jay Feely (FA),2,2,100.0,52,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
5,Mike Vanderjagt (FA),0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
6,Mike Hollis (FA),1,2,50.0,52,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
7,Sebastian Janikowski (FA),1,1,100.0,27,0,0,0,0,0,4,4,1,4.0,4.0,20.0%,2002,1,k
8,Morten Andersen (FA),2,2,100.0,33,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
9,Steve Christie (FA),2,2,100.0,28,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
10,Jason Hanson (FA),0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,1,k
11,Adam Vinatieri (FA),3,3,100.0,45,0,0,0,0,0,3,3,1,3.0,3.0,0.2%,2002,1,k
12,David Akers (FA),1,1,100.0,30,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,1,k
13,Phil Dawson (FA),4,4,100.0,41,0,0,0,0,0,3,3,1,3.0,3.0,0.1%,2002,1,k
14,Paul Edinger (FA),2,3,66.7,49,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,1,k
15,Bill Gramatica (FA),3,4,75.0,39,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
16,Hayden Epstein (FA),1,2,50.0,27,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
17,Doug Brien (FA),3,3,100.0,42,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
18,Kris Brown (FA),1,1,100.0,42,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
19,John Hall (FA),3,4,75.0,45,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
20,Rian Lindell (FA),1,2,50.0,32,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
21,Martin Gramatica (FA),2,4,50.0,52,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
22,John Carney (FA),2,2,100.0,41,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
23,Todd Peterson (FA),0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
24,Jason Elam (FA),3,3,100.0,41,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
25,Jose Cortez (FA),3,5,60.0,36,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
26,Matt Stover (FA),0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
27,Joe Nedney (FA),2,2,100.0,47,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
28,Jeff Wilkins (FA),3,4,75.0,43,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
29,Billy Cundiff (FA),1,2,50.0,33,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
30,John Kasay (FA),1,2,50.0,27,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
31,Matt Bryant (FA),2,2,100.0,33,0,0,0,0,0,1,1,1,1.0,1.0,1.1%,2002,1,k
32,Wade Richey (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
33,J.R. Jenkins (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
34,Charlie Rogers (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
35,Allen Rossum (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
36,Neil Rackers (FA),2,2,100.0,54,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
37,Jason Baker (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
1,Adam Vinatieri (FA),3,3,100.0,40,0,0,0,0,0,5,5,1,5.0,5.0,0.2%,2002,2,k
2,John Carney (FA),0,1,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.0%,2002,2,k
3,John Kasay (FA),1,3,33.3,23,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,2,k
4,David Akers (FA),3,3,100.0,47,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,2,k
5,Olindo Mare (FA),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
6,Mike Hollis (FA),4,5,80.0,54,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
7,Jeff Wilkins (FA),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
8,Doug Brien (FA),2,3,66.7,29,0,0,0,0,0,3,5,1,3.0,3.0,0.0%,2002,2,k
9,Jason Elam (FA),1,1,100.0,28,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
10,Bill Gramatica (FA),1,1,100.0,23,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
