sleeper_id,fpts
4666,136.69
11533,145.0
4195,146.0
4227,146.45
1266,129.0
3451,115.6
10937,133.0
8259,138.0
2747,121.6
7839,139.0
5119,138.0
11058,128.0
2020,120.2
7042,136.0
1264,143.0
4666,136.69
11533,145.0
4195,146.0
4227,151.0
1266,135.0
3451,147.05
10937,136.0
8259,138.0
2747,147.0
7839,145.0
5119,132.0
11058,132.0
2020,133.0
7042,113.9
1264,143.0
4666,112.1
11533,138.8
4195,136.0
4227,146.45
1266,134.83
3451,145.0
10937,129.26
8259,131.0
2747,139.22
7839,145.0
5119,138.0
11058,102.2
2020,120.2
7042,133.0
1264,139.84
4666,112.1
11533,146.0
4195,146.0
4227,151.0
1266,117.2
3451,145.0
10937,136.0
8259,138.0
2747,134.0
7839,122.0
5119,111.4
11058,128.0
2020,130.0
7042,138.09
1264,131.7
4666,136.69
11533,145.0
4195,123.9
4227,139.0
1266,134.83
3451,147.05
10937,129.26
8259,131.0
2747,132.0
7839,139.0
5119,144.37
11058,128.0
2020,133.0
7042,129.0
1264,143.0
4666,171.0
11533,145.0
4195,146.0
4227,151.0
1266,135.0
3451,115.6
10937,136.0
8259,138.0
2747,121.6
7839,139.0
5119,111.4
11058,142.0
2020,126.0
7042,136.0
1264,147.0
4666,128.0
11533,152.89
4195,146.0
4227,126.0
1266,129.0
3451,136.0
10937,137.0
8259,137.0
2747,147.0
7839,113.5
5119,131.0
11058,102.2
2020,120.2
7042,129.0
1264,143.0
4666,141.0
11533,145.0
4195,136.0
4227,151.0
1266,135.0
3451,136.0
10937,133.0
8259,126.7
2747,134.0
7839,145.0
5119,111.4
11058,142.0
2020,133.0
7042,136.0
1264,139.84
4666,128.0
11533,152.89
4195,146.0
4227,146.45
1266,137.0
3451,115.6
10937,136.0
8259,138.0
2747,147.0
7839,122.0
5119,131.0
11058,142.0
2020,133.0
7042,138.09
1264,147.0
4666,112.1
11533,148.0
4195,146.0
4227,151.0
1266,135.0
3451,147.05
10937,136.0
8259,138.0
2747,147.0
7839,139.0
5119,138.0
11058,102.2
2020,133.0
7042,136.0
1264,131.7
4666,136.69
11533,148.0
4195,146.0
4227,151.0
1266,135.0
3451,136.0
10937,133.0
8259,126.7
2747,139.22
7839,139.0
5119,138.0
11058,132.0
2020,149.47
7042,129.0
1264,143.0
4666,171.0
11533,145.0
4195,154.07
4227,151.0
1266,135.0
3451,147.05
10937,136.0
8259,138.0
2747,147.0
7839,113.5
5119,138.0
11058,128.0
2020,130.0
7042,138.09
1264,139.84
4666,141.0
11533,146.0
4195,146.0
