sleeper_id,player,pos,name_match_idx,player_display_name,position,n,mean_fp_3yr,mean_sqrt_var_fp_3yr,mean_var_fp_3yr
GB,Green Bay Packers,DEF,2.0,A.J. Green,WR,30,5.725339366515837,4.980728339951985,24.898585030165915
DAL,Dallas,DEF,176.0,Dallas Goedert,TE,46,8.857222222222223,5.370336516624502,29.66076190476191
CLE,Cleveland,DEF,818.0,Tyrie Cleveland,WR,4,0.6333333333333335,2.193931022920578,4.8133333333333335
HOU,Houston,DEF,234.0,Dennis Houston,WR,2,1.3,1.8384776310850235,3.3800000000000003
WAS,Washington,DEF,198.0,Darnell Washington,TE,9,1.0666666666666669,0.6304760106459246,0.3975000000000001
GB,Green Bay Packers DEF,DEF,2.0,A.J. Green,WR,30,5.725339366515837,4.980728339951985,24.898585030165915
WAS,Washington Commanders DEF,DEF,387.0,James Washington,WR,17,2.015625,4.4921737499789565,20.179625
GB,Green Bay Packers,DEF,2.0,A.J. Green,WR,30,5.725339366515837,4.980728339951985,24.898585030165915
DAL,"Dallas D/ST  DAL D/ST  (D, DAL)",d,176.0,Dallas Goedert,TE,46,8.857222222222223,5.370336516624502,29.66076190476191
CLE,"Cleveland D/ST  CLE D/ST  (D, CLE)",d,818.0,Tyrie Cleveland,WR,4,0.6333333333333335,2.193931022920578,4.8133333333333335
HOU,"Houston D/ST  HOU D/ST  (D, HOU)",d,234.0,Dennis Houston,WR,2,1.3,1.8384776310850235,3.3800000000000003
WAS,"Washington D/ST  WSH D/ST  (D, WSH)",d,198.0,Darnell Washington,TE,9,1.0666666666666669,0.6304760106459246,0.3975000000000001
TB,"Green Bay D/ST  GB D/ST  (D, GB)",d,2.0,A.J. Green,WR,30,5.725339366515837,4.980728339951985,24.898585030165915
