sleeper_id,player,pos,name_match_idx,player_display_name,position,n,mean_fp_3yr,mean_sqrt_var_fp_3yr,mean_var_fp_3yr
6083,Matt Gay,K,576.0,Matt Barkley,QB,1,-0.3,,
7839,Evan McPherson,K,293.0,Evan Hull,RB,1,1.2000000000000002,,
650,Nick Folk,K,627.0,Nick Westbrook-Ikhine,WR,44,5.226346153846154,5.2269365816584665,28.833957875457884
7839,Evan McPherson,K,293.0,Evan Hull,RB,1,1.2000000000000002,,
6083,Matt Gay,K,576.0,Matt Barkley,QB,1,-0.3,,
650,Nick Folk,K,627.0,Nick Westbrook-Ikhine,WR,44,5.226346153846154,5.2269365816584665,28.833957875457884
7839,Evan McPherson,K,293.0,Evan Hull,RB,1,1.2000000000000002,,
6083,Matt Gay,K,576.0,Matt Barkley,QB,1,-0.3,,
650,Nick Folk,K,627.0,Nick Westbrook-Ikhine,WR,44,5.226346153846154,5.2269365816584665,28.833957875457884
1264,Justin Tucker K - BAL,K,469.0,Justin Fields,QB,40,16.001606837606836,9.02570577732733,82.94561426129425
11533,Brandon Aubrey K - DAL,K,67.0,Brandon Aiyuk,WR,58,10.350263157894735,6.064540757455314,37.07033040935673
7839,Evan McPherson K - CIN,K,292.0,Evan Engram,TE,51,8.05593395252838,5.797659240236246,36.873775165036776
8259,Cameron Dicker K - LAC,K,104.0,Cameron Batson,WR,3,3.3333333333333335,2.9194748386196676,8.523333333333333
10937,Jake Moody K - SF,K,358.0,Jake Bobo,WR,14,3.3857142857142857,4.147632715520643,17.202857142857145
1266,Greg Zuerlein K - NYJ,K,315.0,Greg Dortch,WR,22,5.544444444444444,4.185125244504989,20.73116666666667
7042,Tyler Bass K - BUF,K,802.0,Tyler Badie,RB,1,8.9,,
5095,Daniel Carlson K - LV,K,119.0,Chase Daniel,QB,4,1.3133333333333337,3.997265732139075,15.978133333333338
1348,Dustin Hopkins K - CLE Q,K,88.0,Brycen Hopkins,TE,13,2.894047619047619,2.805600553624869,8.324563492063492
11058,Blake Grupe K - NO,K,62.0,Blake Bell,TE,21,2.022222222222222,3.0035517352275924,10.390979797979798
2747,Jason Myers K - SEA,K,402.0,Jason Moore,WR,2,4.050000000000001,,
5119,Jason Sanders K - MIA,K,400.0,Jason Brownlee,WR,4,3.5250000000000004,3.0015273889582725,9.009166666666664
4195,Jake Elliott K - PHI,K,358.0,Jake Bobo,WR,14,3.3857142857142857,4.147632715520643,17.202857142857145
1945,Chris Boswell K - PIT,K,123.0,Chris Carson,RB,4,11.275,5.445104835231978,29.64916666666667
6083,Matt Gay K - IND,K,578.0,Matt Ryan,QB,29,13.026470588235297,7.531539408420494,56.90632352941175
6650,Chase McLaughlin K - TB,K,117.0,Chase Brown,RB,10,4.65,5.2877741589023595,27.960555555555555
17,Matt Prater K - ARI,K,576.0,Matt Barkley,QB,1,-0.3,,
650,Nick Folk K - TEN,K,621.0,Nick Boyle,TE,2,0.35,0.4949747468305832,0.2449999999999999
503,Graham Gano K - NYG,K,425.0,Jimmy Graham,TE,16,5.076363636363636,3.6743076634093024,13.52959090909091
11789,Joshua Karty K - LAR,K,461.0,Joshua Dobbs,QB,15,13.004615384615384,4.297377670565085,36.21282051282051
11792,Will Reichard K - MIN,K,829.0,Will Dissly,TE,39,3.5338888888888893,3.037496946354009,9.77070202020202
8258,Cade York K - WAS,K,97.0,Cade Otton,TE,33,6.0216666666666665,4.58298904254565,21.22211904761905
10955,Chad Ryland K - NE View News,K,113.0,Chad Henne,QB,7,1.13,2.418294556859362,6.107533333333334
11786,Cam Little K - JAX,K,101.0,Cam Akers,RB,27,6.797460317460318,4.7624699332124605,30.98433333333334
11539,Jake Bates K - DET,K,358.0,Jake Bobo,WR,14,3.3857142857142857,4.147632715520643,17.202857142857145
11145,Tanner Brown K,K,285.0,Equanimeous St. Brown,WR,31,2.194166666666667,2.1985830357347873,5.531092592592594
5272,Greg Joseph K - GB View News,K,315.0,Greg Dortch,WR,22,5.544444444444444,4.185125244504989,20.73116666666667
8670,John Parker Romo K,K,429.0,John Bates,TE,34,2.706589706589707,2.7196462964724426,7.831658193658195
658,Mike Badgley K - DET IR,K,593.0,Mike Boone,RB,17,2.5958333333333337,2.599423918541253,7.994940476190478
12438,Alex Hale K - GB,K,16.0,Alex Armah,RB,8,1.3366666666666664,1.630261257691942,3.905666666666666
6083,Matt Gay,K,576.0,Matt Barkley,QB,1,-0.3,,
7839,Evan McPherson,K,293.0,Evan Hull,RB,1,1.2000000000000002,,
650,Nick Folk,K,627.0,Nick Westbrook-Ikhine,WR,44,5.226346153846154,5.2269365816584665,28.833957875457884
5230,Michael Badgley,K,586.0,Michael Bandy,WR,7,1.9857142857142855,2.5175573951938492,6.33809523809524
8670,John Parker Romo,K,429.0,John Bates,TE,34,2.706589706589707,2.7196462964724426,7.831658193658195
7617,Matt Ammendola,K,578.0,Matt Ryan,QB,29,13.026470588235297,7.531539408420494,56.90632352941175
650,"Nick Folk  N. Folk  (K, TEN)",k,621.0,Nick Boyle,TE,2,0.35,0.4949747468305832,0.2449999999999999
4195,"Jake Elliott  J. Elliott  (K, PHI)",k,294.0,Ezekiel Elliott,RB,52,10.862004357298476,5.8259725166568606,34.30665708061002
11533,"Brandon Aubrey  B. Aubrey  (K, DAL)",k,67.0,Brandon Aiyuk,WR,58,10.350263157894735,6.064540757455314,37.07033040935673
8259,"Cameron Dicker  C. Dicker  (K, LAC)",k,104.0,Cameron Batson,WR,3,3.3333333333333335,2.9194748386196676,8.523333333333333
4227,"Harrison Butker  H. Butker  (K, KC)",k,320.0,Harrison Bryant,TE,41,3.378205128205128,3.0605935787886303,9.99782051282051
5119,"Jason Sanders  J. Sanders  (K, MIA)",k,74.0,Braylon Sanders,WR,2,0.3500000000000001,0.4949747468305834,0.2450000000000001
7839,"Evan McPherson  E. McPherson  (K, CIN)",k,292.0,Evan Engram,TE,51,8.05593395252838,5.797659240236246,36.873775165036776
1348,"Dustin Hopkins  D. Hopkins  (K, CLE)",k,88.0,Brycen Hopkins,TE,13,2.894047619047619,2.805600553624869,8.324563492063492
17,"Matt Prater  M. Prater  (K, ARI)",k,576.0,Matt Barkley,QB,1,-0.3,,
1264,"Justin Tucker  J. Tucker  (K, BAL)",k,469.0,Justin Fields,QB,40,16.001606837606836,9.02570577732733,82.94561426129425
2747,"Jason Myers  J. Myers  (K, SEA)",k,400.0,Jason Brownlee,WR,4,3.5250000000000004,3.0015273889582725,9.009166666666664
7042,"Tyler Bass  T. Bass  (K, BUF)",k,801.0,Tyler Allgeier,RB,33,8.51360294117647,5.81390922075198,33.80412990196079
6650,"Chase McLaughlin  C. McLaughlin  (K, TB)",k,117.0,Chase Brown,RB,10,4.65,5.2877741589023595,27.960555555555555
5272,"Greg Joseph  G. Joseph  (K, GB)",k,315.0,Greg Dortch,WR,22,5.544444444444444,4.185125244504989,20.73116666666667
11792,"Will Reichard  W. Reichard  (K, MIN)",k,829.0,Will Dissly,TE,39,3.5338888888888893,3.037496946354009,9.77070202020202
11058,"Blake Grupe  B. Grupe  (K, NO)",k,62.0,Blake Bell,TE,21,2.022222222222222,3.0035517352275924,10.390979797979798
1266,"Greg Zuerlein  G. Zuerlein  (K, NYJ)",k,315.0,Greg Dortch,WR,22,5.544444444444444,4.185125244504989,20.73116666666667
5095,"Daniel Carlson  D. Carlson  (K, LV)",k,119.0,Chase Daniel,QB,4,1.3133333333333337,3.997265732139075,15.978133333333338
6083,"Matt Gay  M. Gay  (K, IND)",k,576.0,Matt Barkley,QB,1,-0.3,,
1945,"Chris Boswell  C. Boswell  (K, PIT)",k,123.0,Chris Carson,RB,4,11.275,5.445104835231978,29.64916666666667
11786,"Cam Little  C. Little  (K, JAC)",k,101.0,Cam Akers,RB,27,6.797460317460318,4.7624699332124605,30.98433333333334
11145,"Tanner Brown  T. Brown  (K, LA)",k,0.0,A.J. Brown,WR,51,13.448501400560223,8.914361863300726,79.51497378627565
10937,"Jake Moody  J. Moody  (K, SF)",k,358.0,Jake Bobo,WR,14,3.3857142857142857,4.147632715520643,17.202857142857145
503,"Graham Gano  G. Gano  (K, NYG)",k,425.0,Jimmy Graham,TE,16,5.076363636363636,3.6743076634093024,13.52959090909091
8258,"Cade York  C. York  (K, WSH)",k,96.0,Cade Johnson,WR,3,2.8333333333333335,2.7098585448936876,7.343333333333334
1433,"Brandon McManus  B. McManus  (K, WSH)",k,67.0,Brandon Aiyuk,WR,58,10.350263157894735,6.064540757455314,37.07033040935673
