gp,fg_made,fg_att,fg_longest,fg_1_19_made,fg_1_19_att,fg_20_29_made,fg_20_29_att,fg_30_39_made,fg_30_39_att,fg_40_49_made,fg_40_49_att,fg_50_made,fg_50_att,xp_made,xp_att,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,39,44,—,0.309,0.31,11.8,11.9,11.7,11.8,10.6,12.1,4.59,4.59,55,57,172,10.1,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Younghoe Koo,ATL
17,34,38,—,0.263,0.263,10.5,10.6,10.3,11.7,7.6,8.4,5.6,5.6,46,47,148,8.7,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Harrison Butker,C
17,35,42,—,0.279,0.279,7.8,7.9,12.1,13.4,10.3,12.4,4.6,4.6,42,43,147,8.6,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Jason Myers,SEA
17,32,36,—,0.251,0.251,9.0,9.1,8.9,9.0,10.4,11.6,3.17,3.17,50,51,146,8.6,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Justin Tucker,BAL
17,34,38,—,0.264,0.264,8.0,8.1,12.5,14.3,7.6,8.4,5.6,5.6,43,46,145,8.5,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Brandon Aubrey,DAL
17,31,34,—,0.253,0.253,8.8,8.9,8.6,9.5,7.7,8.6,5.4,5.4,52,53,145,8.5,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Jake Elliott,PHI
17,34,39,—,0.258,0.259,10.3,10.4,10.6,10.8,7.4,10.3,5.5,5.5,43,44,145,8.5,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Ka'imi Fairbairn,HOU
17,31,37,—,0.24,0.24,9.6,10.7,7.8,7.9,8.0,10.0,5.1,5.1,49,49,142,8.4,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Blake Grupe,NO
17,30,38,—,0.244,0.244,7.3,8.1,11.6,12.7,7.0,10.5,3.89,3.89,52,53,142,8.4,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Tyler Bass,BUF
17,34,37,—,0.269,0.269,8.9,9.0,10.1,10.3,8.6,10.6,5.7,5.7,39,42,141,8.3,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Cairo Santos,CHI
17,30,34,—,0.252,0.252,6.9,7.0,8.2,8.3,8.9,9.9,5.4,5.4,49,50,139,8.2,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Evan McPherson,CIN
17,30,35,—,0.228,0.228,8.4,8.6,9.5,10.7,6.6,9.8,4.84,4.84,49,50,139,8.2,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Jake Moody,SF
17,31,34,—,0.251,0.252,7.7,7.8,8.3,8.4,9.1,10.2,5.3,5.3,45,45,138,8.1,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Cameron Dicker,LAC
17,29,34,—,0.228,0.228,6.8,6.9,8.3,8.4,8.6,10.6,4.8,4.8,51,52,138,8.1,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Jason Sanders,MIA
17,31,38,—,0.442,0.442,8.7,8.8,10.1,10.3,6.8,10.1,5.0,5.0,45,49,138,8.1,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Greg Joseph,GB
17,32,38,—,0.264,0.265,8.6,8.7,10.1,10.8,7.6,9.4,5.6,5.6,41,42,137,8.1,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Matt Gay,IND
