gp,rush_att,rush_yd,rush_yd_per_rsh,rush_td,rec_tgt,rec_rcpt,rec_yd,rec_yd_per_game,rec_yd_per_rcpt,rec_td,fumbles_lost,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,261,1260,4.8,11,89,71,614,36.1,8.7,7,2,310.5,16.2,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Christian McCaffrey,SF
17,282,1217,4.3,14,76,53,400,23.5,7.6,6,2,288.5,15.4,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Saquon Barkley,PHI
17,217,932,4.3,9,95,75,646,38.0,8.6,8,1,277.5,14.1,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Breece Hall,NYJ
17,228,1111,4.9,6,102,69,604,35.5,8.8,8,3,267.5,13.7,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Bijan Robinson,ATL
17,304,1386,4.6,12,43,34,271,15.9,8.0,2,1,248.0,13.6,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Jonathan Taylor,IND
17,262,1206,4.6,12,52,35,232,13.6,6.6,3,2,230.5,12.5,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Kyren Williams,LAR
17,279,1289,4.6,6,53,43,390,22.9,9.1,4,2,227.5,12.1,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,James Cook,BUF
17,264,1299,4.9,12,32,25,228,13.4,9.1,0,1,218.5,12.1,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Derrick Henry,BAL
17,257,926,3.6,10,52,43,362,21.3,8.4,3,1,210.5,11.1,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Joe Mixon,HOU
17,246,905,3.7,11,63,50,415,24.4,8.3,1,1,211.0,10.9,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Travis Etienne,JAC
17,144,903,6.3,9,58,41,298,17.5,7.3,5,1,206.5,10.9,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,De'Von Achane,MIA
17,275,1121,4.1,11,46,34,284,16.7,8.4,0,1,203.0,10.9,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Josh Jacobs,GB
17,231,1018,4.4,11,47,43,257,15.1,6.0,2,2,205.5,10.8,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Isiah Pacheco,C
17,197,953,4.8,10,86,63,422,24.8,6.7,1,2,213.5,10.7,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Jahmyr Gibbs,DET
17,223,865,3.9,8,61,54,446,26.2,8.3,3,2,203.0,10.4,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Rachaad White,TB
17,220,858,3.9,12,37,29,244,14.4,8.4,1,1,184.5,10.0,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Kenneth Walker III,SEA
17,214,962,4.5,8,45,37,249,14.6,6.7,3,1,185.5,9.8,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,James Conner,ARI
17,260,1230,4.7,5,42,33,227,13.4,6.9,0,2,172.5,9.2,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Zamir White,LV
17,230,968,4.2,10,32,24,183,10.8,7.6,0,1,167.0,9.1,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,David Montgomery,DET
17,189,718,3.8,6,91,75,526,30.9,7.0,2,1,191.5,9.1,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Alvin Kamara,NO
17,176,823,4.7,11,22,17,108,6.4,6.4,2,1,161.5,9.0,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Raheem Mostert,MIA
17,240,970,4.0,8,37,28,183,10.8,6.5,1,1,165.0,8.9,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Najee Harris,PIT
17,175,714,4.1,6,34,28,292,17.2,10.4,4,2,155.0,8.3,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Brian Robinson Jr.,WAS
17,233,937,4.0,7,35,28,191,11.2,6.8,0,1,152.0,8.1,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Tony Pollard,N
17,197,920,4.7,4,50,40,258,15.2,6.5,2,1,156.0,8.0,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,D'Andre Swift,CHI
17,171,752,4.4,6,50,37,254,14.9,6.9,3,1,153.5,7.9,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Zack Moss,CIN
17,169,724,4.3,5,68,49,362,21.3,7.4,2,1,157.5,7.8,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Aaron Jones,MIN
17,213,831,3.9,6,66,50,321,18.9,6.4,0,1,154.0,7.6,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Rhamondre Stevenson,NE
17,138,562,4.1,6,44,33,271,15.9,8.2,4,1,141.5,7.4,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,J.K. Dobbins,LAC
17,205,803,3.9,4,54,44,227,13.4,5.2,2,1,143.0,7.1,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Javonte Williams,DEN
17,174,634,3.6,10,17,15,185,10.9,12.3,0,2,128.5,7.1,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Gus Edwards,LAC
17,158,658,4.2,3,53,38,275,16.2,7.2,5,1,140.0,7.1,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Jerome Ford,CLE
17,132,559,4.2,7,53,39,326,19.2,8.4,2,3,138.5,7.0,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Austin Ekeler,WAS
17,133,625,4.7,3,38,35,400,23.5,11.4,3,1,136.5,7.0,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Chase Brown,CIN
13,183,828,4.5,4,34,28,223,17.2,8.0,1,1,130.0,8.9,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Nick Chubb,CLE
17,191,720,3.8,5,29,22,191,11.2,8.7,2,1,127.0,6.8,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Rico Dowdle,DAL
17,199,879,4.4,5,39,30,167,9.8,5.6,0,1,130.0,6.8,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Devin Singletary,NYG
17,135,713,5.3,4,62,51,338,19.9,6.6,1,2,138.5,6.6,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Jaylen Warren,PIT
17,156,739,4.7,6,19,14,122,7.2,8.7,1,3,114.0,6.3,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Trey Benson,ARI
17,158,677,4.3,6,17,13,138,8.1,10.6,1,3,106.5,5.9,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Blake Corum,LAR
17,140,599,4.3,3,57,42,319,18.8,7.6,1,1,117.0,5.6,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Tyjae Spears,N
17,146,597,4.1,6,17,13,131,7.7,10.1,1,2,101.5,5.6,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,MarShawn Lloyd,GB
17,135,548,4.1,4,21,17,183,10.8,10.8,2,1,99.5,5.4,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Tyler Allgeier,ATL
17,128,556,4.3,6,27,22,167,9.8,7.6,0,1,99.0,5.2,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Ty Chandler,MIN
13,153,612,4.0,4,23,17,148,11.4,8.7,1,3,92.5,6.5,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Jonathon Brooks,CAR
17,106,380,3.6,2,65,52,396,23.3,7.6,2,2,108.0,4.8,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Antonio Gibson,NE
17,130,455,3.5,4,38,29,194,11.4,6.7,2,1,96.5,4.8,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Ezekiel Elliott,DAL
17,102,479,4.7,5,23,17,180,10.6,10.6,1,2,89.5,4.8,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Jaylen Wright,MIA
17,152,570,3.8,4,32,27,181,10.6,6.7,0,1,94.5,4.8,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Chuba Hubbard,CAR
17,138,584,4.2,4,18,14,123,7.2,8.8,1,3,86.0,4.6,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Tyrone Tracy Jr.,NYG
17,133,579,4.4,3,34,23,152,8.9,6.6,1,1,89.5,4.6,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Khalil Herbert,CHI
17,104,587,5.6,2,32,28,145,8.5,5.2,2,1,92.0,4.6,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Jaleel McLaughlin,DEN
17,130,477,3.7,4,27,20,201,11.8,10.1,1,3,85.0,4.4,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Bucky Irving,TB
17,103,458,4.5,4,27,21,203,11.9,9.7,1,2,84.5,4.4,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Ray Davis,BUF
13,98,588,6.0,4,12,9,97,7.5,10.8,0,1,78.5,5.7,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Keaton Mitchell,BAL
17,126,508,4.0,4,17,13,119,7.0,9.2,1,2,78.5,4.2,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Braelon Allen,NYJ
17,100,383,3.8,2,38,30,276,16.2,9.2,2,1,86.0,4.2,RB,CBS,https://www.cbssports.com/fantasy/football/stats/RB/2024/restofseason/projections/nonppr/,True,Clyde Edwards-Helaire,C
