gp,rec_tgt,rec_rcpt,rec_yd,rec_yd_per_game,rec_yd_per_rcpt,rec_td,fumbles_lost,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,130,101,1149,67.6,11.4,8,1,202.5,8.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Travis Kelce,C
17,91,65,852,50.1,13.1,11,0,176.5,8.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Mark Andrews,BAL
17,115,84,846,49.8,10.1,9,0,171.0,7.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Sam LaPorta,DET
17,85,61,915,53.8,15.0,7,0,155.5,7.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,George Kittle,SF
17,113,75,879,51.7,11.7,7,2,155.5,6.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,David Njoku,CLE
17,109,83,902,53.1,10.9,5,0,154.5,6.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Trey McBride,ARI
17,108,64,877,51.6,13.7,5,0,142.0,6.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Kyle Pitts,ATL
17,99,71,763,44.9,10.8,7,0,144.5,6.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jake Ferguson,DAL
17,107,85,832,48.9,9.8,6,1,149.5,6.3,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Dalton Kincaid,BUF
17,91,66,743,43.7,11.3,6,0,135.0,6.0,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Dallas Goedert,PHI
17,119,92,817,48.1,8.9,5,1,147.0,5.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Evan Engram,JAC
17,55,39,547,32.2,14.0,8,0,114.5,5.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Isaiah Likely,BAL
17,76,59,605,35.6,10.3,7,0,123.5,5.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Cole Kmet,CHI
17,94,64,752,44.2,11.8,5,2,125.0,5.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Brock Bowers,LV
17,86,59,656,38.6,11.1,6,1,119.5,5.3,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Dalton Schultz,HOU
17,80,54,613,36.1,11.4,5,0,110.0,4.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Pat Freiermuth,PIT
17,66,44,474,27.9,10.8,7,0,102.0,4.7,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Hunter Henry,NE
17,77,58,606,35.6,10.5,4,0,105.0,4.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Luke Musgrave,GB
13,87,64,668,51.4,10.4,3,1,107.0,5.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,T.J. Hockenson,MIN
17,67,42,430,25.3,10.2,6,0,92.0,4.2,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Juwan Johnson,NO
17,83,58,601,35.4,10.4,3,0,99.0,4.1,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Tyler Conklin,NYJ
17,84,54,486,28.6,9.0,5,0,96.0,4.1,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Zach Ertz,WAS
17,63,45,524,30.8,11.6,4,1,88.5,3.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jonnu Smith,MIA
