gp,rec_tgt,rec_rcpt,rec_yd,rec_yd_per_game,rec_yd_per_rcpt,rec_td,rush_att,rush_yd,rush_yd_per_rsh,rush_td,fumbles_lost,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,168,120,1593,93.7,13.3,10,12,83,6.9,1,1,278.0,12.8,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,CeeDee Lamb,DAL
17,154,107,1530,90.0,14.3,11,6,24,4.0,0,1,264.5,12.4,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Tyreek Hill,MIA
17,156,112,1413,83.1,12.6,10,5,34,6.8,0,1,249.0,11.4,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Amon-Ra St. Brown,DET
17,155,105,1569,92.3,14.9,7,3,-3,-1.0,0,1,241.5,11.1,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Justin Jefferson,MIN
17,141,92,1368,80.5,14.9,10,0,1,0.0,0,2,231.0,10.9,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,A.J. Brown,PHI
17,146,99,1310,77.1,13.2,10,4,4,1.0,0,0,232.5,10.8,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Ja'Marr Chase,CIN
17,148,100,1447,85.1,14.5,7,11,74,6.7,0,0,232.0,10.7,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Puka Nacua,LAR
17,108,75,1231,72.4,16.4,9,2,8,4.0,0,0,206.5,9.9,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Nico Collins,HOU
17,118,70,1115,65.6,15.9,10,0,1,0.0,0,0,198.0,9.6,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Mike Evans,TB
17,153,95,1300,76.5,13.7,8,2,11,5.5,0,3,210.5,9.6,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Marvin Harrison Jr.,ARI
17,101,66,985,57.9,14.9,6,43,224,5.2,4,1,195.0,9.5,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Deebo Samuel,SF
17,154,93,1130,66.5,12.2,9,0,0,0.0,0,0,204.5,9.3,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Davante Adams,LV
17,105,70,1202,70.7,17.2,8,1,4,4.0,0,1,193.0,9.3,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Brandon Aiyuk,SF
17,114,80,1128,66.4,14.1,9,0,0,0.0,0,1,196.0,9.2,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,DeVonta Smith,PHI
17,111,74,1048,61.6,14.2,9,4,22,5.5,1,1,193.0,9.2,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,DJ Moore,CHI
17,118,67,1021,60.1,15.2,10,0,1,0.0,0,0,188.5,9.1,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,DK Metcalf,SEA
17,143,89,1196,70.4,13.4,7,0,0,0.0,0,0,198.5,9.1,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Chris Olave,NO
17,109,64,1161,68.3,18.1,8,3,27,9.0,0,1,186.0,9.1,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,George Pickens,PIT
17,120,70,1208,71.1,17.3,7,0,0,0.0,0,1,189.0,9.1,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Amari Cooper,CLE
17,178,101,1210,71.2,12.0,7,4,1,0.3,0,2,202.5,8.9,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Garrett Wilson,NYJ
17,133,90,1102,64.8,12.2,8,3,10,3.3,0,0,194.0,8.8,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Cooper Kupp,LAR
17,136,85,1213,71.4,14.3,6,0,0,0.0,0,1,190.5,8.7,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Drake London,ATL
17,100,63,908,53.4,14.4,10,14,61,4.4,0,0,176.5,8.5,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Tank Dell,HOU
17,109,65,987,58.1,15.2,9,0,0,0.0,0,0,176.5,8.5,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Tee Higgins,CIN
17,112,76,1087,63.9,14.3,6,4,22,5.5,0,0,175.0,8.1,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Jaylen Waddle,MIA
17,110,62,898,52.8,14.5,9,8,21,2.6,0,0,167.0,8.0,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Calvin Ridley,N
