player,pos,fpts,def_tkl,def_sack,def_fum_forced,def_fum_rec,def_int,source,source_url,team
Browns D/ST,DEF,140.90835742200002,996.8955784,46.37393918,12.72902281,8.773764993,13.72506666,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,Browns D/ST
Cowboys D/ST,DEF,128.47535754199998,1056.456743,45.29369646,13.48857116,9.038936666,12.98547464,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,Cowboys D/ST
Jets D/ST,DEF,133.10353577300003,1037.086715,41.84932406,13.95102737,9.149065617,14.64988684,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,Jets D/ST
Ravens D/ST,DEF,130.035797304,1034.151396,45.56789381,13.19763738,8.964110175,14.75030339,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,Ravens D/ST
49ers D/ST,DEF,127.53172272199998,1061.96223,42.84131656,11.80983532,8.908399202,14.55574597,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,49ers D/ST
Steelers D/ST,DEF,126.77896044799998,1041.700066,44.15005296,14.21080104,8.935657308,12.505002,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,Steelers D/ST
Dolphins D/ST,DEF,116.71491985000002,1059.189881,42.34727607,15.14234013,8.895783347,13.03489379,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,Dolphins D/ST
Saints D/ST,DEF,117.53774376100002,1018.612328,39.86899862,9.741720845,8.803477999,13.73883973,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,Saints D/ST
Jaguars D/ST,DEF,113.31891805499997,1043.575503,41.47946413,10.67537094,9.178768447,13.3846577,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,Jaguars D/ST
Bengals D/ST,DEF,115.64732272799998,1025.511308,44.64874394,13.13033653,9.280605555,13.38349193,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,Bengals D/ST
Chiefs D/ST,DEF,104.23607568999998,1033.088279,44.10053863,13.63813367,8.935836655,13.09305429,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,Chiefs D/ST
