player,pos,fpts,fg_1_39_made,fg_1_39_att,fg_40_49_made,fg_40_49_att,fg_50_made,fg_50_att,xp_made,xp_att,source,source_url
Harrison Butker,K,146.440469253,16.37654095,16.73306646,7.418536485,9.09476146,4.594118665,6.537871228,48.64261019,50.16287877,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Brandon Aubrey,K,142.043737026,16.59822792,16.80726172,7.532454617,9.135088091,4.672734206,6.566860478,42.46135731,43.39154676,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Justin Tucker,K,141.85972540199998,16.46615706,16.79354122,7.461886975,9.127630722,4.622611637,6.561499665,43.43266407,44.70656177,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jake Elliott,K,143.45603826800001,16.63462519,16.8026517,7.584478908,9.132582454,4.710335987,6.565059273,43.23342048,44.11573519,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Greg Zuerlein,K,141.003899003,16.35621007,16.78599834,7.402796803,9.123531011,4.58046703,6.558552542,43.55035442,45.11138772,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Ka'imi Fairbairn,K,140.422624889,16.56084142,16.82614984,7.510460924,9.14535417,4.656089866,6.574240364,41.23615977,42.28341966,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Evan McPherson,K,138.816960526,16.31496681,16.80889494,7.378351756,9.135975782,4.561883528,6.567498605,41.80640267,43.47519481,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jake Moody,K,138.705587612,15.74180493,16.73398423,7.073463259,9.095260289,4.346018388,6.538229817,46.66241561,50.08262184,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Cameron Dicker,K,138.251356381,16.707369,16.8761303,7.587424915,9.172519565,4.709209613,6.593768513,37.87191651,38.64481276,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Cairo Santos,K,137.13377401900001,16.64300546,16.87934409,7.550406064,9.174266326,4.682456306,6.595024192,37.36361864,38.24327705,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
