name,pos,fpts,rush_att,rush_yd,rush_td,pass_att,pass_cmp,pass_yd,pass_td,pass_int
Josh Allen,QB,312.419747634,94.67874988,497.8141014,8.540852149,517.8201115,341.3082481,3715.658845,23.06199092,12.3936682
Jalen Hurts,QB,314.760124052,124.5310525,536.4303798,9.975223768,495.3788857,320.0057172,3625.060081,20.98301183,11.235362
Lamar Jackson,QB,304.868134414,124.4498102,735.7206064,5.744707419,459.1559766,299.2051503,3387.206389,22.2472004,11.19262245
Patrick Mahomes,QB,307.305429108,62.14428098,336.7078084,0.977730861,549.4705342,363.5350854,4031.717345,33.16627729,10.94159468
Anthony Richardson,QB,273.08493292,116.5001638,545.0241765,8.850515639,487.9387841,312.103174,3387.264585,15.60396216,11.82262599
C.J. Stroud,QB,275.83724834800006,44.67790349,181.5353854,2.515128069,542.102381,349.3801719,4049.627183,26.74173075,10.79272488
Joe Burrow,QB,278.15748930800004,53.02316055,173.3247096,2.539238114,554.3236493,368.6043084,4120.717786,26.70694928,11.3586874
Dak Prescott,QB,276.369942262,50.78993858,227.0250423,2.05247586,549.6358265,372.8824261,4076.334155,26.62378527,12.22957545
Kyler Murray,QB,263.406079696,87.52491708,487.2404152,5.2774847,513.6163368,338.2926129,3539.863865,17.42624935,11.59595084
Jordan Love,QB,258.053464824,50.80900169,210.8651791,2.60205835,509.8015484,325.268006,3668.831591,26.19648584,12.5557249
Brock Purdy,QB,258.79704433200004,46.77418032,173.2284505,2.292339784,475.6599241,318.0946409,3899.067482,24.18934769,10.80535523
Aaron Rodgers,QB,265.419626718,34.23719603,109.2194264,2.00361575,520.2016147,342.6516312,3838.66855,27.50217195,9.099543229
Justin Herbert,QB,252.469734422,59.66774132,257.3133692,2.441316312,495.3269841,322.4726679,3559.807413,23.07381577,9.715019298
Jayden Daniels,QB,258.282553758,105.8879343,584.3477059,5.115798224,512.7458924,320.8327984,3462.224798,15.94887012,13.65281564
Kirk Cousins,QB,252.38873413,32.88435257,117.264515,1.613361555,535.7172269,346.6080416,3994.185783,24.8989041,11.1234242
Caleb Williams,QB,251.91523072200002,61.59626079,311.1485872,3.130722359,511.7541501,331.2205961,3537.549453,22.97307451,13.20170172
Deshaun Watson,QB,258.17300313399994,73.0331475,377.0331218,2.626302577,485.8340837,309.4186406,3739.771981,20.59885498,10.56029795
Trevor Lawrence,QB,247.96889949400003,58.30629246,281.0269339,3.145780515,535.6354536,348.0385323,3756.456024,20.37666014,12.4673965
Tua Tagovailoa,QB,239.484959588,38.94868326,113.1024186,1.028342919,518.3812507,347.4538501,4031.471082,22.68050977,12.0358111
Matthew Stafford,QB,240.03137277,25.69686967,68.0849003,0.962721412,533.9270984,346.2383293,4052.606654,23.11943843,12.45194559
Jared Goff,QB,235.11019164200005,32.8938395,51.60685328,1.826379755,520.3155133,349.2875581,3755.014281,23.19868843,10.16907992
Bryce Young,QB,223.53568119000002,45.89902027,267.5779443,0.805364956,511.9546755,325.4641676,3526.662593,20.11954241,11.61493861
Daniel Jones,QB,224.505181608,91.52306434,486.3165708,2.955417213,490.4918071,316.2459466,3259.767695,14.09705626,10.65709032
Baker Mayfield,QB,246.02975589400003,51.32517286,161.9317026,1.290946364,539.935632,342.5042482,3905.236106,23.76213287,12.0457541
Geno Smith,QB,227.515684142,48.14132636,225.7690082,1.425267188,483.4980765,320.7663715,3537.670957,19.83544347,10.21343243
Will Levis,QB,225.18521508000003,49.16957706,160.7130403,1.959458821,556.3501096,352.3386266,3864.36448,19.22309001,12.67535364
Russell Wilson,QB,191.69651130199998,58.05450592,269.0817149,2.022434645,411.7996819,262.7676727,2907.252614,14.8892963,9.255876322
J.J. McCarthy,QB,202.127483678,42.0354104,181.441104,1.941610673,478.7770508,303.001693,3258.810034,17.92983641,12.43779055
Drake Maye,QB,202.827761584,61.92321548,308.6975122,2.341559157,476.7848332,302.6242126,3158.287513,15.46612085,12.52953
Bo Nix,QB,191.344017074,44.34316088,189.3744326,1.781530743,489.3071025,307.0656756,3165.995067,16.40959225,12.73621419
Derek Carr,QB,223.61476144999995,31.02087784,83.5893175,0.515304174,522.0860417,345.6885918,3816.762557,21.69803679,11.13854468
Gardner Minshew,QB,126.114869584,27.25655687,99.63222244,1.522700619,311.5543665,198.2259183,2149.064866,9.602836757,6.73791945
Aidan O'Connell,QB,112.077339101,25.19057444,74.74982861,1.320551247,278.6003859,177.8300844,1921.858791,8.812047299,6.478896143
