name,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,pass_att,pass_cmp,pass_yd,pass_td,pass_int
Sam LaPorta,TE,168.097663362,84.1139287,860.7383652,6.616082644,118.62034,,,,,,,,
Travis Kelce,TE,167.08473431150003,83.23703062,836.1353675,7.004098478,107.725988,1.911161766,0.676318295,0.039626259,,,,,
Mark Andrews,TE,161.049345745,73.69692119,818.8449429,7.098717888,106.7555632,,,,,,,,
George Kittle,TE,143.60946176700003,62.70538487,845.6277863,4.649316649,88.02213773,,,,,,,,
Trey McBride,TE,141.177784537,82.90698421,795.7329738,3.45567933,112.4116027,,,,,,,,
Kyle Pitts,TE,138.44891434000002,60.2278715,830.6700504,4.203058698,99.09287647,,,,,,,,
Evan Engram,TE,139.51331969100002,86.81557191,787.0158331,3.076390811,118.27017,,,,,,,,
David Njoku,TE,137.17857297,63.17882974,743.0495309,5.284516404,91.01875393,,,,,,,,
Jake Ferguson,TE,132.98082670600002,65.43638704,675.089531,5.439300375,92.14558834,,,,,,,,
Dalton Kincaid,TE,133.379669039,74.81075635,727.6318979,3.956900966,102.043805,,,,,,,,
Dallas Goedert,TE,119.22319104900001,65.80478531,685.9567111,3.010015202,90.50062409,,,,,,,,
T.J. Hockenson,TE,111.358003531,63.94397589,619.249811,2.979609913,92.75465895,,,,,,,,
Brock Bowers,TE,115.90303091300001,56.60966927,652.838095,3.766613676,85.61679649,,,,,,,,
Pat Freiermuth,TE,110.174742342,56.77224162,589.1010471,3.859818321,81.92015982,,,,,,,,
Taysom Hill,TE,109.22608943440001,29.5545648,271.5099145,2.296665372,39.75002149,60.93747354,294.6499917,3.34078165,11.22328684,7.1350416,80.20017206,0.46575729,0.302870737
Dalton Schultz,TE,105.544382992,53.21312552,538.4324617,4.23172633,77.13709024,,,,,,,,
Tyler Conklin,TE,102.097158724,52.53972338,527.5862306,3.890035142,73.98198151,,,,,,,,
Cole Kmet,TE,104.03429587670001,57.83709745,518.8915704,3.895648029,78.44626003,2.089215266,0.747672857,0.031886361,,,,,
Chigoziem Okonkwo,TE,93.22834769209999,50.33873127,543.1607349,2.328306512,73.60030985,1.756531808,0.570632311,,,,,,
Juwan Johnson,TE,97.41112811299999,44.96778037,506.226906,4.058349489,69.37138425,,,,,,,,
Hunter Henry,TE,87.84393340900002,44.09247447,433.941972,3.748911612,67.43721112,,,,,,,,
Tucker Kraft,TE,71.4345117,37.97391984,372.499204,2.570930348,52.83477414,,,,,,,,
Luke Musgrave,TE,62.884035119,34.16143781,337.9057444,2.040671975,47.29059112,,,,,,,,
Noah Fant,TE,80.129008783,46.16532471,457.773786,1.921118548,62.03485191,,,,,,,,
Cade Otton,TE,87.94188614900001,43.24001539,456.2359714,3.488868965,65.12644496,,,,,,,,
Hayden Hurst,TE,78.65796932,41.35103948,393.1190389,3.164256886,59.93089573,,,,,,,,
Dawson Knox,TE,67.27931773899999,28.85595621,323.0193305,3.422095602,44.75997375,,,,,,,,
Jonnu Smith,TE,67.4296196101,31.53511086,369.5401552,2.397179378,46.24403936,2.048999538,2.063292681,0.061218102,,,,,
Jelani Woods,TE,64.501975908,32.13064974,349.9545761,2.25239092,48.07790319,,,,,,,,
Ben Sinnott,TE,56.422721479,30.48403443,311.7912676,1.700467929,44.57957172,,,,,,,,
Colby Parkinson,TE,60.715117006999996,30.82016729,304.0721412,2.490003154,43.46437571,,,,,,,,
Greg Dulcich,TE,55.738552428999995,29.08793791,328.5558993,1.424320512,45.87050508,,,,,,,,
Daniel Bellinger,TE,54.840483084,34.94996254,291.8679977,1.416162989,46.09738815,,,,,,,,
Isaiah Likely,TE,51.018653232999995,23.58022587,264.3957625,2.129615644,35.06379552,,,,,,,,
Zach Ertz,TE,57.127197765000005,30.26646339,289.3141775,2.188122549,48.20778636,,,,,,,,
Tyler Higbee,TE,60.292016322,33.37399252,346.5635204,1.519091264,49.29337253,,,,,,,,
Mike Gesicki,TE,50.507096296,23.958941,244.2502705,2.352646413,36.27068487,,,,,,,,
Michael Mayer,TE,49.415592577,27.09686045,283.4455117,1.286050384,39.31935983,,,,,,,,
Noah Gray,TE,56.62259196000001,28.57296248,288.5413313,2.269974481,41.11505703,,,,,,,,
Johnny Mundt,TE,36.394108118,20.57393226,192.0627113,1.172749401,29.2332328,,,,,,,,
Gerald Everett,TE,36.5677162316,19.53873279,181.0479846,1.44902927,27.90432303,2.089215266,1.846447786,0.021832611,,,,,
Will Dissly,TE,49.939308280999995,30.13970055,265.9039406,1.427059256,37.9424101,,,,,,,,
Jeremy Ruckert,TE,45.688811289,24.02880859,229.3427501,1.810380581,33.45936459,,,,,,,,
Austin Hooper,TE,43.860064132000005,25.99489952,244.6351366,1.08461928,39.13987284,,,,,,,,
Theo Johnson,TE,43.387695128999994,23.87650007,233.2200539,1.378420109,34.57304111,,,,,,,,
Tommy Tremble,TE,45.832789144,22.17865098,227.2718054,2.016405809,33.35737601,,,,,,,,
Tanner Hudson,TE,36.749571468,22.03845156,197.3022756,1.020250078,30.22557073,,,,,,,,
Connor Heyward,TE,39.704021732,21.2960238,205.8848901,1.428293107,30.49111126,,,,,,,,
Adam Trautman,TE,36.826760619,18.66640817,187.9766534,1.461750212,28.45944427,,,,,,,,
Kylen Granson,TE,38.631351798000004,20.63495224,213.046862,1.183976991,31.84136995,,,,,,,,
Ja'Tavion Sanders,TE,36.168348697,19.23219605,195.9835033,1.178397145,27.20082677,,,,,,,,
Josh Oliver,TE,36.163124034999996,18.51356821,186.1370725,1.415469338,27.92325313,,,,,,,,
Foster Moreau,TE,33.796902405,15.79053975,180.2171433,1.329693975,22.9032965,,,,,,,,
Brock Wright,TE,31.038437474,15.99410196,155.3587197,1.259020565,22.14007049,,,,,,,,
Durham Smythe,TE,28.427501234999998,17.77147737,143.4818341,0.87624994,22.95573865,,,,,,,,
Jordan Akins,TE,28.379613505,15.11053561,147.263513,1.035966765,20.94801622,,,,,,,,
Elijah Higgins,TE,27.541831554000005,15.60163854,151.9225835,0.766496261,21.94523195,,,,,,,,
Stephen Sullivan,TE,27.157577659,14.54542611,147.5498286,0.869909599,22.02116465,,,,,,,,
Darnell Washington,TE,26.969512750000003,14.06572714,142.5365462,0.958134652,20.02214261,,,,,,,,
Luke Schoonmaker,TE,25.434273879,12.17283957,125.5637676,1.138913951,17.91424721,,,,,,,,
Brevin Jordan,TE,24.124217181000002,11.71847399,128.9909046,0.899654482,17.29695648,,,,,,,,
Drew Sample,TE,22.805610358000003,13.66575976,116.0630786,0.744611199,18.13534244,,,,,,,,
Josh Whyle,TE,23.214870821,12.13255781,124.0049501,0.80317833,17.86007214,,,,,,,,
Brenton Strange,TE,22.929253915,11.77500889,118.1177451,0.878151927,17.2267531,,,,,,,,
Luke Farrell,TE,22.513100556,12.27443554,117.0898048,0.787222883,17.2267531,,,,,,,,
Pharaoh Brown,TE,21.753855623,12.29457451,123.7172718,0.563595338,16.83320854,,,,,,,,
Stone Smartt,TE,21.859794011,10.94377325,113.1439621,0.85402433,16.2610329,,,,,,,,
Drew Ogletree,TE,20.396498817999998,10.05895898,107.3010037,0.774935655,15.92068498,,,,,,,,
Payne Durham,TE,19.415706557,9.978103926,101.0293933,0.730031148,14.48922468,,,,,,,,
AJ Barner,TE,18.7082601565,9.824805101,97.83801376,0.677153816,13.87113016,,,,,,,,
Peyton Hendershot,TE,17.192550118,8.264061294,84.66038765,0.770539842,12.18800788,,,,,,,,
Ross Dwelley,TE,16.52370235,8.256207702,84.01644213,0.671530018,11.23826066,,,,,,,,
Erick All Jr.,TE,16.2469945215,8.564287183,83.64104854,0.608196256,12.09022829,,,,,,,,
Irv Smith Jr.,TE,16.4865532185,8.023062883,72.12149217,0.890807674,11.49054945,,,,,,,,
