player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,pass_att,pass_cmp,pass_yd,pass_td,pass_int,source,source_url
CeeDee Lamb,WR,260.393976783,112.864281,1407.047206,8.55633243,159.8579539,12.58781397,85.82082975,0.784962964,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tyreek Hill,WR,244.09339792600002,105.6896003,1422.602792,7.633366707,155.2411237,4.124762034,25.0009994,0.265321244,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Ja'Marr Chase,WR,239.156880214,105.898226,1347.021875,8.313608736,152.2474357,3.622188227,18.15912398,0.155803453,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Amon-Ra St. Brown,WR,229.43172511499998,109.6185963,1263.736686,7.395502839,152.8656344,4.485483171,29.20897309,0.259872193,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Justin Jefferson,WR,228.529104466,105.6617758,1354.472698,6.6181234,162.1479049,1.907684554,10.25313618,0.096852292,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
A.J. Brown,WR,214.820359585,89.65562779,1251.38979,7.632921508,138.3824488,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Garrett Wilson,WR,211.279987106,80.49980294,1139.914525,9.064736848,136.4613413,4.393030339,23.69025066,0.198401045,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Puka Nacua,WR,213.881807826,88.47398436,1237.391015,5.914162127,135.5121406,12.43806083,77.45082284,0.65177903,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Chris Olave,WR,202.098459324,86.507818,1262.135888,5.563660526,138.9125116,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Deebo Samuel Sr.,WR,189.58771613300001,62.20603473,922.9270798,5.621269038,94.13000528,28.86928361,164.6336392,2.802481827,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Mike Evans,WR,196.35333608000002,76.82799818,1135.956447,7.415413773,129.6246599,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Davante Adams,WR,188.87220215499997,89.33504537,1150.202163,4.968128072,143.0106381,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Marvin Harrison Jr.,WR,187.60835040300003,82.41333077,1117.879829,5.74732566,129.120287,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Nico Collins,WR,189.094422821,77.61216619,1058.905374,7.479964431,118.1832201,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
DK Metcalf,WR,191.75751495400002,70.05342458,1077.779318,8.207209024,118.1014295,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Drake London,WR,183.762613924,83.32295964,1022.171285,6.781497318,127.0161084,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Brandon Aiyuk,WR,184.58493745,75.12109112,1067.025388,6.843463502,113.4460108,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Malik Nabers,WR,181.635601565,82.11835875,1081.76729,5.455459179,133.2158768,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
DJ Moore,WR,184.940879273,77.38960523,1048.11036,6.698946703,123.2348536,2.08591891,12.6475642,0.095252555,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Calvin Ridley,WR,182.78602908300002,72.99261424,999.6895465,7.339005947,126.9384788,3.63538139,18.79757701,0.144241223,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Michael Pittman Jr.,WR,180.53364388800003,98.75513482,1085.090732,4.015571311,144.1385958,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tee Higgins,WR,181.13100785799998,70.04720832,1034.098157,7.20500379,115.6121583,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
DeVonta Smith,WR,183.18034215400002,83.84275812,1039.884755,6.325983181,122.2092126,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Cooper Kupp,WR,179.038175882,78.05939209,996.2761996,6.512115674,117.9760955,2.073010139,11.99405075,0.103482397,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jaylen Waddle,WR,177.45541117499997,80.63119485,1057.417683,4.697989579,120.3746985,4.124762034,24.95404262,0.239205139,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Stefon Diggs,WR,181.787640812,86.43754195,1040.339454,5.707006467,129.9669137,1.995784901,11.79853109,0.078172376,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
George Pickens,WR,175.28017546200005,70.99844775,1091.266945,4.602781524,117.8888864,4.491508433,28.51537473,0.211705657,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Zay Flowers,WR,177.09464091900003,78.42282806,970.8992403,5.539088169,117.0500348,9.0482822,55.39632223,0.506718517,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tank Dell,WR,174.84688488799998,69.99814043,934.4056014,5.774916462,112.2913734,15.9662792,92.87173365,0.581214642,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Diontae Johnson,WR,172.50754748999998,71.4840342,986.1410371,6.2104239,116.6182756,2.099388,13.01027956,0.086554058,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
