player,team,pos,def_sack,def_int,def_fum,def_td,def_sfty,fpts,source,source_url
Baltimore Ravens,BAL,DEF,61.5,18.4,11.3,2.6,0.0,222.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Cleveland Browns,CLE,DEF,49.7,22.6,6.5,4.0,0.0,216.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
New York Jets,NYJ,DEF,51.5,18.7,7.6,3.4,2.6,211.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Buffalo Bills,BUF,DEF,49.3,17.2,11.0,3.7,0.0,210.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
San Francisco 49ers,SFO,DEF,50.0,21.3,7.7,1.6,0.6,203.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Dallas Cowboys,DAL,DEF,42.7,14.9,8.2,3.8,1.1,197.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Indianapolis Colts,IND,DEF,52.8,13.7,8.6,4.0,1.8,197.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Miami Dolphins,MIA,DEF,47.7,15.4,9.9,4.3,0.0,195.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Kansas City Chiefs,KCC,DEF,60.4,8.6,7.4,2.3,0.0,195.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
New Orleans Saints,NOS,DEF,35.1,18.8,11.2,2.9,0.0,194.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Houston Texans,HOU,DEF,49.1,13.5,5.9,3.2,0.0,187.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Pittsburgh Steelers,PIT,DEF,47.6,18.0,8.6,0.0,1.0,187.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Cincinnati Bengals,CIN,DEF,44.6,18.1,7.6,1.3,0.0,186.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Jacksonville Jaguars,JAC,DEF,46.3,15.2,7.4,1.5,0.0,185.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
New England Patriots,NEP,DEF,35.4,12.1,8.4,3.5,0.3,184.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Philadelphia Eagles,PHI,DEF,47.1,9.1,4.9,3.7,0.4,180.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Los Angeles Chargers,LAC,DEF,53.3,8.0,9.0,1.2,0.0,180.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Seattle Seahawks,SEA,DEF,44.4,12.1,6.5,2.7,0.0,177.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Chicago Bears,CHI,DEF,32.6,23.0,5.6,1.8,0.0,174.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Denver Broncos,DEN,DEF,42.2,10.8,14.9,1.8,0.8,174.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Tampa Bay Buccaneers,TBB,DEF,45.9,9.8,13.4,0.0,1.0,173.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
New York Giants,NYG,DEF,34.6,17.0,10.9,4.5,0.0,172.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Las Vegas Raiders,LVR,DEF,39.9,11.5,8.0,4.1,0.8,170.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Detroit Lions,DET,DEF,41.0,19.4,4.7,0.0,1.3,169.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
Green Bay Packers,GBP,DEF,46.6,5.2,13.1,1.4,0.0,169.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=
