Rank,Player ID,Player Name,Team,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts,pos,source,source_url
1,16414,"Aubrey, Brandon",DAL,K,50.8,53.9,32.9,36.5,0.0,7.4,11.8,4.6,9.2,3.6,138.8,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
2,10976,"Tucker, Justin",BAL,K,44.0,44.1,34.2,39.1,0.0,10.9,11.6,9.1,2.5,4.9,131.7,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
3,15979,"Dicker, Cameron",LAC,K,34.5,34.5,33.4,36.0,0.0,8.4,8.9,10.7,5.3,2.6,126.7,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
4,13354,"Butker, Harrison",KCC,K,39.7,40.2,32.4,36.1,0.0,11.1,8.8,6.4,6.1,3.7,126.0,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
5,13303,"Elliott, Jake",PHI,K,51.4,52.4,26.1,28.0,0.0,7.5,7.8,5.4,5.4,1.9,123.9,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
6,13718,"Carlson, Daniel",LVR,K,38.4,38.9,31.6,34.9,0.0,9.5,9.6,7.9,4.6,3.3,123.3,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
7,12437,"Myers, Jason",SEA,K,34.8,35.3,34.1,39.2,0.0,9.0,11.8,8.0,5.2,5.2,121.6,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
8,11945,"Santos, Cairo",CHI,K,30.7,33.5,33.6,37.4,0.0,8.0,11.0,8.3,6.3,3.8,120.2,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
9,10868,"Zuerlein, Greg",NYJ,K,23.5,23.8,37.2,43.2,0.0,8.3,10.8,12.9,5.2,6.0,117.2,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
10,12860,"Fairbairn, Ka'imi",HOU,K,26.9,28.6,31.7,33.9,0.0,10.3,10.5,3.6,7.3,2.2,115.6,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
11,16286,"Moody, Jake",SFO,K,56.3,58.2,23.6,27.9,0.0,7.8,7.4,4.8,3.7,4.3,114.4,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
12,14983,"Bass, Tyler",BUF,K,49.0,50.9,25.2,28.8,0.0,5.2,10.4,6.5,3.1,3.6,113.9,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
13,15368,"McPherson, Evan",CIN,K,47.0,48.1,26.7,31.2,0.0,6.5,7.9,7.2,5.1,4.5,113.5,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
14,13403,"Koo, Younghoe",ATL,K,31.2,32.7,31.9,36.9,0.0,9.2,9.6,8.9,4.2,5.0,112.1,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
15,13832,"Sanders, Jason",MIA,K,49.2,50.6,26.1,31.4,0.0,5.5,8.7,7.8,4.0,5.3,111.4,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
16,12956,"Lutz, Wil",DEN,K,35.0,36.5,30.5,35.6,0.0,11.8,9.8,5.5,3.5,5.2,110.9,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
17,14244,"Gay, Matt",IND,K,33.4,34.2,33.7,41.8,0.0,8.6,10.5,7.2,7.3,8.1,110.2,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
18,11936,"Boswell, Chris",PIT,K,30.8,31.7,30.7,35.0,0.0,8.7,7.7,7.1,7.1,4.3,110.1,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
19,14717,"McLaughlin, Chase",TBB,K,33.2,33.2,28.1,31.1,0.0,7.0,11.0,3.0,7.2,2.9,108.7,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
20,11387,"Hopkins, Dustin",CLE,K,27.9,30.8,28.9,32.6,0.0,7.7,8.2,8.0,5.0,3.7,103.6,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
21,16444,"Grupe, Blake",NOS,K,42.7,42.7,26.4,32.9,0.0,9.3,5.9,6.3,4.9,6.5,102.2,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
22,16680,"Little, Cam",JAC,K,32.9,33.4,27.7,33.1,0.0,6.1,10.3,8.7,2.6,5.4,99.5,K,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
