Rank,Player ID,Player Name,Team,Position,Att,Comp,Pass Yds,Pass TDs,0-9 PassTDs,10-19 PassTDs,20-29 PassTDs,30-39 PassTDs,40-49 PassTDs,50+ PassTDs,Int,Sacked,>= 250yds,>= 300yds,>= 350yds,Rush,Rush Yds,Rush TDs,Fum Lost,Scoring Opps,Pts,pos,source,source_url
1,13589,"Allen, Josh",BUF,QB,526.4,336.4,3874.0,25.9,9.7,8.3,4.4,0.5,1.0,2.1,17.2,28.2,8.3,3.5,1.1,128.0,644.0,13.0,4.1,77.7,419.4,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
2,14783,"Hurts, Jalen",PHI,QB,488.4,319.0,3579.0,22.9,6.8,4.7,5.0,4.2,1.1,1.1,12.9,37.8,4.3,2.4,1.0,168.3,722.0,13.9,4.8,64.5,403.7,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
3,13116,"Mahomes, Patrick",KCC,QB,601.8,406.2,4288.0,28.0,18.9,5.9,0.5,2.1,0.2,0.5,11.8,29.1,12.0,2.9,1.2,84.9,438.0,1.4,2.1,76.3,363.7,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
4,12620,"Prescott, Dak",DAL,QB,532.2,359.2,4012.0,33.3,15.4,9.4,3.3,2.7,1.1,1.3,14.8,37.4,10.8,2.7,1.1,56.5,236.0,1.2,2.4,83.2,347.8,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
5,14777,"Burrow, Joe",CIN,QB,565.9,382.0,4066.0,29.6,13.3,6.3,4.5,0.9,1.3,3.2,13.8,44.4,10.4,2.7,1.2,66.4,235.0,3.0,2.0,69.3,347.4,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
6,14782,"Love, Jordan",GBP,QB,539.0,353.8,3948.0,30.9,13.0,9.5,4.5,3.2,0.0,0.7,7.5,26.1,10.8,3.1,1.1,42.3,171.0,3.3,3.6,60.6,346.8,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
7,14056,"Murray, Kyler",ARI,QB,583.0,382.8,3700.0,20.3,13.3,1.7,2.1,2.0,0.9,0.3,11.3,40.6,5.9,2.5,1.1,103.6,599.0,5.3,3.9,59.4,343.5,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
8,16152,"Richardson, Anthony",IND,QB,561.6,353.3,3701.0,17.2,5.6,6.1,0.0,3.4,0.0,2.1,10.8,43.2,4.4,2.5,1.1,72.8,437.0,10.0,4.8,53.1,342.5,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
9,16150,"Stroud, C.J.",HOU,QB,567.2,359.2,4332.0,24.5,12.1,5.2,3.1,0.0,1.0,3.2,8.8,39.8,8.6,3.4,1.2,52.3,216.0,3.2,4.0,70.0,340.6,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
10,15237,"Lawrence, Trevor",JAC,QB,590.2,387.3,4139.0,21.9,6.5,7.3,4.2,0.5,0.6,2.9,12.7,32.2,11.3,3.2,1.2,69.9,360.0,4.9,6.6,59.7,337.6,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
11,14778,"Tagovailoa, Tua",MIA,QB,562.7,378.7,4613.0,28.5,11.9,5.0,1.7,2.3,1.8,5.8,13.7,32.2,12.3,3.6,1.3,36.9,104.0,0.0,3.9,70.0,333.5,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
12,13593,"Jackson, Lamar",BAL,QB,447.6,282.0,3352.0,19.7,6.6,5.6,2.5,2.3,1.4,1.4,8.5,45.8,4.0,2.2,1.0,152.2,865.0,3.0,6.3,57.1,332.4,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
13,15698,"Purdy, Brock",SFO,QB,457.1,308.6,4043.0,27.9,10.7,6.5,3.3,2.5,2.3,2.5,10.6,30.0,9.3,3.2,1.2,48.2,171.0,2.1,1.8,54.2,329.6,QB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
