player,team,pos,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sacked,rush_att,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
Josh Allen,BUF,QB,526.4,336.4,3874.0,25.9,17.2,28.2,128.0,644.0,13.0,4.1,419.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Jalen Hurts,PHI,QB,488.4,319.0,3579.0,22.9,12.9,37.8,168.3,722.0,13.9,4.8,403.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Patrick Mahomes,KCC,QB,601.8,406.2,4288.0,28.0,11.8,29.1,84.9,438.0,1.4,2.1,363.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Lamar Jackson,BAL,QB,467.9,294.8,3503.0,20.6,8.0,43.3,159.1,904.0,3.2,6.0,349.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Dak Prescott,DAL,QB,532.2,359.2,4012.0,33.3,14.8,37.4,56.5,236.0,1.2,2.4,347.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Joe Burrow,CIN,QB,565.9,382.0,4066.0,29.6,13.8,44.4,66.4,235.0,3.0,2.0,347.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Jordan Love,GBP,QB,539.0,353.8,3948.0,30.9,7.5,26.1,42.3,171.0,3.3,3.6,346.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Kyler Murray,ARI,QB,583.0,382.8,3700.0,20.3,11.3,40.6,103.6,599.0,5.3,3.9,343.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Anthony Richardson,IND,QB,561.6,353.3,3701.0,17.2,10.8,43.2,72.8,437.0,10.0,4.8,342.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
C.J. Stroud,HOU,QB,567.2,359.2,4332.0,24.5,8.8,39.8,52.3,216.0,3.2,4.0,340.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Trevor Lawrence,JAC,QB,590.2,387.3,4139.0,21.9,12.7,32.2,69.9,360.0,4.9,6.6,337.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Tua Tagovailoa,MIA,QB,562.7,378.7,4613.0,28.5,13.7,32.2,36.9,104.0,0.0,3.9,333.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Brock Purdy,SFO,QB,457.1,308.6,4043.0,27.9,10.6,30.0,48.2,171.0,2.1,1.8,329.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Jared Goff,DET,QB,586.8,390.2,4411.0,27.2,8.4,25.9,27.8,35.0,0.9,2.6,327.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Aaron Rodgers,NYJ,QB,497.0,330.0,3807.0,32.0,14.0,48.0,41.7,167.0,1.0,4.8,324.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Caleb Williams,CHI,QB,432.4,266.8,2945.0,16.1,11.1,49.2,151.1,894.0,5.9,4.1,317.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Geno Smith,SEA,QB,536.9,356.5,3966.0,25.8,10.7,42.5,48.9,259.0,0.9,3.7,317.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Daniel Jones,NYG,QB,526.7,347.0,3555.0,15.3,9.7,67.6,128.1,697.0,3.6,2.6,316.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Baker Mayfield,TBB,QB,557.0,360.6,3928.0,27.2,10.4,39.6,54.5,122.0,1.0,3.1,309.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Jayden Daniels,WAS,QB,576.8,367.7,3848.0,20.1,17.9,54.2,52.7,248.0,5.3,3.8,305.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Matthew Stafford,LAR,QB,556.6,355.6,4093.0,24.9,12.4,42.7,33.1,84.0,1.0,2.1,304.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Justin Herbert,LAC,QB,587.3,390.8,3899.0,19.3,9.0,45.3,71.0,303.0,1.9,3.9,299.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Bo Nix,DEN,QB,489.1,313.1,3438.0,20.4,10.2,56.0,83.5,299.0,3.4,3.6,289.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
Deshaun Watson,CLE,QB,534.8,315.7,3538.0,21.8,16.3,48.2,74.7,358.0,2.1,3.8,288.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=1&scoring=18&League=-1&uid=4&uid2=&printable=
