Rank,Player ID,Player Name,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds.1,>= 100yds.1,Kick Ret Yds,Fum Lost,Scoring Opps,Pts,pos,source,source_url
1,13130,"McCaffrey, Christian",SFO,RB,276.0,1395.0,12.9,10.3,1.2,0.5,0.5,0.0,0.5,14.1,4.6,93.3,12.7,74.4,643.0,6.3,2.6,1.3,0.0,2.0,48.0,352.3,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
2,15710,"Williams, Kyren",LAR,RB,259.5,1202.0,12.8,10.5,1.1,1.2,0.0,0.0,0.0,13.3,2.4,53.7,13.7,36.0,245.0,1.7,1.0,0.5,5.0,2.4,37.7,247.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
3,14802,"Taylor, Jonathan",IND,RB,318.4,1334.0,9.7,7.7,0.5,0.0,0.0,0.9,0.7,14.7,2.7,59.8,8.7,44.0,274.0,1.8,1.1,0.5,0.0,2.3,39.0,247.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
4,16161,"Robinson, Bijan",ATL,RB,245.0,1111.0,5.5,3.8,1.7,0.0,0.0,0.0,0.0,11.2,2.2,91.8,12.8,61.3,533.0,3.6,2.1,1.1,19.0,2.8,29.3,244.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
5,13604,"Barkley, Saquon",PHI,RB,310.5,1276.0,8.6,8.6,0.0,0.0,0.0,0.0,0.0,14.8,2.6,69.4,5.4,48.3,311.0,1.9,1.2,0.6,0.0,1.8,26.4,244.7,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
6,15708,"Hall, Breece",NYJ,RB,210.7,971.0,6.3,2.8,0.2,0.0,1.3,0.0,2.1,12.4,1.9,83.7,6.6,63.7,518.0,3.2,2.1,1.0,0.0,0.0,18.4,239.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
7,15711,"Walker III, Kenneth",SEA,RB,293.5,1255.0,10.2,4.3,3.9,1.0,0.0,0.0,1.1,14.4,2.5,47.9,4.0,35.2,284.0,0.7,1.1,0.6,0.0,0.0,25.2,237.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
8,16167,"Achane, De'Von",MIA,RB,175.2,1050.0,9.7,5.1,1.3,2.1,0.0,0.0,1.2,4.9,2.1,70.1,11.7,49.3,346.0,2.6,1.4,0.7,78.0,1.1,22.3,236.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
9,15253,"Etienne, Travis",JAC,RB,248.6,1069.0,9.4,6.2,0.6,1.0,0.2,0.0,1.4,12.8,2.1,65.8,3.0,51.7,408.0,0.6,1.6,0.8,0.0,1.4,27.3,233.5,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
10,12626,"Henry, Derrick",BAL,RB,237.8,1102.0,12.0,7.4,2.6,1.3,0.3,0.3,0.0,13.3,2.2,46.5,3.6,31.7,266.0,0.7,1.1,0.5,72.0,0.3,34.4,228.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
