Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts,pos,source,source_url
1,16214,"LaPorta, Sam",DET,TE,126.9,16.7,88.6,925.0,9.1,4.7,2.9,0.0,0.6,0.6,0.2,10.0,1.8,0.6,0.2,4.0,0.0,0.0,0.0,15.2,195.4,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
2,11244,"Kelce, Travis",KCC,TE,132.2,22.6,98.6,1054.0,6.7,3.6,2.2,0.0,0.9,0.0,0.0,12.3,2.1,0.7,0.3,4.0,0.0,0.0,1.1,16.0,193.3,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
3,13189,"Engram, Evan",JAC,TE,145.2,13.5,107.1,961.0,4.7,1.3,2.0,1.4,0.0,0.0,0.0,11.3,1.9,0.6,0.2,3.0,0.0,0.0,1.4,8.3,175.4,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
4,13671,"Andrews, Mark",BAL,TE,112.3,19.2,72.2,892.0,6.6,2.9,2.1,0.7,0.5,0.0,0.4,6.9,1.8,0.6,0.2,3.0,0.0,0.0,0.0,15.1,166.8,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
5,13299,"Kittle, George",SFO,TE,87.7,14.0,60.2,899.0,7.1,2.1,1.0,0.5,1.8,0.7,1.1,10.1,1.8,0.6,0.2,3.0,0.0,0.0,0.0,12.2,163.0,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
6,15794,"McBride, Trey",ARI,TE,120.3,10.1,90.1,892.0,3.6,3.2,0.4,0.0,0.0,0.0,0.0,10.1,1.8,0.6,0.2,0.0,0.0,0.0,0.0,9.1,155.6,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
7,14138,"Hockenson, T.J.",MIN,TE,120.6,13.6,83.4,843.0,4.2,2.6,1.0,0.6,0.0,0.0,0.0,5.1,1.7,0.6,0.2,0.0,0.0,0.0,1.4,9.8,149.7,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
8,13192,"Njoku, David",CLE,TE,119.7,22.0,74.5,819.0,5.3,1.5,1.9,0.8,0.9,0.0,0.0,5.8,1.6,0.5,0.2,-3.7,0.0,0.0,2.1,15.8,146.2,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
9,15799,"Ferguson, Jake",DAL,TE,105.3,24.0,71.1,759.0,5.6,3.4,1.9,0.2,0.0,0.0,0.0,3.0,1.5,0.5,0.2,0.0,0.0,0.0,0.0,15.8,145.0,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
10,14867,"Kmet, Cole",CHI,TE,90.6,14.2,68.9,722.0,6.1,3.0,2.5,0.2,0.0,0.0,0.5,2.9,1.4,0.5,0.2,5.0,0.0,0.0,0.0,9.8,144.0,TE,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=5&scoring=18
