player,team,pos,rec_tgt,rec_rcpt,rec_yd,rec_td,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
Tyreek Hill,MIA,WR,163.9,108.2,1560.0,9.3,18.0,0.4,0.7,269.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Amon-Ra St. Brown,DET,WR,174.7,120.4,1510.0,8.0,32.0,0.0,0.5,261.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Justin Jefferson,MIN,WR,164.5,106.5,1555.0,6.9,4.0,0.5,0.5,253.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Ja'Marr Chase,CIN,WR,162.6,104.4,1371.0,8.9,1.0,0.0,0.6,241.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Puka Nacua,LAR,WR,163.6,98.6,1427.0,6.2,99.0,0.0,0.0,239.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
A.J. Brown,PHI,WR,169.7,101.1,1443.0,8.3,0.0,0.0,3.0,238.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
CeeDee Lamb,DAL,WR,137.1,96.3,1239.0,8.6,73.0,1.1,2.0,234.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Davante Adams,LVR,WR,175.0,98.1,1245.0,10.1,-0.4,0.0,0.0,234.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
D.J. Moore,CHI,WR,140.8,98.6,1330.0,6.3,24.0,1.1,2.1,225.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Mike Evans,TBB,WR,151.1,81.1,1213.0,9.9,0.0,0.0,0.0,221.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Deebo Samuel,SFO,WR,125.3,76.9,1040.0,6.3,194.0,3.7,0.6,220.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
DK Metcalf,SEA,WR,159.0,85.7,1274.0,8.0,0.0,0.0,0.5,217.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Nico Collins,HOU,WR,138.0,87.9,1255.0,7.4,11.0,0.0,0.0,216.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Cooper Kupp,LAR,WR,149.4,97.0,1133.0,8.1,34.0,0.2,0.0,216.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Stefon Diggs,HOU,WR,140.0,94.3,1251.0,7.1,8.0,0.0,0.6,216.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Chris Olave,NOS,WR,154.4,96.1,1281.0,6.3,0.0,0.0,0.6,214.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Brandon Aiyuk,SFO,WR,123.3,78.3,1330.0,6.9,22.0,0.2,1.2,214.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Amari Cooper,CLE,WR,142.3,76.5,1268.0,8.2,0.0,0.0,0.8,213.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Marvin Harrison Jr.,ARI,WR,152.2,100.2,1177.0,6.8,20.0,0.0,0.5,211.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
DeVonta Smith,PHI,WR,134.2,93.6,1233.0,7.2,0.0,0.0,1.3,211.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Garrett Wilson,NYJ,WR,224.1,116.3,1357.0,2.9,-3.3,0.0,1.6,207.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
George Pickens,PIT,WR,100.3,60.6,1212.0,8.7,14.0,0.0,0.0,205.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Zay Flowers,BAL,WR,123.8,83.9,1106.0,6.8,51.0,0.6,1.6,201.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jaylen Waddle,MIA,WR,125.5,79.6,1278.0,5.6,14.0,0.0,0.6,201.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Keenan Allen,CHI,WR,137.7,94.2,1144.0,6.0,12.0,0.6,0.7,200.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Michael Pittman,IND,WR,170.1,114.5,1133.0,3.6,10.0,0.0,0.5,194.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Drake London,ATL,WR,168.0,98.6,1255.0,3.3,0.0,0.0,1.5,192.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Christian Watson,GBP,WR,107.8,67.2,933.0,8.3,66.0,1.4,0.0,191.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Malik Nabers,NYG,WR,103.0,72.0,985.0,8.8,20.0,0.0,0.0,189.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Tee Higgins,CIN,WR,123.7,72.6,1078.0,6.9,10.0,0.0,0.0,187.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Chris Godwin,TBB,WR,151.4,97.2,1119.0,2.7,30.0,0.8,1.0,184.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Keon Coleman,BUF,WR,102.6,66.5,1022.0,7.5,10.0,0.0,0.7,181.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Christian Kirk,JAC,WR,127.1,77.1,1072.0,6.3,7.0,0.0,1.4,181.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jakobi Meyers,LVR,WR,118.9,72.4,850.0,7.1,32.0,2.1,0.3,179.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jayden Reed,GBP,WR,105.5,69.0,833.0,6.7,80.0,2.0,0.0,179.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jordan Addison,MIN,WR,116.8,72.2,900.0,8.6,4.0,0.0,0.0,178.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Calvin Ridley,TEN,WR,147.8,72.1,1044.0,5.1,20.0,0.0,0.0,175.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Diontae Johnson,CAR,WR,118.2,76.6,966.0,6.8,2.0,0.0,0.9,174.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Terry McLaurin,WAS,WR,134.1,79.5,1082.0,4.3,10.0,0.0,0.0,174.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
DeAndre Hopkins,TEN,WR,135.7,73.2,932.0,5.5,7.0,0.0,0.4,162.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Jameson Williams,DET,WR,97.2,56.3,850.0,4.7,49.0,2.5,0.3,161.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Adam Thielen,CAR,WR,140.8,97.0,928.0,2.8,5.0,0.0,0.0,160.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Tank Dell,HOU,WR,115.3,61.8,803.0,6.7,65.0,0.0,0.0,157.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
Marquise Brown,KCC,WR,116.7,69.3,855.0,6.4,-0.1,0.0,0.8,157.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=4&scoring=18&League=-1&uid=4&uid2=&printable=
