player,team,pos,source,source_url,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fpts
Christian McCaffrey,SF,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,264,1322,12,69,586,6,333.3
Breece Hall,NYJ,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,271,1249,11,73,554,4,306.8
Bijan Robinson,ATL,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,269,1239,10,65,488,4,289.2
Saquon Barkley,PHI,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,291,1341,9,58,400,4,281.1
Jonathan Taylor,IND,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,296,1364,12,43,336,2,275.5
Jahmyr Gibbs,DET,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,238,1215,10,63,396,2,264.6
Devon Achane,MIA,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,218,1198,11,53,386,3,268.9
Travis Etienne,JAX,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,262,1156,10,56,476,2,263.2
Josh Jacobs,GB,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,278,1195,11,53,399,2,263.9
Kyren Williams,LAR,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,248,1191,11,51,336,3,262.2
James Cook,BUF,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,255,1227,7,49,465,3,253.7
Rachaad White,TB,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,298,1136,7,59,494,3,252.5
Isiah Pacheco,KC,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,242,1142,8,53,318,3,238.5
Kenneth Walker III,SEA,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,254,1118,9,42,331,2,231.9
Alvin Kamara,NO,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,197,843,6,71,494,2,217.2
Rhamondre Stevenson,NE,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,228,1019,7,51,331,2,214.5
Derrick Henry,BAL,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,273,1216,13,19,152,0,224.3
D'Andre Swift,CHI,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,244,1133,8,40,261,1,213.4
Aaron Jones,MIN,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,203,1014,5,47,357,3,208.6
Devin Singletary,NYG,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,227,1029,7,49,328,1,208.2
Najee Harris,PIT,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,269,1133,8,34,204,2,210.7
Joe Mixon,HOU,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,237,1049,8,35,252,1,201.6
Zack Moss,CIN,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,242,1056,9,31,217,1,202.8
Jonathon Brooks,CAR,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,225,993,6,41,312,1,193.0
Austin Ekeler,WAS,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,140,602,4,56,442,4,180.4
Jaylen Warren,PIT,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,144,735,3,63,396,2,174.6
James Conner,ARI,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,231,1031,8,29,188,1,190.4
Zamir White,LV,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,212,956,7,36,244,1,186.0
Tony Pollard,TEN,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,158,752,5,53,381,1,175.8
Brian Robinson Jr.,WAS,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,228,959,7,29,261,1,184.5
Javonte Williams,DEN,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,205,857,6,39,236,2,176.8
Nick Chubb,CLE,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,194,1024,9,22,180,0,185.4
Ezekiel Elliott,DAL,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,207,818,8,29,179,1,168.2
Tyjae Spears,TEN,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,113,509,4,51,362,2,148.6
David Montgomery,DET,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,191,861,9,19,142,0,163.8
Raheem Mostert,MIA,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,172,811,7,22,151,1,155.2
Trey Benson,ARI,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,114,544,3,43,339,2,139.8
J.K. Dobbins,LAC,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,172,811,6,21,138,0,141.4
Blake Corum,LAR,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,127,549,8,22,160,0,129.9
Zach Charbonnet,SEA,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,125,551,3,36,230,1,120.1
Ty Chandler,MIN,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,129,571,3,31,232,1,119.80000000000001
Antonio Gibson,NE,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,95,391,2,41,308,2,114.4
Chase Brown,CIN,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,110,449,3,31,266,1,111.0
Samaje Perine,DEN,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,73,316,3,36,303,1,103.9
Kimani Vidal,LAC,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,122,535,3,25,191,1,109.1
Rico Dowdle,DAL,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,103,516,4,22,184,1,111.0
Chuba Hubbard,CAR,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,107,421,3,31,204,1,102.0
MarShawn Lloyd,GB,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,90,424,3,26,205,1,99.9
Jaleel McLaughlin,DEN,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,85,431,2,33,182,1,95.8
Tyrone Tracy Jr.,NYG,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,92,406,2,28,213,1,93.9
Jerome Ford,CLE,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,112,461,3,21,151,1,95.7
Jaylen Wright,MIA,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,78,385,1,26,223,2,91.8
Kareem Hunt,CLE,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,114,457,5,17,103,0,94.5
Kenneth Gainwell,PHI,RB,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=1,76,337,2,28,196,1,85.3
