player,team,pos,source,source_url,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fpts
Sam LaPorta,DET,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,93,958,9,0,0,0,196.3
Travis Kelce,KC,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,88,950,8,0,0,0,187.0
Mark Andrews,BAL,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,79,988,8,0,0,0,186.3
Trey McBride,ARI,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,92,948,6,0,0,0,176.8
Dalton Kincaid,BUF,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,91,937,6,0,0,0,175.2
George Kittle,SF,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,72,994,7,1,4,0,177.4
Kyle Pitts,ATL,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,77,978,6,0,0,0,172.3
Evan Engram,JAX,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,91,873,5,0,0,0,162.8
David Njoku,CLE,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,77,847,6,0,0,0,159.2
T.J. Hockenson,MIN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,77,785,5,0,0,0,147.0
Jake Ferguson,DAL,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,75,788,5,0,0,0,146.3
Dallas Goedert,PHI,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,65,761,6,0,0,0,144.6
Cole Kmet,CHI,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,71,724,5,2,6,0,137.9
Pat Freiermuth,PIT,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,69,683,6,0,0,0,138.8
Brock Bowers,LV,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,62,737,5,0,0,0,134.7
Dalton Schultz,HOU,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,61,652,5,0,0,0,125.69999999999999
Chigoziem Okonkwo,TEN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,61,646,5,2,6,0,125.1
Hunter Henry,NE,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,52,613,6,0,0,0,123.30000000000001
Luke Musgrave,GB,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,57,592,5,0,0,0,117.69999999999999
Jonnu Smith,MIA,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,54,621,5,0,0,0,119.1
Greg Dulcich,DEN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,44,571,5,0,0,0,109.1
Tyler Conklin,NYJ,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,59,596,3,0,0,0,107.1
Juwan Johnson,NO,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,51,541,5,0,0,0,109.6
Noah Fant,SEA,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,51,566,4,0,0,0,106.1
