player,gp,xp_made,fg_0_19_made,fg_20_29_made,fg_30_39_made,fg_40_49_made,fg_50_made,fpts,pos,source,source_url,fpts_halfppr_adjust
Harrison Butker K - KC,17,51,-,8,10,7,5,151.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Justin Tucker K - BAL,17,48,-,8,9,9,5,151.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Brandon Aubrey K - DAL,17,48,-,9,9,7,5,148.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Evan McPherson K - CIN,17,48,-,7,8,9,5,145.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Younghoe Koo K - ATL,17,39,-,8,9,7,6,141.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Cameron Dicker K - LAC,17,40,-,7,9,8,5,137.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jake Moody K - SF,17,48,-,7,9,7,4,137.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Greg Zuerlein K - NYJ,17,40,-,7,9,8,5,137.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Ka'imi Fairbairn K - HOU,17,47,-,7,9,7,4,136.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Tyler Bass K - BUF,17,44,-,7,9,7,4,133.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Daniel Carlson K - LV,17,36,-,8,9,7,5,133.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Dustin Hopkins K - CLE Q,17,41,-,7,9,8,4,133.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Blake Grupe K - NO,17,38,-,7,9,7,5,132.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jason Myers K - SEA,17,38,-,7,9,7,5,132.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jason Sanders K - MIA,17,46,-,7,8,7,4,132.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jake Elliott K - PHI,17,41,-,7,8,8,4,130.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Chris Boswell K - PIT,17,35,-,7,9,7,5,129.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Matt Gay K - IND,17,35,-,7,9,7,5,129.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Chase McLaughlin K - TB,17,35,-,7,9,7,5,129.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Matt Prater K - ARI,17,35,-,7,9,7,5,129.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Nick Folk K - TEN,17,33,-,7,9,7,5,127.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Graham Gano K - NYG,17,33,-,7,9,7,5,127.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Joshua Karty K - LAR,16,43,-,7,8,8,3,127.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Cairo Santos K - CHI,17,37,-,7,8,8,4,126.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Anders Carlson K - GB View News,16,42,-,7,7,7,4,125.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Wil Lutz K - DEN,17,36,-,7,8,7,4,122.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Will Reichard K - MIN,16,40,-,6,9,7,3,121.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
