player,gp,pass_yd,pass_td,pass_int,rush_yd,rush_td,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,pos,source,source_url,fpts_halfppr_adjust
Josh Allen QB - BUF,16,4035,27,14,550,9,-,-,-,4,342.4,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jalen Hurts QB - PHI,16,3694,22,11,649,11,-,-,-,3,338.66,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Lamar Jackson QB - BAL,16,3516,25,10,801,5,-,-,-,3,324.74,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Patrick Mahomes QB - KC,16,4401,33,12,350,2,-,-,-,4,323.04,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Anthony Richardson QB - IND,16,3349,19,12,780,9,-,-,-,3,311.96,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
C.J. Stroud QB - HOU View News,16,4367,33,12,195,2,-,-,-,3,308.18,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Dak Prescott QB - DAL,16,4260,31,11,227,2,-,-,-,3,301.1,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Joe Burrow QB - CIN,16,4313,32,12,188,2,-,-,-,4,299.32,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Brock Purdy QB - SF,16,4031,31,11,163,2,-,-,-,3,285.54,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Kyler Murray QB - ARI,16,3667,21,12,526,5,-,-,-,3,283.28,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jordan Love QB - GB,16,3927,28,12,216,3,-,-,-,3,278.68,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Justin Herbert QB - LAC,16,3967,26,10,211,3,-,-,-,4,273.78,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Trevor Lawrence QB - JAX,16,3912,25,13,316,3,-,-,-,4,272.08,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jared Goff QB - DET,16,4207,29,11,57,1,-,-,-,3,267.98,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Tua Tagovailoa QB - MIA,16,4104,29,12,73,1,-,-,-,3,263.46,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Caleb Williams QB - CHI,16,3802,24,14,272,3,-,-,-,3,259.28,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Matthew Stafford QB - LAR,16,4085,29,14,68,1,-,-,-,3,258.2,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jayden Daniels QB - WAS,16,3344,20,14,528,4,-,-,-,3,256.56,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Aaron Rodgers QB - NYJ,16,3897,27,9,96,1,-,-,-,3,255.48,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Deshaun Watson QB - CLE,15,3378,22,13,393,4,-,-,-,3,254.42,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Baker Mayfield QB - TB,16,3833,24,12,192,2,-,-,-,3,250.52,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
