player,gp,pass_yd,pass_td,pass_int,rush_yd,rush_td,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,pos,source,source_url,fpts_halfppr_adjust
Christian McCaffrey RB - SF,15,-,-,-,1229,11,68,537,4,2,364.6,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Breece Hall RB - NYJ,15,-,-,-,1175,8,55,412,2,2,297.2,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Bijan Robinson RB - ATL,15,-,-,-,1098,8,55,414,2,2,289.7,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Saquon Barkley RB - PHI,15,-,-,-,1157,7,44,331,2,2,264.8,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Jahmyr Gibbs RB - DET,15,-,-,-,950,7,54,399,2,1,267.9,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Jonathan Taylor RB - IND,15,-,-,-,1224,10,32,244,1,2,256.8,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Isiah Pacheco RB - KC,15,-,-,-,1051,8,43,318,2,1,259.4,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Kyren Williams RB - LAR,15,-,-,-,1041,9,39,284,2,2,253.0,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Travis Etienne RB - JAX,15,-,-,-,1002,7,44,328,2,2,249.0,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
De'Von Achane RB - MIA,15,-,-,-,905,7,47,364,2,1,249.4,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Josh Jacobs RB - GB,15,-,-,-,1053,8,36,263,2,1,243.6,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Derrick Henry RB - BAL,15,-,-,-,1152,11,20,145,1,1,229.7,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Rachaad White RB - TB,15,-,-,-,889,6,50,367,2,2,244.6,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Alvin Kamara RB - NO,15,-,-,-,728,4,57,421,2,1,234.4,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
James Cook RB - BUF,15,-,-,-,908,5,40,309,2,1,221.7,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Joe Mixon RB - HOU Q View News,15,-,-,-,941,6,38,277,1,1,218.8,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Aaron Jones RB - MIN,15,-,-,-,885,6,36,267,2,1,215.2,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Kenneth Walker III RB - SEA,15,-,-,-,970,7,29,215,1,1,208.0,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
James Conner RB - ARI,14,-,-,-,882,7,33,246,1,1,208.3,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Najee Harris RB - PIT,15,-,-,-,928,7,28,200,1,1,200.8,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Rhamondre Stevenson RB - NE View News,15,-,-,-,907,6,32,236,1,1,202.3,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
D'Andre Swift RB - CHI,15,-,-,-,804,6,37,271,1,1,203.0,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
David Montgomery RB - DET,15,-,-,-,895,9,20,147,1,1,192.2,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Devin Singletary RB - NYG,15,-,-,-,896,5,34,243,1,1,198.9,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Jaylen Warren RB - PIT,15,-,-,-,711,4,43,317,2,1,201.3,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Javonte Williams RB - DEN,15,-,-,-,856,5,32,232,1,1,190.8,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Raheem Mostert RB - MIA,15,-,-,-,822,7,27,193,1,1,188.0,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Zamir White RB - LV,15,-,-,-,854,6,28,203,1,1,187.7,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Tony Pollard RB - TEN,15,-,-,-,850,5,31,231,1,1,188.6,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Zack Moss RB - CIN,16,-,-,-,757,6,32,232,1,-,188.9,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Jonathon Brooks RB - CAR NFI-A,15,-,-,-,775,5,35,260,1,1,190.0,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Tyjae Spears RB - TEN,15,-,-,-,664,4,41,302,2,1,192.1,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Ezekiel Elliott RB - DAL,16,-,-,-,737,7,29,208,1,1,184.0,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Austin Ekeler RB - WAS,15,-,-,-,551,4,43,325,2,1,186.1,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Brian Robinson RB - WAS,15,-,-,-,807,6,25,184,1,1,176.6,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Gus Edwards RB - LAC View News,16,-,-,-,844,7,17,125,1,1,168.4,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Chase Brown RB - CIN,16,-,-,-,629,4,36,276,1,-,174.5,RB,NFL,https://fantasy.nfl.com/research/projections?position=2&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
