player,gp,pass_yd,pass_td,pass_int,rush_yd,rush_td,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,pos,source,source_url,fpts_halfppr_adjust
Travis Kelce TE - KC,16,-,-,-,4,-,80,847,7,1,245.1,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Sam LaPorta TE - DET,16,-,-,-,-,-,81,839,7,1,245.4,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Mark Andrews TE - BAL,16,-,-,-,-,-,68,864,7,1,228.4,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Trey McBride TE - ARI,16,-,-,-,-,-,80,820,5,1,230.0,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
George Kittle TE - SF,16,-,-,-,5,-,65,888,6,1,220.8,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Dalton Kincaid TE - BUF,16,-,-,-,-,-,78,805,5,1,225.5,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Kyle Pitts TE - ATL,16,-,-,-,-,-,67,829,5,1,211.4,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Jake Ferguson TE - DAL,16,-,-,-,-,-,68,711,5,1,201.1,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Evan Engram TE - JAX,16,-,-,-,-,-,73,705,4,1,202.0,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
David Njoku TE - CLE,16,-,-,-,-,-,66,711,5,1,198.1,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Brock Bowers TE - LV,16,-,-,-,-,-,62,692,5,1,190.2,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Dallas Goedert TE - PHI,15,-,-,-,-,-,65,697,4,1,189.2,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Dalton Schultz TE - HOU,16,-,-,-,-,-,61,639,5,1,183.4,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Pat Freiermuth TE - PIT,16,-,-,-,-,-,60,625,4,1,174.5,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
T.J. Hockenson TE - MIN PUP,13,-,-,-,-,-,60,618,4,1,173.8,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Cole Kmet TE - CHI,16,-,-,-,-,-,57,585,4,1,166.0,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Luke Musgrave TE - GB,16,-,-,-,-,-,52,601,4,-,162.1,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Cade Otton TE - TB,16,-,-,-,-,-,46,441,3,-,131.1,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Tyler Conklin TE - NYJ,16,-,-,-,-,-,45,444,3,-,129.9,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Chig Okonkwo TE - TEN,16,-,-,-,4,-,44,448,3,1,127.2,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Ben Sinnott TE - WAS,16,-,-,-,-,-,41,431,3,-,122.6,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Hunter Henry TE - NE,16,-,-,-,-,-,39,395,3,-,116.0,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Noah Fant TE - SEA,16,-,-,-,-,-,35,364,3,-,106.9,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Tucker Kraft TE - GB PUP View News,16,-,-,-,-,-,34,355,3,-,104.5,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Juwan Johnson TE - NO PUP View News,16,-,-,-,-,-,32,359,3,-,101.9,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Ja'Tavion Sanders TE - CAR,16,-,-,-,-,-,32,355,3,-,101.5,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Isaiah Likely TE - BAL,16,-,-,-,-,-,32,352,3,-,101.2,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Colby Parkinson TE - LAR,16,-,-,-,-,-,31,333,3,-,97.8,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
