player,gp,pass_yd,pass_td,pass_int,rush_yd,rush_td,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,pos,source,source_url,fpts_halfppr_adjust
Tyreek Hill WR - MIA Q,16,-,-,-,36,-,112,1598,9,1,383.4,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
CeeDee Lamb WR - DAL,16,-,-,-,74,1,115,1455,9,1,383.4,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Ja'Marr Chase WR - CIN View News,16,-,-,-,16,-,105,1367,8,1,341.8,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Justin Jefferson WR - MIN,16,-,-,-,12,-,105,1427,7,1,341.4,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Amon-Ra St. Brown WR - DET,16,-,-,-,36,-,111,1285,7,1,338.6,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Garrett Wilson WR - NYJ,16,-,-,-,31,-,99,1256,8,1,323.2,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
A.J. Brown WR - PHI,16,-,-,-,6,-,89,1351,8,1,315.2,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Puka Nacua WR - LAR Q,16,-,-,-,42,-,94,1256,7,1,310.8,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Chris Olave WR - NO,16,-,-,-,5,-,88,1176,6,1,284.1,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Drake London WR - ATL,16,-,-,-,11,-,86,1121,7,1,282.2,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Marvin Harrison Jr. WR - ARI,16,-,-,-,7,-,81,1141,7,1,276.3,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Cooper Kupp WR - LAR,16,-,-,-,25,-,88,1052,7,1,279.7,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Davante Adams WR - LV Q,16,-,-,-,5,-,91,1087,6,1,279.7,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Jaylen Waddle WR - MIA Q,16,-,-,-,19,-,83,1131,6,1,273.5,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Nico Collins WR - HOU,16,-,-,-,10,-,78,1121,7,1,270.1,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Mike Evans WR - TB,16,-,-,-,5,-,73,1108,8,1,266.8,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Deebo Samuel Sr. WR - SF,15,-,-,-,238,3,63,895,6,1,259.8,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Brandon Aiyuk WR - SF,16,-,-,-,5,-,76,1113,7,1,265.8,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
DeVonta Smith WR - PHI,16,-,-,-,6,-,87,1062,6,1,271.3,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
DK Metcalf WR - SEA,16,-,-,-,5,-,74,1059,8,1,263.4,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Stefon Diggs WR - HOU,16,-,-,-,5,-,84,1016,7,1,268.1,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Amari Cooper WR - CLE,16,-,-,-,5,-,75,1102,7,1,263.2,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
