fpts,fpts_ci,rank_pos,xp_made,fg_att,fg_made,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_plus,player,team,pos,source,source_url,fpts_halfppr_adjust
156.88,139.25-174.51,#1,52.47,34.89,30.17,0.3,7.63,11.48,7.63,3.16,"Mike Badgley  M. Badgley  (K, DET)",DET,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
156.06,137.67-174.45,#2,37.32,35.92,32.91,0.58,7.56,9.12,11.1,4.5,"Nick Folk  N. Folk  (K, TEN)",TEN,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
154.07,136.54-171.6,#3,45.07,33.81,30.51,0.4,8.01,8.19,10.13,3.71,"Jake Elliott  J. Elliott  (K, PHI)",PHI,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
152.89,135.59-170.19,#4,51.24,33.93,29.1,0.4,8.03,9.91,7.36,3.43,"Brandon Aubrey  B. Aubrey  (K, DAL)",DAL,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
152.49,131.68-173.3,#5,34.7,36.17,33.14,0.28,8.83,10.76,8.42,4.9,"Cameron Dicker  C. Dicker  (K, LAC)",LAC,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
149.47,132.21-166.73,#6,38.75,35.29,31.24,0.4,6.95,11.14,8.55,4.21,"Cairo Santos  C. Santos  (K, CHI)",CHI,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
147.77,133.41-162.13,#7,52.2,33.72,27.88,0.72,9.43,8.29,7.17,2.33,"Anders Carlson  A. Carlson  (K, GB)",GB,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
147.05,127.36-166.74,#8,35.82,34.7,31.53,0.44,7.61,10.22,9.67,3.57,"Ka'imi Fairbairn  K. Fairbairn  (K, HOU)",HOU,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
146.45,129.45-163.45,#9,45.52,34.82,28.95,0.24,8.96,8.58,8.13,2.99,"Harrison Butker  H. Butker  (K, KC)",KC,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
144.37,127.83-160.91,#10,51.22,31.34,26.62,0.59,9.81,6.42,6.37,3.46,"Jason Sanders  J. Sanders  (K, MIA)",MIA,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
143.33,123.86-162.8,#11,28.37,35.45,31.8,0.26,7.03,9.29,9.36,5.53,"Eddy Pineiro  E. Pineiro  (K, CAR)",CAR,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
142.56,125.01-160.11,#12,38.42,36.27,30.01,0.7,10.36,7.82,8.27,2.89,"Evan McPherson  E. McPherson  (K, CIN)",CIN,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
141.68,124.4-158.96,#13,32.31,36.61,30.93,0.22,9.3,8.77,8.75,3.87,"Dustin Hopkins  D. Hopkins  (K, CLE)",CLE,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
140.47,122.42-158.52,#14,33.64,35.25,30.42,0.04,8.13,9.64,9.64,2.96,"Matt Prater  M. Prater  (K, ARI)",ARI,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
139.84,125.82-153.86,#15,47.35,33.18,27.63,0.48,10.04,9.58,5.51,2.05,"Justin Tucker  J. Tucker  (K, BAL)",BAL,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
139.22,122.52-155.92,#16,43.07,33.37,27.96,0.26,8.26,9.63,7.32,2.48,"Jason Myers  J. Myers  (K, SEA)",SEA,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
138.09,125.73-150.45,#17,50.8,31.92,26.06,0.3,10.45,7.87,5.83,1.63,"Tyler Bass  T. Bass  (K, BUF)",BUF,k,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,False
