fpts,fpts_ci,rank_overall,rank_pos,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,player,team,pos,source,source_url,fpts_halfppr_adjust,pass_cmp,pass_att
376.73,344.27-409.19,#1,#1,4457.57,31.83,15.54,117.16,554.33,8.76,Josh Allen,BUF,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,402.51,622.23
370.14,337.74-402.54,#2,#2,3988.67,25.97,12.23,148.85,676.32,11.52,Jalen Hurts,PHI,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,362.79,560.99
359.69,327.41-391.97,#3,#3,3876.23,26.33,10.75,161.83,944.19,5.97,Lamar Jackson,BAL,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,331.68,502.72
354.23,322.02-386.44,#4,#4,4600.96,33.16,9.2,81.01,401.21,3.16,Patrick Mahomes,KC,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,400.99,601.83
321.25,289.43-353.07,#5,#5,3741.41,22.91,11.42,134.71,703.35,7.28,Anthony Richardson,IND,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,350.71,549.39
318.27,286.49-350.05,#6,#6,4749.09,29.48,8.89,44.68,192.42,2.22,C.J. Stroud,HOU,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,387.48,592.65
311.88,280.18-343.58,#8,#7,4369.5,33.65,12.69,45.84,202.28,2.06,Dak Prescott,DAL,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,397.9,603.61
311.72,280.02-343.42,#9,#8,4183.53,31.93,11.35,58.88,254.41,2.68,Joe Burrow,CIN,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,392.15,591.2
309.95,278.28-341.62,#10,#9,3787.3,21.42,11.8,123.77,672.66,6.47,Kyler Murray,ARI,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,357.47,536.42
294.04,262.57-325.51,#11,#10,4376.3,29.55,11.62,37.59,163.68,1.66,Jordan Love,GB,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,387.65,595.22
