player,fpts,pos,source,source_url,fpts_halfppr_adjust
Christian McCaffrey,351.635,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Breece Hall,288.33000000000004,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Bijan Robinson,281.685,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jonathan Taylor,250.26,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Saquon Barkley,253.285,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Kyren Williams,240.6,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jahmyr Gibbs,252.88000000000002,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Derrick Henry,231.73,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Josh Jacobs,236.185,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Travis Etienne,235.82,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Joe Mixon,230.075,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Isiah Pacheco,226.25,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
De'Von Achane,233.86,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Kenneth Walker III,213.685,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
James Cook,221.745,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Rachaad White,224.14999999999998,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
D'Andre Swift,201.265,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Alvin Kamara,214.365,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Aaron Jones,198.05,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Rhamondre Stevenson,196.185,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
David Montgomery,183.26500000000001,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Zamir White,182.68,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Najee Harris,181.15,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Zack Moss,172.37,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jonathon Brooks,169.96,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Tony Pollard,165.745,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
James Conner,165.22,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Devin Singletary,162.13,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Raheem Mostert,154.62,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Ezekiel Elliott,153.78,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jaylen Warren,163.435,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jerome Ford,147.375,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Tyjae Spears,141.15,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Brian Robinson,137.425,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Austin Ekeler,148.85,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Gus Edwards,125.775,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Nick Chubb,122.725,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Javonte Williams,122.35000000000001,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Blake Corum,117.205,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Chase Brown,119.19999999999999,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Rico Dowdle,111.71,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Ty Chandler,104.92,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jaleel McLaughlin,111.345,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Trey Benson,108.05999999999999,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Antonio Gibson,107.715,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Tyler Allgeier,100.24000000000001,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Kendre Miller,102.4,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
MarShawn Lloyd,95.16000000000001,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Zach Charbonnet,100.92999999999999,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Chuba Hubbard,82.715,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
J.,77.85,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Kimani Vidal,71.325,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Tank Bigsby,66.22999999999999,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Dameon Pierce,65.18,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Khalil Herbert,63.275,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Elijah Mitchell,60.015,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Keaton Mitchell,65.71,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Alexander Mattison,59.995,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Bucky Irving,60.400000000000006,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Braelon Allen,59.005,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Ray Davis,63.1,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Audric Estime,59.325,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Roschon Johnson,61.455000000000005,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Tyrone Tracy Jr.,55.675,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jamaal Williams,50.01,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
