fpts,fpts_ci,rank_overall,rank_pos,rush_att,rush_yd,rush_td,rec_rcpt,rec_tgt,rec_yd,rec_td,player,team,pos,source,source_url,fpts_halfppr_adjust
208.39999999999998,132.35-185.11,#68,#1,0.0,0.0,0.0,99.34,147.42,1045.18,9.05,Sam LaPorta,DET,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
205.935,129.48-181.7,#72,#2,2.26,11.01,0.08,100.69,139.09,1036.62,8.48,Travis Kelce,KC,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
194.31,119.06-169.34,#86,#3,0.0,0.0,0.0,100.22,139.87,1039.21,6.88,Trey McBride,ARI,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
185.355,118.46-168.62,#89,#4,0.0,0.0,0.0,83.63,123.15,991.05,7.56,Mark Andrews,BAL,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
182.075,116.17-165.91,#93,#5,0.0,0.0,0.0,82.07,128.25,1015.87,6.57,Kyle Pitts,ATL,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
183.16,111.28-160.12,#99,#6,0.0,0.0,0.0,94.92,139.25,942.25,7.02,Dalton Kincaid,BUF,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
157.235,100.23-146.99,#110,#7,0.0,0.0,0.0,67.25,97.14,872.92,6.17,George Kittle,SF,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
158.89499999999998,91.32-136.4,#122,#8,0.0,0.0,0.0,90.07,119.36,801.44,5.78,Evan Engram,JAC,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
149.20499999999998,89.2-133.9,#125,#9,0.0,0.0,0.0,75.31,111.54,758.73,5.96,Jake Ferguson,DAL,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
138.565,80.79-123.91,#135,#10,0.0,0.0,0.0,72.43,110.77,740.27,4.84,David Njoku,CLE,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
128.155,73.23-114.93,#145,#11,0.0,0.0,0.0,68.15,103.29,687.02,4.3,Brock Bowers,LV,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
121.285,68.34-109.14,#152,#12,0.0,0.0,0.0,65.09,95.46,646.04,4.07,Dallas Goedert,PHI,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
115.62,66.87-107.41,#155,#13,0.0,0.0,0.0,56.96,83.52,630.0,4.09,Dalton Schultz,HOU,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
104.09,57.73-96.55,#166,#14,0.0,0.0,0.0,53.9,77.43,537.9,3.9,Luke Musgrave,GB,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
101.53,56.54-95.14,#167,#15,0.0,0.0,0.0,51.38,77.55,587.7,2.83,Chigoziem Okonkwo,TEN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
100.19999999999999,56.42-95,#170,#16,0.0,0.0,0.0,48.98,74.29,532.01,3.75,Juwan Johnson,NO,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
86.54,52.95-90.89,#172,#17,40.12,201.4,1.83,29.24,41.37,289.85,2.03,Taysom Hill,NO,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
90.145,50.76-88.28,#176,#18,0.0,0.0,0.0,41.25,60.32,486.71,3.49,Isaiah Likely,BAL,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
93.55,50.45-87.93,#178,#19,0.0,0.0,0.0,48.72,69.53,517.41,2.88,Noah Fant,SEA,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
93.545,50.36-87.82,#179,#20,0.0,0.0,0.0,48.91,74.72,543.21,2.48,Hunter Henry,NE,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
91.29499999999999,47.89-84.87,#184,#21,0.0,0.0,0.0,49.83,73.94,470.97,3.25,Cade Otton,TB,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
89.55000000000001,47.65-84.59,#185,#22,0.0,0.0,0.0,46.86,68.64,471.8,3.17,Pat Freiermuth,PIT,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
92.32,46.74-83.52,#186,#23,0.0,0.0,0.0,54.38,78.11,468.75,3.17,Hayden Hurst,LAC,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
84.59,44.36-80.68,#189,#24,0.0,0.0,0.0,44.14,68.11,406.92,3.61,Mike Gesicki,CIN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
86.1,44.08-80.36,#190,#25,0.0,0.0,0.0,47.76,69.13,460.26,2.84,Tyler Conklin,NYJ,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
81.505,42.22-78.14,#195,#26,0.0,0.0,0.0,42.65,62.45,436.43,2.84,Jonnu Smith,MIA,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
80.055,40.33-75.89,#197,#27,0.0,0.0,0.0,43.89,64.78,433.5,2.47,Ben Sinnott,WSH,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
72.86,35.7-70.4,#207,#28,0.0,0.0,0.0,39.62,60.66,394.82,2.26,Greg Dulcich,DEN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
71.16,34.95-69.51,#208,#29,0.0,0.0,0.0,37.86,54.38,368.01,2.66,Cole Kmet,CHI,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
71.985,33.43-68.55,#210,#30,0.0,0.0,0.0,41.99,66.41,371.47,2.34,T.J. Hockenson,MIN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
69.1,33.73-68.07,#211,#31,0.0,0.0,0.0,36.4,54.99,367.6,2.37,Kylen Granson,IND,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
66.925,32.8-67.32,#214,#32,0.0,0.0,0.0,33.73,53.5,340.07,2.67,Tyler Higbee,LA,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
68.145,32.83-66.99,#215,#33,0.0,0.0,0.0,36.47,49.16,369.91,2.22,Will Dissly,LAC,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
66.605,30.95-64.95,#217,#34,0.0,0.0,0.0,37.31,55.03,337.08,2.35,Robert Tonyan,MIN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
62.269999999999996,30.77-64.55,#218,#35,0.0,0.0,0.0,29.22,46.42,302.04,2.95,Dawson Knox,BUF,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
65.75,30.22-63.9,#222,#36,0.0,0.0,0.0,37.38,54.38,318.41,2.66,Gerald Everett,CHI,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
67.445,29.7-63.3,#223,#37,0.0,0.0,0.0,41.89,56.42,354.04,1.89,Daniel Bellinger,NYG,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
61.324999999999996,29-62.46,#224,#38,0.0,0.0,0.0,31.19,44.67,319.85,2.27,Tucker Kraft,GB,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
62.62,28.08-61.36,#225,#39,0.0,0.0,0.0,35.8,54.24,334.27,1.91,Tommy Tremble,CAR,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
62.03,27.35-60.51,#227,#40,0.0,0.0,0.0,36.2,58.85,308.72,2.14,Zach Ertz,WSH,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
46.18,18.37-49.83,#248,#41,0.0,0.0,0.0,24.16,37.1,241.93,1.66,Michael Mayer,LV,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
36.910000000000004,12.57-42.95,#258,#42,0.0,0.0,0.0,18.3,27.14,180.35,1.62,Luke Schoonmaker,DAL,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
37.735,12.42-42.78,#260,#43,0.0,0.0,0.0,20.27,29.42,190.74,1.41,Darnell Washington,PIT,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
35.835,11.4-41.56,#263,#44,0.0,0.0,0.0,18.71,26.65,179.82,1.41,Tanner Hudson,CIN,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
31.245,8.82-38.64,#267,#45,0.0,0.0,0.0,15.03,23.09,163.91,1.22,Colby Parkinson,LA,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
29.560000000000002,7.74-37.22,#270,#46,0.0,0.0,0.0,14.16,22.02,159.95,1.12,Mo Alie-Cox,IND,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
29.965,7.33-36.73,#271,#47,0.0,0.0,0.0,15.87,23.18,159.44,1.03,Pharaoh Brown,SEA,te,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/te,True
