fpts,fpts_ci,rank_overall,rank_pos,rush_att,rush_yd,rush_td,rec_rcpt,rec_tgt,rec_yd,rec_td,player,team,pos,source,source_url,fpts_halfppr_adjust
284.28,193.88-258.14,#33,#1,6.65,39.64,0.3,116.54,171.98,1568.22,10.61,Tyreek Hill,MIA,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
286.865,193.68-257.92,#34,#2,4.58,26.2,0.24,122.13,184.08,1567.21,11.08,CeeDee Lamb,DAL,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
265.70000000000005,177.51-238.71,#43,#3,4.38,24.7,0.19,115.18,171.44,1383.53,11.26,Ja'Marr Chase,CIN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
258.565,171.02-231,#46,#4,2.34,13.42,0.15,115.11,171.25,1474.42,8.64,Amon-Ra St. Brown,DET,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
249.11,166.44-225.56,#50,#5,0.0,0.0,0.0,106.22,175.22,1416.72,9.08,Justin Jefferson,MIN,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
242.965,162.2-220.52,#51,#6,0.0,0.0,0.0,103.21,162.7,1397.87,8.87,A.J. Brown,PHI,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
241.925,160.28-218.26,#52,#7,4.63,26.41,0.2,105.31,166.78,1363.7,8.25,Puka Nacua,LA,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
225.79999999999998,145.7-200.94,#57,#8,7.13,40.35,0.24,104.96,159.92,1182.59,8.61,Garrett Wilson,NYJ,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
220.65499999999997,144.16-199.12,#59,#9,0.0,0.0,0.0,98.03,151.14,1233.23,8.28,Drake London,ATL,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
209.78,140.61-194.91,#60,#10,4.49,25.21,0.18,84.04,133.35,1262.05,6.39,Nico Collins,HOU,wr,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/wr,True
