fg_1_39_made,fg_40_49_made,fg_50_made,xp_made,fpts,player,fg_made,source,source_url
22,5,10,51,187,Brandon Aubrey,37,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
24,10,4,42,174,Justin Tucker,38,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
18,8,7,34,155,Younghoe Koo,33,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
16,8,6,44,154,Greg Zuerlein,30,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
12,8,7,47,150,Evan McPherson,27,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
16,8,6,40,150,Blake Grupe,30,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
16,8,4,49,149,Harrison Butker,28,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
19,7,6,34,149,Daniel Carlson,32,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
17,7,4,48,147,Jake Moody,28,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
15,8,4,50,147,Tyler Bass,27,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
16,6,5,50,147,Jake Elliott,27,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
18,7,5,40,147,Jason Myers,30,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
16,8,4,46,146,Michael Badgley,28,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
15,8,5,44,146,Fairbairn Ka'imi,28,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
14,9,7,32,145,Cam Little,30,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
18,6,7,31,144,Matt Prater,31,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
15,9,6,33,144,Graham Gano,30,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
17,6,6,38,143,Matt Gay,29,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
16,7,6,37,143,Chris Boswell,29,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
17,7,4,43,142,Will Reichard,28,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
14,10,3,43,140,Jason Sanders,27,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
16,9,4,34,138,Wil Lutz,29,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
19,8,3,32,136,Chad Ryland,30,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
17,8,2,42,135,Cameron Dicker,27,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
16,7,4,38,134,Dustin Hopkins,27,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
16,8,3,36,131,Cairo Santos,27,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
14,7,3,43,128,Joshua Karty,24,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
17,9,2,29,126,Eddy Pineiro,28,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
16,6,5,29,126,Nick Folk,27,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
13,6,4,36,119,Chase McLaughlin,23,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
16,6,1,35,112,Anders Carlson,23,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
15,5,1,29,99,Ramiz Ahmed,21,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
