pass_yd,pass_td,pass_int,rush_yd,rec_rcpt,rec_yd,reg_tds,fpts,player,source,source_url
4800,38,12,370,,,2,,Patrick Mahomes,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4300,30,17,590,,,9,,Josh Allen,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3700,22,12,730,,,13,,Jalen Hurts,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4600,35,6,190,,,4,,C.J. Stroud,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4300,34,11,240,,,4,,Jordan Love,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4500,35,12,220,,,2,,Joe Burrow,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
2800,17,10,880,,,11,,Anthony Richardson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4600,33,14,200,,,3,,Justin Herbert,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4500,34,13,220,,,2,,Dak Prescott,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3450,23,9,800,,,5,,Lamar Jackson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3800,25,11,520,,,6,,Kyler Murray,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4350,28,13,330,,,4,,Trevor Lawrence,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3300,22,10,800,,,6,,Jayden Daniels,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4600,35,12,60,,,1,,Kirk Cousins,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4400,33,11,130,,,2,,Brock Purdy,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4700,32,10,30,,,2,,Jared Goff,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4600,31,12,80,,,3,,Tua Tagovailoa,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4300,34,10,50,,,2,,Aaron Rodgers,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4000,29,13,240,,,5,,Caleb Williams,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3600,24,13,390,,,3,,Drake Maye,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3300,18,7,650,,,5,,Daniel Jones,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4400,29,12,50,,,1,,Matthew Stafford,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3800,23,10,220,,,2,,Geno Smith,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
4000,27,11,60,,,0,,Derek Carr,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3400,21,12,360,,,3,,Deshaun Watson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3600,24,10,180,,,1,,Baker Mayfield,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3500,16,15,200,,,2,,Bo Nix,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3400,17,9,320,,,3,,Gardner Minshew,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3200,21,12,290,,,3,,Russell Wilson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3300,17,12,320,,,2,,Bryce Young,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
1800,12,7,480,,,4,,Justin Fields,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3200,17,13,150,,,2,,J.J. McCarthy,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
3400,16,8,110,,,2,,Will Levis,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
2100,14,9,10,,,0,,Joe Flacco,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
0,0,0,0,,,0,,Tom Brady,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
