pass_yd,pass_td,pass_int,rush_yd,rec_rcpt,rec_yd,reg_tds,fpts,player,source,source_url
,,,1400,80,530,20,353.0,Christian McCaffrey,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1300,84,750,12,319.0,Breece Hall,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1320,55,390,16,294.5,Saquon Barkley,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1320,65,550,13,297.5,Bijan Robinson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1520,34,270,14,280.0,Jonathan Taylor,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1350,52,370,15,288.0,Kyren Williams,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1370,45,340,15,283.5,Josh Jacobs,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1180,65,560,12,278.5,Jahmyr Gibbs,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1100,52,360,11,238.0,Travis Etienne,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1100,51,310,10,226.5,Isiah Pacheco,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,980,50,360,11,225.0,Joe Mixon,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,940,62,520,8,225.0,Rachaad White,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1150,37,240,9,211.5,James Conner,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,950,57,380,8,214.5,Aaron Jones,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,850,36,260,9,203.0,De'Von Achane,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1050,52,440,6,211.0,James Cook,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1020,31,250,9,196.5,Kenneth Walker,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,780,80,520,7,212.0,Alvin Kamara,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,980,22,160,8,183.0,Derrick Henry,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,1040,30,190,8,186.0,Najee Harris,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,810,21,130,8,172.5,Zack Moss,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,930,21,150,9,172.5,Raheem Mostert,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,800,14,90,10,166.0,David Montgomery,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,890,48,370,5,180.0,Rhamondre Stevenson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,740,58,410,5,184.0,Jaylen Warren,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,960,24,150,7,165.0,Zamir White,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,570,65,540,5,183.5,Austin Ekeler,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,950,28,200,6,165.0,Devin Singletary,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,790,32,180,6,164.0,Tony Pollard,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,760,25,210,5,159.5,Rico Dowdle,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,890,16,100,8,155.0,JK Dobbins,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,810,34,190,5,157.0,D'Andre Swift,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,820,20,160,7,150.0,Brian Robinson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,580,62,480,5,167.0,Tyjae Spears,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,530,40,250,7,150.0,Ezekiel Elliott,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,650,14,200,4,136.0,Nick Chubb,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,630,32,240,3,141.0,Jerome Ford,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,620,22,150,4,132.0,Jonathon Brooks,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,520,38,240,4,139.0,Zach Charbonnet,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,570,10,80,5,125.0,Blake Corum,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
