pass_yd,pass_td,pass_int,rush_yd,rec_rcpt,rec_yd,reg_tds,fpts,player,source,source_url
,,,,133,1770,13,321.5,CeeDee Lamb,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,115,1750,13,310.5,Tyreek Hill,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,124,1540,14,300.0,Ja'Marr Chase,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,120,1680,11,294.0,Justin Jefferson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,95,1450,12,264.5,A.J.  Brown,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,126,1520,10,275.0,Amon-Ra St. Brown,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,102,1440,11,261.0,Garrett Wilson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,101,1420,7,234.5,Puka Nacua,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,71,1150,11,216.5,Mike Evans,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,63,1110,11,208.5,Deebo Samuel,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,98,1220,9,225.0,Davante Adams,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,84,1230,7,217.0,Jaylen Waddle,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,86,1250,8,216.0,D.J. Moore,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,78,1190,9,212.0,Marvin Harrison Jr.,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,76,1190,9,211.0,D.K. Metcalf,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,88,1300,7,216.0,Chris Olave,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,76,1290,7,209.0,Brandon Aiyuk,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,72,1210,8,205.0,Amari Cooper,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,92,1150,9,215.0,Stefon Diggs,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,75,1200,8,205.5,George Pickens,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,79,1190,8,206.5,Nico Collins,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,90,1190,8,212.0,Devonta Smith,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,75,1180,8,203.5,Tank Dell,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,84,1220,7,206.0,Drake London,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,84,1140,8,204.0,Christian Kirk,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,80,1130,8,201.0,Marquise Brown,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,82,1190,7,202.0,Tee Higgins,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,95,1100,7,199.5,Keenan Allen,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,72,1100,7,188.0,Malik Nabers,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,103,1150,6,202.5,Michael Pittman,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,79,1200,5,189.5,Terry McLaurin,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,65,970,7,181.5,Christian Watson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,82,1000,8,189.0,Cooper Kupp,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
