gp,fg_made,fg_att,fg_longest,fg_1_19_made,fg_1_19_att,fg_20_29_made,fg_20_29_att,fg_30_39_made,fg_30_39_att,fg_40_49_made,fg_40_49_att,fg_50_made,fg_50_att,xp_made,xp_att,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,39,44,—,0.308,0.308,11.8,11.9,11.6,11.7,10.5,12,4.57,4.57,54,56,171,10.1,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Younghoe Koo,ATL
17,35,38,—,0.264,0.265,10.6,10.7,10.4,11.8,7.6,8.5,5.6,5.6,46,47,151,8.9,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Harrison Butker,C
17,35,42,—,0.276,0.276,7.7,7.8,12,13.2,10.2,12.3,4.55,4.55,42,43,147,8.6,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Jason Myers,SEA
17,32,36,—,0.251,0.252,9,9.1,8.9,9,10.4,11.6,3.17,3.17,51,52,147,8.6,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Justin Tucker,BAL
17,31,34,—,0.255,0.255,8.8,8.9,8.7,9.6,7.8,8.6,5.4,5.4,53,54,146,8.6,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Jake Elliott,PHI
17,34,38,—,0.265,0.265,8,8.1,12.5,14.3,7.6,8.5,5.6,5.6,43,47,145,8.5,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Brandon Aubrey,DAL
17,34,38,—,0.257,0.257,10.3,10.4,10.5,10.7,7.4,10.2,5.5,5.5,43,45,145,8.5,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Ka'imi Fairbairn,HOU
17,31,37,—,0.241,0.241,9.6,10.7,7.8,7.9,8,10,5.1,5.1,49,50,142,8.4,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Blake Grupe,NO
17,30,34,—,0.253,0.253,7,7.1,8.2,8.3,9,10,5.4,5.4,49,50,139,8.2,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Evan McPherson,CIN
17,31,34,—,0.253,0.253,7.8,7.8,8.3,8.4,9.2,10.2,5.4,5.4,45,46,138,8.1,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Cameron Dicker,LAC
17,29,34,—,0.229,0.229,6.8,6.9,8.3,8.5,8.6,10.6,4.82,4.82,51,52,138,8.1,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Jason Sanders,MIA
17,32,38,—,0.263,0.263,8.6,8.7,10,10.7,7.6,9.4,5.6,5.6,41,42,137,8.1,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Matt Gay,IND
17,29,36,—,0.232,0.232,6.9,7.7,11,12.1,6.7,10,3.7,3.7,49,50,136,8.0,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Tyler Bass,BUF
17,29,35,—,0.227,0.227,8.4,8.5,9.4,10.7,6.5,9.7,4.82,4.82,49,50,136,8.0,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Jake Moody,SF
17,34,38,—,0.267,0.267,7.3,7.4,9.9,10.8,11.4,12.6,4.83,4.83,33,36,135,7.9,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Greg Zuerlein,NYJ
17,32,39,—,0.322,0.325,9,9.3,10.3,11.5,9,11.7,3.54,3.54,39,44,135,7.9,K,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,False,Cam Little,JAC
