gp,rec_tgt,rec_rcpt,rec_yd,rec_yd_per_game,rec_yd_per_rcpt,rec_td,fumbles_lost,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,131,102,1161,68.3,11.4,8,1,204.0,9.0,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Travis Kelce,C
17,97,69,904,53.2,13.1,11,0,183.5,8.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Mark Andrews,BAL
17,115,83,845,49.7,10.2,10,0,176.5,7.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Sam LaPorta,DET
17,85,61,916,53.9,15.0,7,0,155.5,7.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,George Kittle,SF
17,110,73,853,50.2,11.7,7,2,152.5,6.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,David Njoku,CLE
17,109,83,902,53.1,10.9,5,0,154.5,6.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Trey McBride,ARI
17,99,71,765,45.0,10.8,7,0,146.5,6.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jake Ferguson,DAL
17,109,64,879,51.7,13.7,5,0,142.0,6.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Kyle Pitts,ATL
17,107,85,833,49.0,9.8,6,1,151.5,6.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Dalton Kincaid,BUF
17,91,66,744,43.8,11.3,6,0,135.0,6.0,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Dallas Goedert,PHI
17,118,92,816,48.0,8.9,5,1,147.0,5.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Evan Engram,JAC
