player,team,pos,rec_tgt,rec_rcpt,rec_yd,rec_td,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
CeeDee Lamb,DAL,WR,182.8,128.4,1652.0,11.5,97.0,1.5,1.6,315.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Tyreek Hill,MIA,WR,172.5,113.9,1642.0,9.8,19.0,0.5,0.7,283.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Justin Jefferson,MIN,WR,179.8,116.4,1699.0,7.5,5.0,0.5,0.6,276.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Amon-Ra St. Brown,DET,WR,174.7,120.4,1510.0,8.0,32.0,0.0,0.5,261.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Ja'Marr Chase,CIN,WR,163.3,104.9,1377.0,8.9,1.0,0.0,0.6,242.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Davante Adams,LVR,WR,179.4,100.5,1277.0,10.3,-0.4,0.0,0.0,240.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Puka Nacua,LAR,WR,163.3,98.4,1425.0,6.2,99.0,0.0,0.0,238.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
A.J. Brown,PHI,WR,169.7,101.1,1443.0,8.3,0.0,0.0,3.0,238.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Amari Cooper,CLE,WR,149.7,80.5,1334.0,8.7,0.0,0.0,0.8,225.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Stefon Diggs,HOU,WR,145.5,98.1,1300.0,7.3,8.0,0.0,0.6,224.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Mike Evans,TBB,WR,151.1,81.1,1213.0,9.9,0.0,0.0,0.0,221.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Deebo Samuel,SFO,WR,125.3,76.9,1040.0,6.3,194.0,3.7,0.6,220.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
DK Metcalf,SEA,WR,159.0,85.7,1274.0,8.0,0.0,0.0,0.5,217.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Nico Collins,HOU,WR,138.0,87.9,1255.0,7.4,11.0,0.0,0.0,216.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Cooper Kupp,LAR,WR,149.4,97.0,1133.0,8.1,34.0,0.2,0.0,216.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Marvin Harrison Jr.,ARI,WR,155.2,102.2,1199.0,7.0,20.0,0.0,0.5,216.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Brandon Aiyuk,SFO,WR,123.3,78.3,1330.0,6.9,22.0,0.2,1.2,214.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
D.J. Moore,CHI,WR,134.1,93.9,1266.0,6.0,23.0,1.1,2.2,213.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
DeVonta Smith,PHI,WR,134.2,93.6,1233.0,7.2,0.0,0.0,1.3,211.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Christian Watson,GBP,WR,98.2,61.2,850.0,13.4,60.0,1.3,0.0,209.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Keenan Allen,CHI,WR,143.0,97.8,1187.0,6.3,12.0,0.6,0.7,208.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Garrett Wilson,NYJ,WR,224.1,116.3,1357.0,2.9,-3.3,0.0,1.6,207.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
George Pickens,PIT,WR,100.3,60.6,1212.0,8.7,14.0,0.0,0.0,205.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Zay Flowers,BAL,WR,123.8,83.9,1106.0,6.8,51.0,0.6,1.6,201.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Jaylen Waddle,MIA,WR,123.3,78.2,1255.0,5.5,14.0,0.0,0.6,197.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Michael Pittman,IND,WR,170.1,114.5,1133.0,3.6,10.0,0.0,0.5,194.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Malik Nabers,NYG,WR,103.0,72.0,985.0,8.8,20.0,0.0,0.0,189.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Tee Higgins,CIN,WR,123.6,72.6,1078.0,6.9,10.0,0.0,0.0,187.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Jordan Addison,MIN,WR,121.1,74.9,933.0,8.9,4.0,0.0,0.0,185.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Chris Godwin,TBB,WR,151.4,97.2,1119.0,2.7,30.0,0.8,1.0,184.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Diontae Johnson,CAR,WR,124.4,80.6,1016.0,7.2,2.0,0.0,0.9,184.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Jakobi Meyers,LVR,WR,121.1,73.7,866.0,7.2,33.0,2.2,0.3,183.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Keon Coleman,BUF,WR,102.6,66.5,1022.0,7.5,10.0,0.0,0.7,181.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
