player,gp,pass_yd,pass_td,pass_int,rush_yd,rush_td,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,pos,source,source_url,fpts_halfppr_adjust
Tyreek Hill WR - MIA,16,-,-,-,36,-,112,1598,9,1,383.4,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
CeeDee Lamb WR - DAL,16,-,-,-,74,1,115,1455,9,1,383.4,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Ja'Marr Chase WR - CIN,16,-,-,-,16,-,105,1367,8,1,341.8,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Justin Jefferson WR - MIN,16,-,-,-,12,-,105,1427,7,1,341.4,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Amon-Ra St. Brown WR - DET,16,-,-,-,36,-,111,1285,7,1,338.6,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Garrett Wilson WR - NYJ,16,-,-,-,31,-,99,1256,8,1,323.2,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
A.J. Brown WR - PHI,16,-,-,-,6,-,89,1351,8,1,315.2,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Puka Nacua WR - LAR,16,-,-,-,42,-,94,1256,7,1,310.8,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Chris Olave WR - NO View News,16,-,-,-,5,-,88,1176,6,1,284.1,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Davante Adams WR - LV,16,-,-,-,5,-,89,1099,7,1,283.9,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Drake London WR - ATL,16,-,-,-,11,-,86,1121,7,1,282.2,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Cooper Kupp WR - LAR,16,-,-,-,25,-,88,1052,7,1,279.7,WR,NFL,https://fantasy.nfl.com/research/projections?position=3&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
