def_sack,def_int,def_fum,def_td,def_sfty,fpts,source,source_url,def_tkl,def_fum_rec,def_fum_forced,def_pts_allowed,def_pts_allowed_per_game,pass_yd_allowed,rush_yd_allowed,total_yd_allowed,total_yd_allowed_per_game,fp_per_game,gp,fpts_halfppr_adjust,pts_allow,yds_allow,fpts_ci,rank_pos,def_yd_allowed,src_player_name,sleeper_id,full_name,team,position
61.5,18.4,11.3,2.6,0.0,222.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Baltimore Ravens,BAL,Baltimore Ravens,BAL,DEF
49.7,22.6,6.5,4.0,0.0,216.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Cleveland Browns,CLE,Cleveland Browns,CLE,DEF
51.5,18.7,7.6,3.4,2.6,211.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,New York Jets,NYJ,New York Jets,NYJ,DEF
49.3,17.2,11.0,3.7,0.0,210.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Buffalo Bills,BUF,Buffalo Bills,BUF,DEF
50.0,21.3,7.7,1.6,0.6,203.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,San Francisco 49ers,SF,San Francisco 49ers,SF,DEF
42.7,14.9,8.2,3.8,1.1,197.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Dallas Cowboys,DAL,Dallas Cowboys,DAL,DEF
52.8,13.7,8.6,4.0,1.8,197.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Indianapolis Colts,IND,Indianapolis Colts,IND,DEF
47.7,15.4,9.9,4.3,0.0,195.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Miami Dolphins,MIA,Miami Dolphins,MIA,DEF
60.4,8.6,7.4,2.3,0.0,195.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Kansas City Chiefs,KC,Kansas City Chiefs,KC,DEF
35.1,18.8,11.2,2.9,0.0,194.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,New Orleans Saints,NO,New Orleans Saints,NO,DEF
49.1,13.5,5.9,3.2,0.0,187.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Houston Texans,HOU,Houston Texans,HOU,DEF
47.6,18.0,8.6,0.0,1.0,187.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Pittsburgh Steelers,PIT,Pittsburgh Steelers,PIT,DEF
44.6,18.1,7.6,1.3,0.0,186.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,DEF
46.3,15.2,7.4,1.5,0.0,185.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Jacksonville Jaguars,JAX,Jacksonville Jaguars,JAX,DEF
35.4,12.1,8.4,3.5,0.3,184.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,New England Patriots,NE,New England Patriots,NE,DEF
47.1,9.1,4.9,3.7,0.4,180.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Philadelphia Eagles,PHI,Philadelphia Eagles,PHI,DEF
