xp_made,xp_att,fg_made,fg_att,fg_1_19_made,fg_20_29_made,fg_30_39_made,fg_40_49_made,fg_50_made,fg_miss,fpts,source,source_url,gp,fg_longest,fg_1_19_att,fg_20_29_att,fg_30_39_att,fg_40_49_att,fg_50_att,fp_per_game,fpts_halfppr_adjust,fg_1_39_made,fg_1_39_att,fg_0_19_made,fpts_ci,rank_pos,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_plus,src_player_name,sleeper_id,full_name,team,position
44.0,44.1,34.2,39.1,0.0,10.9,11.6,9.1,2.5,4.9,131.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Justin Tucker,1264,Justin Tucker,BAL,K
48.2,51.2,31.3,34.9,0.0,7.0,11.2,4.4,8.7,3.7,131.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Brandon Aubrey,11533,Brandon Aubrey,DAL,K
34.5,34.5,33.4,36.0,0.0,8.4,8.9,10.7,5.3,2.6,126.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Cameron Dicker,8259,Cameron Dicker,LAC,K
39.7,40.2,32.4,36.1,0.0,11.1,8.8,6.4,6.1,3.7,126.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Harrison Butker,4227,Harrison Butker,KC,K
51.4,52.4,26.1,28.0,0.0,7.5,7.8,5.4,5.4,1.9,123.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Jake Elliott,4195,Jake Elliott,PHI,K
38.4,38.9,31.6,34.9,0.0,9.5,9.6,7.9,4.6,3.3,123.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Daniel Carlson,5095,Daniel Carlson,LV,K
34.8,35.3,34.1,39.2,0.0,9.0,11.8,8.0,5.2,5.2,121.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Jason Myers,2747,Jason Myers,SEA,K
30.7,33.5,33.6,37.4,0.0,8.0,11.0,8.3,6.3,3.8,120.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Cairo Santos,2020,Cairo Santos,CHI,K
23.5,23.8,37.2,43.2,0.0,8.3,10.8,12.9,5.2,6.0,117.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Greg Zuerlein,1266,Greg Zuerlein,NYJ,K
26.9,28.6,31.7,33.9,0.0,10.3,10.5,3.6,7.3,2.2,115.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Ka'imi Fairbairn,3451,Ka'imi Fairbairn,HOU,K
56.3,58.2,23.6,27.9,0.0,7.8,7.4,4.8,3.7,4.3,114.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Jake Moody,10937,Jake Moody,SF,K
49.0,50.9,25.2,28.8,0.0,5.2,10.4,6.5,3.1,3.6,113.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Tyler Bass,7042,Tyler Bass,BUF,K
47.0,48.1,26.7,31.2,0.0,6.5,7.9,7.2,5.1,4.5,113.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Evan McPherson,7839,Evan McPherson,CIN,K
31.2,32.7,31.9,36.9,0.0,9.2,9.6,8.9,4.2,5.0,112.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Younghoe Koo,4666,Younghoe Koo,ATL,K
49.2,50.6,26.1,31.4,0.0,5.5,8.7,7.8,4.0,5.3,111.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Jason Sanders,5119,Jason Sanders,MIA,K
35.0,36.5,30.5,35.6,0.0,11.8,9.8,5.5,3.5,5.2,110.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Wil Lutz,3678,Wil Lutz,DEN,K
33.4,34.2,33.7,41.8,0.0,8.6,10.5,7.2,7.3,8.1,110.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Matt Gay,6083,Matt Gay,IND,K
30.8,31.7,30.7,35.0,0.0,8.7,7.7,7.1,7.1,4.3,110.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Chris Boswell,1945,Chris Boswell,PIT,K
33.2,33.2,28.1,31.1,0.0,7.0,11.0,3.0,7.2,2.9,108.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Chase McLaughlin,6650,Chase McLaughlin,TB,K
27.9,30.8,28.9,32.6,0.0,7.7,8.2,8.0,5.0,3.7,103.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Dustin Hopkins,1348,Dustin Hopkins,CLE,K
42.7,42.7,26.4,32.9,0.0,9.3,5.9,6.3,4.9,6.5,102.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Blake Grupe,11058,Blake Grupe,NO,K
32.9,33.4,27.7,33.1,0.0,6.1,10.3,8.7,2.6,5.4,99.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Cam Little,11786,Cam Little,JAX,K
29.5,32.8,25.1,27.0,0.0,8.1,7.5,5.3,4.3,1.9,99.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Nick Folk,650,Nick Folk,TEN,K
35.0,40.4,27.1,33.2,0.0,6.3,13.5,4.7,2.6,6.1,97.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Anders Carlson,11008,Anders Carlson,GB,K
24.5,25.9,29.8,36.0,0.0,5.3,9.6,6.7,8.3,6.2,95.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Matt Prater,17,Matt Prater,ARI,K
46.5,50.3,20.6,24.7,0.0,2.9,10.6,5.5,1.5,4.2,95.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Jake Bates,11539,Jake Bates,DET,K
21.9,25.0,28.1,32.3,0.0,5.5,9.3,9.3,4.0,4.2,93.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Eddy Pineiro,5189,Eddy Pineiro,CAR,K
33.8,36.8,25.6,31.5,0.6,5.6,12.2,4.0,3.2,5.9,93.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Greg Joseph,5272,Greg Joseph,GB,K
28.6,31.6,28.8,36.3,0.0,10.7,8.4,5.3,4.3,7.5,92.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Joshua Karty,11789,Joshua Karty,LAR,K
32.3,33.6,25.4,30.8,0.0,3.9,9.6,8.3,3.6,5.4,92.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Brandon McManus,1433,Brandon McManus,,K
44.9,49.1,17.3,19.1,0.0,2.4,10.0,3.8,1.1,1.8,91.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Riley Patterson,7922,Riley Patterson,WAS,K
