rush_att,rush_yd,rush_td,rec_tgt,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,source,source_url,gp,rush_yd_per_rsh,rec_yd_per_game,rec_yd_per_rcpt,fp_per_game,fpts_halfppr_adjust,pass_yd,pass_td,pass_int,rec_yds,fpts_ci,rank_overall,rank_pos,src_player_name,sleeper_id,full_name,team,position
262.2,1325.0,12.3,88.6,70.7,611.0,6.0,2.1,334.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Christian McCaffrey,4034,Christian McCaffrey,SF,RB
259.5,1202.0,12.8,53.7,36.0,245.0,1.7,2.4,247.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Kyren Williams,8150,Kyren Williams,LAR,RB
318.4,1334.0,9.7,59.8,44.0,274.0,1.8,2.3,247.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Jonathan Taylor,6813,Jonathan Taylor,IND,RB
245.0,1111.0,5.5,91.8,61.3,533.0,3.6,2.8,244.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Bijan Robinson,9509,Bijan Robinson,ATL,RB
310.5,1276.0,8.6,69.4,48.3,311.0,1.9,1.8,244.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Saquon Barkley,4866,Saquon Barkley,PHI,RB
210.7,971.0,6.3,83.7,63.7,518.0,3.2,0.0,239.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Breece Hall,8155,Breece Hall,NYJ,RB
293.5,1255.0,10.2,47.9,35.2,284.0,0.7,0.0,237.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Kenneth Walker III,8151,Kenneth Walker,SEA,RB
248.6,1069.0,9.4,65.8,51.7,408.0,0.6,1.4,233.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Travis Etienne,7543,Travis Etienne,JAX,RB
240.1,1112.0,12.1,46.9,32.0,269.0,0.7,0.3,230.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Derrick Henry,3198,Derrick Henry,BAL,RB
196.3,987.0,12.6,69.2,46.1,285.0,1.3,2.9,227.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Jahmyr Gibbs,9221,Jahmyr Gibbs,DET,RB
