index,player,team,pos,rec_tgt,rec_rcpt,rec_yd,rec_td,rush_yd,rush_td,fumbles_lost,fpts,source,source_url,gp,rec_yd_per_game,rec_yd_per_rcpt,rush_att,rush_yd_per_rsh,fp_per_game,fpts_halfppr_adjust,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rec,fpts_ci,rank_overall,rank_pos,name_match,sleeper_row,sleeper_id
0,CeeDee Lamb,DAL,WR,182.8,128.4,1652.0,11.5,97.0,1.5,1.6,315.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('CeeDee Lamb', 100.0, 1)",1.0,6786
1,Tyreek Hill,MIA,WR,172.5,113.9,1642.0,9.8,19.0,0.5,0.7,283.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Tyreek Hill', 100.0, 122)",122.0,3321
2,Justin Jefferson,MIN,WR,179.8,116.4,1699.0,7.5,5.0,0.5,0.6,276.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Justin Jefferson', 100.0, 259)",259.0,6794
3,Amon-Ra St. Brown,DET,WR,174.7,120.4,1510.0,8.0,32.0,0.0,0.5,261.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Amon-Ra St. Brown', 100.0, 205)",205.0,7547
4,Ja'Marr Chase,CIN,WR,163.3,104.9,1377.0,8.9,1.0,0.0,0.6,242.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"(""Ja'Marr Chase"", 100.0, 75)",75.0,7564
5,Davante Adams,LVR,WR,179.4,100.5,1277.0,10.3,-0.4,0.0,0.0,240.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Davante Adams', 100.0, 90)",90.0,2133
6,Puka Nacua,LAR,WR,163.3,98.4,1425.0,6.2,99.0,0.0,0.0,238.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Puka Nacua', 100.0, 131)",131.0,9493
7,A.J. Brown,PHI,WR,169.7,101.1,1443.0,8.3,0.0,0.0,3.0,238.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('A.J. Brown', 100.0, 138)",138.0,5859
8,Amari Cooper,CLE,WR,149.7,80.5,1334.0,8.7,0.0,0.0,0.8,225.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Amari Cooper', 100.0, 142)",142.0,2309
9,Stefon Diggs,HOU,WR,145.5,98.1,1300.0,7.3,8.0,0.0,0.6,224.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18,,,,,,,,,,,,,,,,,"('Stefon Diggs', 100.0, 216)",216.0,2449
