sleeper_id,injury_notes,oddsjam_id,search_last_name,college,team_abbr,birth_state,yahoo_id,search_first_name,pandascore_id,years_exp,fantasy_positions,injury_status,active,team,competitions,high_school,number,birth_city,search_full_name,last_name,birth_country,practice_description,depth_chart_order,fantasy_data_id,status,injury_start_date,news_updated,age,search_rank,practice_participation,opta_id,full_name,swish_id,birth_date,rotowire_id,weight,height,stats_id,espn_id,metadata,player_id,first_name,sport,injury_body_part,position,gsis_id,sportradar_id,hashtag,depth_chart_position,rotoworld_id,Player Id,positional_rank,adp,adp_date,rank_int
6462,,,richardson,Georgia Southern,,,32262.0,ellis,,3.0,['TE'],,True,,[],Douglas County,45.0,,ellisrichardson,Richardson,,,,21427.0,Active,,,26.0,9999999.0,,,Ellis Richardson,,1995-02-12,14134.0,245,75,887183.0,3926590.0,{'channel_id': '1116853254748110848'},6462,Ellis,nfl,,TE, 00-0035057,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,#ellisrichardson-NFL-FA-45,,,,,,,
7926,,,tucker,Alabama,,,,carl,,1.0,['TE'],,True,,[],Hough (NC),0.0,,carltucker,Tucker,,,,,Active,,1631568053348.0,24.0,426.0,,,Carl Tucker,866047.0,1997-02-06,15412.0,250,74,,,{'channel_id': '1116853436709601280'},7926,Carl,nfl,,TE,,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,#carltucker-NFL-FA-0,,,,,,,
1408,,,bell,Michigan State,,,26671.0,leveon,,9.0,['RB'],,True,TB,[],Groveport Madison (OH),6.0,,leveonbell,Bell,,,,14967.0,Active,,1707165960874.0,29.0,235.0,,,Le'Veon Bell,543654.0,1992-02-18,8617.0,225,73,543654.0,15825.0,{'channel_id': '1116852736248250368'},1408,Le'Veon,nfl,,RB,00-0030496,7735c02a-ee75-447c-86e6-6c2168500050,#leveonbell-NFL-TB-6,,8390.0,,,,,
8074,,,seybert,Michigan State,,,,matt,,1.0,['TE'],,True,,[],St. Francis (MI),41.0,,mattseybert,Seybert,,,,,Active,,1629836727949.0,24.0,,,,Matt Seybert,,1997-05-02,15785.0,252,76,,,{'channel_id': '1116853462399713280'},8074,Matt,nfl,,TE,,22ec09a7-6001-43b7-adf9-cf0df941ad0e,#mattseybert-NFL-FA-41,,,,,,,
11533,,872D94B3727D,aubrey,Notre Dame,,,,brandon,,1.0,['K'],,True,DAL,[],Plano Senior (TX),17.0,,brandonaubrey,Aubrey,,,1.0,,Active,,1706637651312.0,29.0,154.0,,,Brandon Aubrey,1454349.0,1995-03-14,17649.0,208,75,,,"{'channel_id': '1113708850915078145', 'rookie_year': '2023'}",11533,Brandon,nfl,,K,,110e6fe0-1c34-11ee-8294-af17faac15de,#brandonaubrey-NFL-DAL-17,K,,11533,,215.1,"August 2, 2024",
2881,,,slavin,New Mexico Highlands,,,29002.0,tyler,,1.0,['WR'],,False,,[],,13.0,,tylerslavin,Slavin,,,,17349.0,Inactive,,,26.0,9999999.0,,,Tyler Slavin,,1992-01-29,10861.0,215,"6'2""",542556.0,2516911.0,,2881,Tyler,nfl,,WR,,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,#tylerslavin-NFL-FA-13,,,,,,,
1284,,,dunbar,North Texas,,,26064.0,lance,,8.0,['RB'],,False,,[],Haltom (TX),25.0,,lancedunbar,Dunbar,,,,14731.0,Inactive,,1520632201229.0,30.0,9999999.0,,,Lance Dunbar,,1990-01-25,8086.0,187,"5'8""",468901.0,15369.0,,1284,Lance,nfl,,RB,,9f0f0495-b5b8-45c2-866b-02d9f96087f7,#lancedunbar-NFL-FA-25,,7798.0,,,,,
2801,,,white,Alabama,,,28800.0,deandrew,,7.0,['WR'],Questionable,True,,[],North Shore (TX),18.0,,deandrewwhite,White,,,,17269.0,Inactive,,1598920530064.0,30.0,9999999.0,,,DeAndrew White,,1991-10-16,10243.0,195,72,557177.0,2515962.0,{'channel_id': '1116852821904326656'},2801,DeAndrew,nfl,Undisclosed,WR,00-0031511,e0abf267-f265-4682-9bb7-72bbcefda451,#deandrewwhite-NFL-FA-18,,,,,,,
1073,,,thompson,SMU,,,,taylor,,3.0,['TE'],,False,,[],,84.0,,taylorthompson,Thompson,,,,13881.0,Inactive,,,27.0,9999999.0,,,Taylor Thompson,,1989-10-19,,268,"6'6""",460898.0,15067.0,,1073,Taylor,nfl,,TE,,c2c65162-07df-48fb-93ce-86f340afb688,#taylorthompson-NFL-FA-84,,,,,,,
7918,,,rose,Kentucky,,,,aj,,1.0,['RB'],,True,,[],Garfield Heights (OH),24.0,,ajrose,Rose,,,,,Active,,1661021115529.0,24.0,311.0,,,A.J. Rose,920059.0,1997-10-14,15350.0,212,73,,,{'channel_id': '1116853435631665152'},7918,A.J.,nfl,,RB,,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,#ajrose-NFL-FA-24,,,,,,,
