sleeper_id,full_name,team,position,n_proj,mean_proj,sd_proj,min_proj,max_proj,n_ssns,n_games,mean_ssn_fp,mean_sd_fp,mean_var_fp
10210,Cameron Latu,SF,TE,1,3.4267717832,NA,3.4267717832,3.4267717832,NA,NA,NA,NA,NA
10212,Josh Whyle,TEN,TE,5,25.1129429384,16.051232493356768,3.38,43.9,1,8,2.4875,2.971982262973413,8.83267857142857
10213,Tre Tucker,LV,WR,4,84.1910924415,22.8430084766597,55.44500000000001,105.619369766,1,13,4.792307692307692,5.451217224691128,29.715769230769236
10214,Davis Allen,LAR,TE,5,21.8979430186,5.678609783546929,15.5,28.299999999999997,1,5,4.86,4.754261246502973,22.603
10215,Jake Haener,NO,QB,1,0,NA,0,0,NA,NA,NA,NA,NA
10216,Kenny McIntosh,SEA,RB,3,16.143442176833332,10.643615334139714,7.8,28.1303265305,NA,NA,NA,NA,NA
10217,Clayton Tune,ARI,QB,4,5.35,6.876772498781678,0,14.4,1,6,1.2466666666666668,2.557144240489117,6.5389866666666645
10218,Xavier Hutchinson,HOU,WR,3,7.593791388,5.087042599871649,3.92,13.4,1,13,1.6,1.0016652800877814,1.0033333333333336
10219,Chris Rodriguez,WAS,RB,3,40.01798771666667,13.943874761480494,31.3,56.1,1,8,4.6125,5.881554094916459,34.592678571428564
10220,Will Mallory,IND,TE,5,27.1337016802,10.148106809771663,15,40.6,1,11,2.7,2.7477263328068173,7.550000000000002
10221,Ronnie Bell,SF,WR,3,13.529986677999998,18.873679291560837,1.769960034,35.3,1,8,3.475,3.9231000861199408,15.390714285714285
10222,Jayden Reed,GB,WR,6,179.2790782115,32.53004335935392,150.555,236.7,1,18,10.644444444444444,6.419934232961857,41.21555555555555
10223,Eric Gray,NYG,RB,4,35.18469473575,18.294341335255236,17.1,51.8,1,5,2,1.2884098726725126,1.6600000000000001
10224,Brayden Willis,SF,TE,3,2.3194711010000004,3.9311572386286535,0,6.858413303000001,NA,NA,NA,NA,NA
10225,Jonathan Mingo,CAR,WR,5,75.2099539838,24.500358606178803,53.885,116.1,1,15,4.22,2.888202604685877,8.341714285714286
10226,Andrei Iosivas,CIN,WR,4,74.276931391,17.647664384172145,56,97.5,1,9,4.788888888888889,5.623931997376134,31.628611111111116
10227,Payne Durham,TB,TE,4,15.137826286375,7.665243229077515,3.685,19.5,1,7,1.5142857142857142,1.162509600574796,1.3514285714285714
10228,Charlie Jones,CIN,WR,3,12.462264258166666,3.1106927439933116,9.8417927745,15.9,1,5,3.44,3.2207142065076186,10.373
10229,Rashee Rice,KC,WR,6,185.23351407733335,36.162097627440865,156.3,254.1,1,20,10.935,5.394370847661966,29.099236842105274
