params/stats_window_size,params/learning_starts,params/exploration_initial_eps,params/policy_kwargs,time/episodes,rollout/ep_len_mean,params/target_update_interval,params/batch_size,params/tau,params/max_grad_norm,params/policy,params/train_freq,params/buffer_size,params/verbose,rollout/exploration_rate,time/time_elapsed,params/learning_rate,params/gradient_steps,params/exploration_final_eps,time/total_timesteps,rollout/ep_rew_mean,params/exploration_fraction,params/gamma,time/fps,mean_reward,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
100,1000,1.0,{'net_arch': [128, 128]},4,15.0,1,128,0.005,10,"MlpPolicy",4,10000,1,0.9942999999999995,3,0.001,1,0.05,60,-0.7426605000000001,0.1,0.99,16,,,,,,
,,,,8,15.0,,,,,,,,,0.9886000000000003,7,,,,120,-0.760427375,,,16,,,,,,
,,,,12,15.0,,,,,,,,,0.9828999999999998,11,,,,180,-0.6353618333333333,,,16,,,,,,
,,,,16,15.0,,,,,,,,,0.9772000000000004,14,,,,240,-0.6562853124999999,,,16,,,,,,
,,,,20,15.0,,,,,,,,,0.9715,18,,,,300,-0.6818899999999999,,,16,,,,,,
,,,,24,15.0,,,,,,,,,0.9657999999999995,22,,,,360,-0.6390963749999999,,,16,,,,,,
,,,,28,15.0,,,,,,,,,0.9601000000000002,25,,,,420,-0.5495822499999999,,,16,,,,,,
,,,,32,15.0,,,,,,,,,0.9543999999999998,29,,,,480,-0.5755879374999999,,,16,,,,,,
,,,,36,15.0,,,,,,,,,0.9487000000000004,33,,,,540,-0.5942310833333333,,,16,,,,,,
,,,,40,15.0,,,,,,,,,0.943,37,,,,600,-0.610354775,,,15,,,,,,
,,,,44,15.0,,,,,,,,,0.9372999999999996,41,,,,660,-0.5914897045454545,,,15,,,,,,
,,,,48,15.0,,,,,,,,,0.9316000000000002,45,,,,720,-0.6045838333333333,,,15,,,,,,
,,,,52,15.0,,,,,,,,,0.9258999999999997,49,,,,780,-0.6172315384615383,,,15,,,,,,
,,,,56,15.0,,,,,,,,,0.9202000000000004,52,,,,840,-0.6274002857142857,,,15,,,,,,
,,,,60,15.0,,,,,,,,,0.9145,56,,,,900,-0.6331724999999999,,,15,,,,,,
,,,,64,15.0,,,,,,,,,0.9087999999999995,60,,,,960,-0.640111015625,,,15,,,,,,
,,,,68,15.0,,,,,,,,,0.9031000000000001,64,,,,1020,-0.6261127647058823,,,15,-0.042292923,4,0.001,0.01689823716878891,,
,,,,72,15.0,,,,,,,,,0.8973999999999998,68,,,,1080,-0.6325815,,,15,,19,0.001,0.021062301471829414,,
,,,,76,15.0,,,,,,,,,0.8917000000000004,72,,,,1140,-0.6197634868421054,,,15,,34,0.001,0.020761406049132347,,
,,,,80,15.0,,,,,,,,,0.8859999999999999,76,,,,1200,-0.626439125,,,15,,49,0.001,0.01877787709236145,,
,,,,84,15.0,,,,,,,,,0.8803000000000005,80,,,,1260,-0.6332712500000001,,,15,,64,0.001,0.02918667532503605,,
,,,,88,15.0,,,,,,,,,0.8746000000000002,84,,,,1320,-0.6375715795454545,,,15,,79,0.001,0.011563053354620934,,
,,,,92,15.0,,,,,,,,,0.8688999999999997,88,,,,1380,-0.6432428804347825,,,15,,94,0.001,0.0229814350605011,,
,,,,96,15.0,,,,,,,,,0.8632000000000003,92,,,,1440,-0.6477995104166667,,,15,,109,0.001,0.02421020157635212,,
,,,,100,15.0,,,,,,,,,0.8574999999999999,95,,,,1500,-0.6517499300000001,,,15,,124,0.001,0.013744352385401726,,
,,,,104,15.0,,,,,,,,,0.8518000000000006,99,,,,1560,-0.6514652400000002,,,15,,139,0.001,0.028976688161492348,,
,,,,108,15.0,,,,,,,,,0.8461000000000001,103,,,,1620,-0.6372201099999999,,,15,,154,0.001,0.02313155308365822,,
,,,,112,15.0,,,,,,,,,0.8403999999999997,107,,,,1680,-0.65215034,,,15,,169,0.001,0.01730893924832344,,
,,,,116,15.0,,,,,,,,,0.8347000000000003,111,,,,1740,-0.65327284,,,15,,184,0.001,0.016497347503900528,,
,,,,120,15.0,,,,,,,,,0.8289999999999998,115,,,,1800,-0.6235278200000001,,,15,,199,0.001,0.015501010231673717,,
,,,,124,15.0,,,,,,,,,0.8233000000000005,119,,,,1860,-0.6363492000000001,,,15,,214,0.001,0.013574963435530663,,
,,,,128,15.0,,,,,,,,,0.8176000000000001,123,,,,1920,-0.6519914,,,15,,229,0.001,0.007843716070055962,,
,,,,132,15.0,,,,,,,,,0.8118999999999996,126,,,,1980,-0.65170429,,,15,,244,0.001,0.010447485372424126,,
,,,,136,15.0,,,,,,,,,0.8062000000000002,130,,,,2040,-0.6524378799999999,,,15,-0.04182293,259,0.001,0.01725679263472557,,
,,,,140,15.0,,,,,,,,,0.8004999999999999,135,,,,2100,-0.6383781700000001,,,15,,274,0.001,0.00951448269188404,,
,,,,144,15.0,,,,,,,,,0.7948000000000004,138,,,,2160,-0.65325603,,,15,,289,0.001,0.006944963242858648,,
,,,,148,15.0,,,,,,,,,0.7891,142,,,,2220,-0.63850629,,,15,,304,0.001,0.007974461652338505,,
,,,,152,15.0,,,,,,,,,0.7833999999999997,146,,,,2280,-0.6250158299999999,,,15,,319,0.001,0.013702892698347569,,
,,,,156,15.0,,,,,,,,,0.7777000000000003,150,,,,2340,-0.62441634,,,15,,334,0.001,0.017097031697630882,,
,,,,160,15.0,,,,,,,,,0.7719999999999998,154,,,,2400,-0.61117891,,,15,,349,0.001,0.01581459678709507,,
,,,,164,15.0,,,,,,,,,0.7663000000000004,158,,,,2460,-0.61104516,,,15,,364,0.001,0.00928740855306387,,
,,,,168,15.0,,,,,,,,,0.7606,162,,,,2520,-0.61101358,,,15,,379,0.001,0.006413572002202272,,
,,,,172,15.0,,,,,,,,,0.7548999999999996,166,,,,2580,-0.61102972,,,15,,394,0.001,0.007896237075328827,,
,,,,176,15.0,,,,,,,,,0.7492000000000003,170,,,,2640,-0.6255782999999999,,,15,,409,0.001,0.006106515880674124,,
,,,,180,15.0,,,,,,,,,0.7434999999999998,174,,,,2700,-0.6100286199999999,,,15,,424,0.001,0.007092205807566643,,
,,,,184,15.0,,,,,,,,,0.7378000000000005,177,,,,2760,-0.59488087,,,15,,439,0.001,0.006704110186547041,,
,,,,188,15.0,,,,,,,,,0.7321,181,,,,2820,-0.5954165299999999,,,15,,454,0.001,0.004224802833050489,,
,,,,192,15.0,,,,,,,,,0.7263999999999996,185,,,,2880,-0.5939399599999999,,,15,,469,0.001,0.014971240423619747,,
,,,,196,15.0,,,,,,,,,0.7207000000000001,189,,,,2940,-0.5938760299999999,,,15,,484,0.001,0.003305843099951744,,
,,,,200,15.0,,,,,,,,,0.7149999999999997,194,,,,3000,-0.5936885,,,15,-0.040427987,499,0.001,0.010307667776942253,,
,,,,204,15.0,,,,,,,,,0.7093000000000005,198,,,,3060,-0.5934148,,,15,,514,0.001,0.009059935808181763,,
,,,,208,15.0,,,,,,,,,0.7036,202,,,,3120,-0.5904045099999999,,,15,,529,0.001,0.006723510567098856,,
,,,,212,15.0,,,,,,,,,0.6978999999999995,206,,,,3180,-0.5738670200000001,,,15,,544,0.001,0.005516829900443554,,
,,,,216,15.0,,,,,,,,,0.6922000000000001,210,,,,3240,-0.57375091,,,15,,559,0.001,0.009752231650054455,,
,,,,220,15.0,,,,,,,,,0.6864999999999998,214,,,,3300,-0.5874259199999999,,,15,,574,0.001,0.012051190249621868,,
,,,,224,15.0,,,,,,,,,0.6808000000000004,218,,,,3360,-0.57357243,,,15,,589,0.001,0.008052300661802292,,
,,,,228,15.0,,,,,,,,,0.6751,221,,,,3420,-0.5857437200000001,,,15,,604,0.001,0.007280482444912195,,
,,,,232,15.0,,,,,,,,,0.6694000000000007,225,,,,3480,-0.58561685,,,15,,619,0.001,0.009894190356135368,,
,,,,236,15.0,,,,,,,,,0.6637000000000002,229,,,,3540,-0.57140845,,,15,,634,0.001,0.004675293806940317,,
,,,,240,15.0,,,,,,,,,0.6579999999999997,233,,,,3600,-0.57119894,,,15,,649,0.001,0.009584642946720123,,
,,,,244,15.0,,,,,,,,,0.6523000000000003,237,,,,3660,-0.55698738,,,15,,664,0.001,0.009501049295067787,,
,,,,248,15.0,,,,,,,,,0.6465999999999998,241,,,,3720,-0.5728083,,,15,,679,0.001,0.003929437138140202,,
,,,,252,15.0,,,,,,,,,0.6408999999999995,245,,,,3780,-0.5867493199999999,,,15,,694,0.001,0.01041936594992876,,
,,,,256,15.0,,,,,,,,,0.6352000000000001,249,,,,3840,-0.5584857,,,15,,709,0.001,0.0070720333606004715,,
,,,,260,15.0,,,,,,,,,0.6294999999999997,253,,,,3900,-0.54481496,,,15,,724,0.001,0.005026163067668676,,
,,,,264,15.0,,,,,,,,,0.6238000000000004,257,,,,3960,-0.5295116099999999,,,15,,739,0.001,0.005885063670575619,,
,,,,268,15.0,,,,,,,,,0.6180999999999999,261,,,,4020,-0.5288707600000001,,,15,-0.030329129,754,0.001,0.01224951259791851,,
,,,,272,15.0,,,,,,,,,0.6124000000000005,265,,,,4080,-0.5146941599999999,,,15,,769,0.001,0.008002019487321377,,
,,,,276,15.0,,,,,,,,,0.6067000000000001,269,,,,4140,-0.51493641,,,15,,784,0.001,0.012676382437348366,,
,,,,280,15.0,,,,,,,,,0.6009999999999998,273,,,,4200,-0.52910851,,,15,,799,0.001,0.004196811001747847,,
,,,,284,15.0,,,,,,,,,0.5953000000000004,277,,,,4260,-0.54225189,,,15,,814,0.001,0.012407248839735985,,
,,,,288,15.0,,,,,,,,,0.5895999999999999,281,,,,4320,-0.52737221,,,15,,829,0.001,0.009567087516188622,,
