params/gae_lambda,time/fps,params/rollout_buffer_class,rollout/ep_len_mean,time/time_elapsed,params/sde_sample_freq,params/rollout_buffer_kwargs,params/learning_rate,params/use_sde,params/verbose,params/batch_size,params/ent_coef,time/iterations,params/clip_range_vf,params/n_epochs,params/max_grad_norm,params/stats_window_size,params/target_kl,params/policy_kwargs,params/gamma,params/seed,params/policy,params/vf_coef,params/normalize_advantage,rollout/ep_rew_mean,params/device,params/_init_setup_model,time/total_timesteps,params/n_steps,params/clip_range,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,mean_reward,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
0.95,14,,15.0,34,-1,,<function learning_rate_schedule.<locals>.<lambda> at 0x3558a4430>,False,1,256,0.03,1,,15,0.7,100,0.01,{'net_arch': [{'pi': [256, 256, 128], 'vf': [256, 256, 128]}]},0.99,42,"MlpPolicy",0.5,True,-0.44378785294117645,"auto",True,512,512,0.2,,,,,,,,,,,,,
,15,,15.0,67,,,,,,,,2,,,,,,,,,,,,-0.3742094705882352,,,1024,,,-1.7892947395642598,9.99872e-05,-0.008152107909942667,0.007968649,-1.106945514678955,-0.025171775,0.2076349899172783,0.2,0.004166666666666667,-0.02369343489408493,15,,
,15,,15.0,100,,,,,,,,3,,,,,,,,,,,,-0.4018864,,,1536,,,-1.769050927956899,9.997440000000002e-05,-0.009730811133825531,0.009788004,0.156624436378479,,0.18346370061238607,0.2,0.04192708333333333,0.0007596313953399658,30,,
,15,,15.0,133,,,,,,,,4,,,,,,,,,,,,-0.24447952999999997,,,2048,,,-1.7362537384033203,9.99616e-05,-0.012458822643384337,0.014475973,0.21200424432754517,-0.017752873,0.15193433836102485,0.2,0.07083333333333333,-0.019839636981487274,45,,
,15,,15.0,167,,,,,,,,5,,,,,,,,,,,,-0.1734572,,,2560,,,-1.7066842555999755,9.99488e-05,-0.011335340763131778,0.010908563,-0.2238527536392212,,0.24536243677139283,0.2,0.06380208333333333,0.03469955921173096,60,,
,15,,15.0,201,,,,,,,,6,,,,,,,,,,,,-0.19406191,,,3072,,,-1.699020302295685,9.993600000000001e-05,-0.008894094793746869,0.008099852,0.01717197895050049,-0.015495941,0.20431002030769985,0.2,0.03307291666666667,0.025995485484600067,75,,
,15,,15.0,235,,,,,,,,7,,,,,,,,,,,,-0.3278724700000001,,,3584,,,-1.7257101655006408,9.992320000000001e-05,-0.003815323238571485,0.007495263,0.0261651873588562,,0.16235018769900003,0.2,0.0,-0.004966728389263153,90,,
,15,,15.0,269,,,,,,,,8,,,,,,,,,,,,-0.43860984000000003,,,4096,,,-1.727613139152527,9.991040000000001e-05,-0.0037291299862166247,0.0053924713,-0.04557633399963379,-0.026563892,0.1330440439283848,0.2,0.0014322916666666666,-0.006381455808877945,105,,
,15,,15.0,303,,,,,,,,9,,,,,,,,,,,,-0.44228523000000003,,,4608,,,-1.720403532187144,9.989760000000001e-05,-0.00562961872977515,0.011115199,-0.010072946548461914,,0.1566348801056544,0.2,0.041015625,0.013379126787185669,120,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,-1.7089075485865275,9.988480000000001e-05,-0.008299473983546099,0.011058679,-0.008602261543273926,,0.1278268501162529,0.2,0.02265625,-0.02701491117477417,135,15.0,-0.8453367039561271
