params/verbose,params/batch_size,params/normalize_advantage,params/device,rollout/ep_len_mean,params/seed,time/iterations,time/fps,params/target_kl,params/gamma,params/n_epochs,params/_init_setup_model,params/max_grad_norm,params/rollout_buffer_kwargs,params/clip_range,params/rollout_buffer_class,rollout/ep_rew_mean,params/clip_range_vf,time/total_timesteps,time/time_elapsed,params/gae_lambda,params/vf_coef,params/policy_kwargs,params/stats_window_size,mean_reward,params/learning_rate,params/n_steps,params/ent_coef,params/policy,params/sde_sample_freq,params/use_sde,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1,256,True,"auto",15.0,42,1,15,0.01,0.99,15,True,0.7,,0.2,,-0.6799107941176471,,512,33,0.95,0.5,{'net_arch': [{'pi': [256, 256, 128], 'vf': [256, 256, 128]}]},100,0.5399431,<function learning_rate_schedule.<locals>.<lambda> at 0x35012c430>,512,0.03,"MlpPolicy",-1,False,,,,,,,,,,,,
,,,,15.0,,2,15,,,,,,,,,-0.597115,,1024,67,,,,,-0.68025666,,,,,,,-2.275979518890381,0.2,-1.7902170221010845,-0.007063025732835134,0.006597429513931274,0.0,0.2999757409095764,0.00452325,15,9.99872e-05,,
,,,,15.0,,3,15,,,,,,,,,-0.59060449,,1536,100,,,,,-0.46928516,,,,,,,-0.0974961519241333,0.2,-1.780760153134664,-0.010673916588226954,0.02769303321838379,0.027864583333333335,0.2511240060130755,0.010157263,30,9.997440000000002e-05,,
,,,,15.0,,4,15,,,,,,,,,-0.43109506,,2048,133,,,,,,,,,,,,0.07400321960449219,0.2,-1.7563855528831482,-0.012552908761426807,0.019766628742218018,0.058984375,0.2149151881535848,0.01122206,45,9.99616e-05,,
,,,,15.0,,5,15,,,,,,,,,-0.32704729,,2560,166,,,,,-0.30851132,,,,,,,-0.1322486400604248,0.2,-1.7409659544626872,-0.0067502899017805856,0.03548099100589752,0.016927083333333332,0.2797958458463351,0.008408113,60,9.99488e-05,,
,,,,15.0,,6,15,,,,,,,,,-0.39137899,,3072,199,,,,,-0.4954619,,,,,,,0.018041372299194336,0.2,-1.7339810570081076,-0.007280302528912822,0.07378379255533218,0.001171875,0.3136390924453735,0.005701638,75,9.993600000000001e-05,,
,,,,15.0,,7,15,,,,,,,,,-0.40796016,,3584,232,,,,,,,,,,,,0.03342074155807495,0.2,-1.7327122449874879,-0.006052535260096192,-0.011961039155721664,0.01171875,0.14469815740982692,0.0084013315,90,9.992320000000001e-05,,
,,,,15.0,,8,15,,,,,,,,,-0.43122851999999995,,4096,265,,,,,-0.3133805,,,,,,,-0.017830252647399902,0.2,-1.7315811276435853,-0.012747560115531086,0.0037891119718551636,0.053515625,0.22378900597492854,0.012851056,105,9.991040000000001e-05,,
,,,,15.0,,9,15,,,,,,,,,-0.23142633,,4608,298,,,,,-0.07731886,,,,,,,-0.035175442695617676,0.2,-1.701510981718699,-0.010041410142245391,0.02927844226360321,0.0048177083333333336,0.23356460630893708,0.0071027735,120,9.989760000000001e-05,,
,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,-0.07514214515686035,0.2,-1.6765114665031433,-0.010723440845807394,0.04823671281337738,0.035807291666666664,0.27606358875830966,0.004414814,135,9.988480000000001e-05,0.0,15.0
,,,,15.05,,10,15,,,,,,,,,-0.10246583000000001,,5120,335,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.05,,11,15,,,,,,,,,0.017335809999999997,,5632,367,,,,,0.005109019,,,,,,,-0.01003408432006836,0.2,-1.690823233127594,-0.013141480189127227,0.05913436412811279,0.048177083333333336,0.3055276915431023,0.009462584,150,9.987200000000001e-05,,
,,,,15.05,,12,15,,,,,,,,,-0.11146589000000001,,6144,400,,,,,-0.17970333,,,,,,,0.029376626014709473,0.2,-1.660571579138438,-0.012540277543788154,0.02733761817216873,0.05026041666666667,0.22876746753851573,0.010342274,165,9.985920000000001e-05,,
,,,,15.0,,13,15,,,,,,,,,-0.10263806000000003,,6656,433,,,,,,,,,,,,0.050740063190460205,0.2,-1.6351027607917785,-0.01032155502277116,0.040024176239967346,0.03333333333333333,0.2499236543973287,0.0076873214,180,9.984640000000001e-05,,
,,,,15.0,,14,15,,,,,,,,,-0.17764129,,7168,465,,,,,-0.12889409,,,,,,,-0.03865337371826172,0.2,-1.5655689358711242,-0.017925571114756168,-0.008309885859489441,0.10520833333333333,0.18565697520971297,0.011119006,195,9.98336e-05,,
,,,,15.0,,15,15,,,,,,,,,-0.08017098,,7680,497,,,,,-0.045781393,,,,,,,0.10846954584121704,0.2,-1.5092422528700395,-0.010075022466480732,-0.020108763128519058,0.052556818181818184,0.09168435023589568,0.016509753,201,9.98208e-05,,
,,,,15.0,,16,15,,,,,,,,,-0.0528907,,8192,531,,,,,,,,,,,,-0.40415024757385254,0.2,-1.4120855768521627,-0.014622881589457393,-0.04910463094711304,0.07044270833333334,0.0784224584698677,0.0091564385,216,9.9808e-05,,
,,,,15.0,,17,15,,,,,,,,,-0.008450590000000001,,8704,564,,,,,-0.04,,,,,,,-9.43224048614502,0.2,-1.421705385049184,-0.01051677125506103,-0.059391822665929794,0.029296875,0.008090766100212931,0.005260583,231,9.97952e-05,,
,,,,15.0,,18,15,,,,,,,,,0.0013975000000000003,,9216,599,,,,,-0.06,,,,,,,-0.03396320343017578,0.2,-1.364454448223114,-0.012855859065894037,-0.06885019689798355,0.0509765625,0.014798578945919872,0.0144218225,241,9.97824e-05,,
,,,,15.0,,19,15,,,,,,,,,0.0029641300000000028,,9728,632,,,,,,,,,,,,0.0649457573890686,0.2,-1.3275173902511597,-0.005938910320401192,-0.0009944289922714233,0.09765625,0.09334308579564095,0.014175281,246,9.97696e-05,,
,,,,,,,,,,,,,,,,,,10000,,,,,,0.09772055,,,,,,,0.0180894136428833,0.2,-1.3470955689748128,-0.014197072417785724,-0.03866516053676605,0.10755208333333334,0.060315162191788355,0.0107113365,261,9.97568e-05,0.0,15.0
,,,,15.05,,20,15,,,,,,,,,0.05466763,,10240,670,,,,,,,,,,,,,,,,,,,,,,,
,,,,15.05,,21,15,,,,,,,,,0.03470181,,10752,702,,,,,-0.02838528,,,,,,,-0.2232753038406372,0.2,-1.354941725730896,-0.007829075853805989,-0.013517849147319794,0.0556640625,0.0772976647131145,0.011920853,265,9.9744e-05,,
,,,,15.05,,22,15,,,,,,,,,0.10232033000000001,,11264,735,,,,,,,,,,,,-0.19411182403564453,0.2,-1.3887737035751342,-0.013538738122830789,-0.021602198481559753,0.08307291666666666,0.11151000907023748,0.0085806595,280,9.97312e-05,,
,,,,15.0,,23,15,,,,,,,,,0.07916045000000001,,11776,768,,,,,0.23302595,,,,,,,-0.20378243923187256,0.2,-1.4416956945701882,-0.013561883630851904,0.003025926649570465,0.05222800925925926,0.20195070074664223,0.0151637755,294,9.97184e-05,,
,,,,15.0,,24,15,,,,,,,,,0.10098707000000001,,12288,800,,,,,-0.011613734,,,,,,,-0.0769801139831543,0.2,-1.502008612950643,-0.014197283843532204,-0.019680999219417572,0.06106770833333333,0.14271800766388576,0.007384033,309,9.97056e-05,,
,,,,15.0,,25,15,,,,,,,,,0.017245689999999998,,12800,833,,,,,0.066105105,,,,,,,-0.0922778844833374,0.2,-1.46619656085968,-0.01696779889365037,-0.003473140299320221,0.10299479166666667,0.15007120619217554,0.009667003,324,9.96928e-05,,
,,,,15.0,,26,15,,,,,,,,,0.045825109999999995,,13312,866,,,,,,,,,,,,-0.054642558097839355,0.2,-1.426580818494161,-0.013588645542040468,-0.044103316962718964,0.06940104166666666,0.06549278671542803,0.01024258,339,9.968000000000001e-05,,
,,,,15.0,,27,15,,,,,,,,,0.061753619999999995,,13824,899,,,,,0.07763386,,,,,,,-0.049079179763793945,0.2,-1.4523952881495157,-0.01384363966062665,-0.026614874601364136,0.09505208333333333,0.0801684945821762,0.007138407,354,9.966720000000001e-05,,
,,,,15.0,,28,15,,,,,,,,,0.057681109999999994,,14336,932,,,,,0.048899397,,,,,,,0.020947515964508057,0.2,-1.4676947832107543,-0.013536268488193552,-0.013415291905403137,0.08828125,0.12517764493823053,0.008603913,369,9.96544e-05,,
,,,,15.0,,29,15,,,,,,,,,0.06899579,,14848,965,,,,,,,,,,,,-0.047992587089538574,0.2,-1.4571956475575765,-0.016558433944980303,-0.014120321720838547,0.04153645833333333,0.15524142185846965,0.006793043,384,9.96416e-05,,
,,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,,,-0.1837918758392334,0.2,-1.4639872113863628,-0.016339600970968603,-0.04135444015264511,0.048567708333333334,0.05898880052069823,0.0090777,399,9.96288e-05,0.0,15.0
,,,,15.05,,30,15,,,,,,,,,0.05124510000000001,,15360,1002,,,,,0.0655237,,,,,,,,,,,,,,,,,,
,,,,15.05,,31,15,,,,,,,,,0.04955722999999999,,15872,1035,,,,,0.022396332,,,,,,,-0.10234534740447998,0.2,-1.4507084012031555,-0.01071264708104233,-0.0334712490439415,0.026171875,0.08402970805764198,0.004129176,414,9.9616e-05,,
,,,,15.05,,32,15,,,,,,,,,0.013986100000000015,,16384,1068,,,,,,,,,,,,-0.020567655563354492,0.2,-1.4679582317670186,-0.012770997608701389,-0.04312552511692047,0.09778645833333334,0.05153016361097495,0.009316482,429,9.96032e-05,,
,,,,15.0,,33,15,,,,,,,,,0.004282309999999998,,16896,1101,,,,,-0.014370215,,,,,,,-0.09042823314666748,0.2,-1.4611016750335692,-0.015078207679713766,-0.03920639306306839,0.06158854166666667,0.08528508270780245,0.008629704,444,9.959040000000001e-05,,
,,,,15.0,,34,15,,,,,,,,,0.01601768,,17408,1133,,,,,0.025888927,,,,,,,0.007397592067718506,0.2,-1.4512316385904949,-0.0164944799306492,-0.020767942070961,0.11458333333333333,0.09520788540442784,0.01085051,459,9.957760000000001e-05,,
,,,,15.0,,35,15,,,,,,,,,0.010302030000000002,,17920,1166,,,,,,,,,,,,-0.02797865867614746,0.2,-1.4640706499417624,-0.01709180975643297,-0.020291291177272797,0.09361979166666666,0.11483115280667941,0.008808364,474,9.95648e-05,,
,,,,15.0,,36,15,,,,,,,,,0.061214370000000004,,18432,1199,,,,,0.07667118,,,,,,,-0.26623570919036865,0.2,-1.4632288495699564,-0.016296286089345812,-0.04971856623888016,0.05559895833333333,0.08164098784327507,0.008055634,489,9.955200000000001e-05,,
