time/fps,params/seed,params/verbose,params/policy,params/stats_window_size,params/normalize_advantage,params/use_sde,params/_init_setup_model,time/total_timesteps,params/max_grad_norm,time/time_elapsed,params/learning_rate,params/n_epochs,params/vf_coef,params/ent_coef,params/sde_sample_freq,rollout/ep_len_mean,params/clip_range,params/rollout_buffer_class,mean_reward,params/device,params/batch_size,params/rollout_buffer_kwargs,params/n_steps,params/gamma,params/gae_lambda,time/iterations,params/clip_range_vf,params/policy_kwargs,rollout/ep_rew_mean,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
15,42,1,"MlpPolicy",100,True,False,True,750,0.7,47,<function learning_rate_schedule.<locals>.<lambda> at 0x351f64430>,30,0.5,0.03,-1,15.0,0.2,,0.5399431,"auto",750,,750,0.99,0.95,1,,{'net_arch': [{'pi': [256, 256, 128], 'vf': [256, 256, 128]}]},-0.6380779799999999,,,,,,,,,,,,
15,,,,,,,,1500,,96,,,,,,15.0,,,-0.6688768,,,,,,,2,,,-0.57449892,0.007288889043654005,0.0072796377,-0.007092617086155547,30,9.998125e-05,0.2,0.03558357059955597,-1.9859955310821533,0.3523772557576497,-1.7894640485445659,,
15,,,,,,,,2250,,145,,,,,,15.0,,,-0.5109198,,,,,,,3,,,-0.46922855999999996,0.0877333336820205,0.010274413,-0.0140714605149606,60,9.99625e-05,0.2,0.03243318945169449,-0.019072532653808594,0.25804356634616854,-1.7734150012334189,,
15,,,,,,,,3000,,195,,,,,,15.0,,,-0.39563686,,,,,,,4,,,-0.47971962999999995,0.0867111104230086,0.011530758,-0.012151404639808216,90,9.994375e-05,0.2,0.05391088128089905,-0.014525651931762695,0.2983936150868734,-1.7442880709966024,,
15,,,,,,,,3750,,244,,,,,,15.0,,,-0.56380236,,,,,,,5,,,-0.6037233900000001,0.011466666590422392,0.0055875904,-0.0038274724525199015,120,9.9925e-05,0.2,0.040975216776132584,-0.29543066024780273,0.26144377688566844,-1.7363840421040853,,
15,,,,,,,,4500,,293,,,,,,15.0,,,-0.67554474,,,,,,,6,,,-0.5727630100000001,0.10577777785559496,0.005982498,-0.013151182083114853,150,9.990625e-05,0.2,0.035252682864665985,-0.06123983860015869,0.25058528582255046,-1.7410308917363484,,
,,,,,,,,5000,,,,,,,,,,,-0.46998122,,,,,,,,,,,0.037066666518027584,0.009830424,-0.008857092301547837,180,9.988750000000001e-05,0.2,0.04099372774362564,-0.0192108154296875,0.2496972382068634,-1.7291446129480998,15.0,-1.0
15,,,,,,,,5250,,346,,,,,,15.05,,,,,,,,,,7,,,-0.43810777,,,,,,,,,,,,
15,,,,,,,,6000,,394,,,,,,15.05,,,-0.4062343,,,,,,,8,,,-0.48833877000000003,0.06991111127038797,0.011362562,-0.012726640869935756,210,9.986875000000001e-05,0.2,0.05874912440776825,-0.15123116970062256,0.3258940269549688,-1.7344933072725932,,
15,,,,,,,,6750,,441,,,,,,15.0,,,-0.5704015,,,,,,,9,,,-0.5515025,0.05880000065080822,0.008033095,-0.010159037206798989,240,9.985000000000001e-05,0.2,0.034958161413669586,-0.07924747467041016,0.2575240214665731,-1.732054384549459,,
15,,,,,,,,7500,,488,,,,,,15.0,,,-0.5326035,,,,,,,10,,,-0.50045221,0.03693333340343088,0.0076719723,-0.01195603211747301,270,9.983125e-05,0.2,0.028709396719932556,-0.09712564945220947,0.23968912462393444,-1.7060143113136292,,
15,,,,,,,,8250,,536,,,,,,15.0,,,-0.46857497,,,,,,,11,,,-0.5171687800000001,0.0702666669463118,0.009598681,-0.01581727309654881,300,9.98125e-05,0.2,0.0013380497694015503,-0.013431549072265625,0.21145727038383483,-1.6992165486017863,,
15,,,,,,,,9000,,584,,,,,,15.0,,,-0.5657625,,,,,,,12,,,-0.45560855000000006,0.03831111139928301,0.006110855,-0.011668427096977307,330,9.979375e-05,0.2,0.024773187935352325,-0.1252751350402832,0.23708413789669672,-1.6936084906260171,,
15,,,,,,,,9750,,632,,,,,,15.0,,,-0.37636644,,,,,,,13,,,-0.31549149,0.054044444921116035,0.008962147,-0.01424293295341131,360,9.9775e-05,0.2,0.0321526974439621,-0.015111923217773438,0.2579219857851664,-1.7164129773775736,,
,,,,,,,,10000,,,,,,,,,,,-0.22361979,,,,,,,,,,,0.106577777559869,0.009081412,-0.02078240616454021,390,9.975625e-05,0.2,0.06498661637306213,-0.1477339267730713,0.35363982717196146,-1.709567697842916,15.0,-1.0
15,,,,,,,,10500,,685,,,,,,15.05,,,,,,,,,,14,,,-0.20263386,,,,,,,,,,,,
15,,,,,,,,11250,,732,,,,,,15.05,,,-0.14974791,,,,,,,15,,,-0.27929839,0.07306666768466433,0.009638718,-0.01784719870064615,420,9.97375e-05,0.2,0.04262493550777435,-0.041271209716796875,0.3042375604311625,-1.7194995522499084,,
15,,,,,,,,12000,,780,,,,,,15.0,,,-0.38790166,,,,,,,16,,,-0.36747417,0.058977777635057765,0.009171288,-0.012535368196301485,450,9.971875000000001e-05,0.2,0.04059760272502899,-0.06031203269958496,0.28301563262939455,-1.724036490917206,,
15,,,,,,,,12750,,827,,,,,,15.0,,,-0.29549477,,,,,,,17,,,-0.20129360999999996,0.10502222180366516,0.009292969,-0.02259418381608298,480,9.970000000000001e-05,0.2,0.0264105424284935,0.06653940677642822,0.266923563182354,-1.7054069876670837,,
15,,,,,,,,13500,,874,,,,,,15.0,,,-0.09703796,,,,,,,18,,,-0.06453222000000002,0.08382222269816945,0.010083569,-0.021970644264425056,510,9.968125e-05,0.2,0.0713484063744545,-0.02209460735321045,0.36663832267125446,-1.7184942523638407,,
15,,,,,,,,14250,,922,,,,,,15.0,,,-0.053489313,,,,,,,19,,,-0.13743605000000003,0.12639999898771445,0.010175316,-0.02840969939776179,540,9.96625e-05,0.2,0.027179092168807983,0.025380432605743408,0.2930648624897003,-1.6997707645098368,,
,,,,,,,,15000,,,,,,,,,,,-0.21980642,,,,,,,,,,,0.12475555576384068,0.010672151,-0.02634345086183813,570,9.964374999999999e-05,0.2,0.012512437999248505,-0.0182417631149292,0.2584209044774373,-1.685095198949178,15.0,1.0005148768424987
15,,,,,,,,15000,,974,,,,,,15.0,,,,,,,,,,20,,,-0.06319891,,,,,,,,,,,,
15,,,,,,,,15750,,1022,,,,,,15.05,,,0.06234355,,,,,,,21,,,0.11697681000000001,0.09093333378744622,0.008553911,-0.02211975122886294,600,9.962500000000001e-05,0.2,0.040438100695610046,-0.16236913204193115,0.3277265022198359,-1.6791819055875143,,
15,,,,,,,,16500,,1069,,,,,,15.05,,,0.10803522,,,,,,,22,,,0.03966161000000002,0.10644444463153681,0.012689525,-0.0282326432610655,630,9.960625e-05,0.2,0.00723101943731308,0.062004923820495605,0.2506823216875394,-1.6510749061902363,,
15,,,,,,,,17250,,1116,,,,,,15.0,,,-0.0076750014,,,,,,,23,,,-0.06427789999999999,0.04760000007227063,0.00746912,-0.019680226947611866,660,9.95875e-05,0.2,0.021997347474098206,-0.00924074649810791,0.26881870726744334,-1.6445497830708822,,
15,,,,,,,,18000,,1163,,,,,,15.0,,,-0.08944022,,,,,,,24,,,-0.16281628,0.1046222222968936,0.011495055,-0.03085675288427414,690,9.956875e-05,0.2,0.055374085903167725,0.015319466590881348,0.3647556185722351,-1.6533576369285583,,
15,,,,,,,,18750,,1212,,,,,,15.0,,,-0.22527796,,,,,,,25,,,-0.15846919,0.09991111292814216,0.011878472,-0.030179865575312746,720,9.955000000000001e-05,0.2,0.019147083163261414,-0.0966024398803711,0.3040765583515167,-1.6310813347498576,,
15,,,,,,,,19500,,1260,,,,,,15.0,,,-0.09182736,,,,,,,26,,,0.09980877999999999,0.15644444474795213,0.013275839,-0.035885471574217086,750,9.953125000000001e-05,0.2,0.022785671055316925,-0.1090092658996582,0.3363975922266642,-1.6045218308766682,,
,,,,,,,,20000,,,,,,,,,,,0.25988382,,,,,,,,,,,0.09880000054836273,0.00971643,-0.023976199624519266,780,9.95125e-05,0.2,0.032289057970047,0.05814635753631592,0.2990887810786565,-1.6226540446281432,15.0,1.4118064045906067
15,,,,,,,,20250,,1314,,,,,,15.05,,,,,,,,,,27,,,0.15735914,,,,,,,,,,,,
15,,,,,,,,21000,,1362,,,,,,15.05,,,0.054867994,,,,,,,28,,,0.18226734999999997,0.1391555562304954,0.014045678,-0.03571559754094213,810,9.949375e-05,0.2,-0.0034741759300231934,0.02409541606903076,0.2506221557656924,-1.582001260916392,,
15,,,,,,,,21750,,1410,,,,,,15.0,,,0.3617175,,,,,,,29,,,0.5063406400000001,0.17120000024636586,0.013192914,-0.03242412208466687,840,9.9475e-05,0.2,-0.0033227726817131042,0.0934709906578064,0.24614286770423252,-1.5781505823135376,,
15,,,,,,,,22500,,1459,,,,,,15.0,,,0.7028168,,,,,,,30,,,0.6787576200000001,0.09786666735696296,0.010647463,-0.02555960033303736,870,9.945625000000001e-05,0.2,-0.0373055636882782,-0.13740897178649902,0.16413954372207323,-1.5420016725858052,,
15,,,,,,,,23250,,1507,,,,,,15.0,,,0.63519055,,,,,,,31,,,0.6263985599999999,0.13622222219904265,0.012967725,-0.03488817855130053,900,9.94375e-05,0.2,0.0172349214553833,0.013436436653137207,0.2754442701737086,-1.5288765192031861,,
15,,,,,,,,24000,,1556,,,,,,15.0,,,0.6498968,,,,,,,32,,,0.71639584,0.20924444372455278,0.017143134,-0.03517782277044737,930,9.941875e-05,0.2,-0.04703380912542343,0.04625743627548218,0.12804354776938756,-1.5082966248194376,,
15,,,,,,,,24750,,1605,,,,,,15.0,,,0.7515803,,,,,,,33,,,0.7339139300000003,0.12226666783293089,0.011615667,-0.0315030719980701,960,9.94e-05,0.2,-0.012713104486465454,0.05856597423553467,0.21440383543570837,-1.5034270723660788,,
,,,,,,,,25000,,,,,,,,,,,0.71618843,,,,,,,,,,,0.12688888943909357,0.013652756,-0.03358605987173506,990,9.938125e-05,0.2,-0.015746183693408966,0.07022184133529663,0.1986766442656517,-1.5003830512364706,15.0,1.2109597325325012
15,,,,,,,,25500,,1659,,,,,,15.05,,,,,,,,,,34,,,0.7347081299999999,,,,,,,,,,,,
15,,,,,,,,26250,,1707,,,,,,15.05,,,0.7531705,,,,,,,35,,,0.7267779799999999,0.16404444289704165,0.011193814,-0.03432527544177653,1020,9.936250000000001e-05,0.2,-0.03674473613500595,-0.06720173358917236,0.15866408000389734,-1.441110575199127,,
15,,,,,,,,27000,,1756,,,,,,15.0,,,0.66866577,,,,,,,36,,,0.6889504999999998,0.12360000063975653,0.011216314,-0.03126375880736549,1050,9.934375e-05,0.2,0.02788231521844864,0.035291194915771484,0.28521836300690967,-1.4635199745496115,,
15,,,,,,,,27750,,1806,,,,,,15.0,,,0.7815825,,,,,,,37,,,0.8069582200000001,0.1727111118535201,0.01292703,-0.03255149371181097,1080,9.932500000000002e-05,0.2,0.03628280758857727,-0.05133509635925293,0.31612963875134786,-1.431471574306488,,
15,,,,,,,,28500,,1854,,,,,,15.0,,,0.80069387,,,,,,,38,,,0.78045725,0.12057777815498412,0.01297761,-0.031746247663323054,1110,9.930625e-05,0.2,-0.023028962314128876,-0.14142727851867676,0.18592822998762132,-1.4066349188486735,,
15,,,,,,,,29250,,1903,,,,,,15.0,,,0.760045,,,,,,,39,,,0.84434681,0.11177777838893235,0.012641972,-0.03232781152383735,1140,9.928750000000001e-05,0.2,0.08410777151584625,-0.029933810234069824,0.424139737089475,-1.3906121492385863,,
,,,,,,,,30000,,,,,,,,,,,1.0123773,,,,,,,,,,,0.12391111203469336,0.009489151,-0.028743649541074372,1170,9.926875e-05,0.2,-0.003466002643108368,0.012262463569641113,0.20393259078264236,-1.3679853638013204,15.0,1.4241850137710572
15,,,,,,,,30000,,1956,,,,,,15.0,,,,,,,,,,40,,,0.97112783,,,,,,,,,,,,
15,,,,,,,,30750,,2005,,,,,,15.05,,,0.9101154,,,,,,,41,,,0.9515530199999997,0.11982222149769466,0.01234411,-0.034806567306319876,1200,9.925e-05,0.2,-0.017090044915676117,-0.09357476234436035,0.18879651377598444,-1.3722567637761434,,
15,,,,,,,,31500,,2054,,,,,,15.05,,,0.993869,,,,,,,42,,,1.05593268,0.11626666657005748,0.011640626,-0.03452200730173952,1230,9.923125e-05,0.2,0.013578549027442932,0.02562737464904785,0.2540930688381195,-1.3585502982139588,,
15,,,,,,,,32250,,2103,,,,,,15.0,,,1.1589864,,,,,,,43,,,1.15256101,0.1045333344489336,0.0088013895,-0.02771044507357807,1260,9.92125e-05,0.2,-0.003061547875404358,-0.12225663661956787,0.21093304604291915,-1.333346390724182,,
15,,,,,,,,33000,,2151,,,,,,15.0,,,1.1452488,,,,,,,44,,,1.09763897,0.12093333291510741,0.012161885,-0.029618200768033662,1290,9.919375000000001e-05,0.2,0.014743112027645111,0.007116913795471191,0.23999304523070653,-1.3541027983029683,,
15,,,,,,,,33750,,2200,,,,,,15.0,,,1.0087595,,,,,,,45,,,1.0690457199999999,0.15280000039686759,0.011931344,-0.03404958333882192,1320,9.917500000000001e-05,0.2,0.027243107557296753,0.048993706703186035,0.27140183448791505,-1.331979715824127,,
15,,,,,,,,34500,,2248,,,,,,15.0,,,1.0892493,,,,,,,46,,,1.05685758,0.1221333318700393,0.011722988,-0.035249520686579196,1350,9.915625000000001e-05,0.2,-0.003062516450881958,-0.0360560417175293,0.22937483340501785,-1.3102359334627787,,
,,,,,,,,35000,,,,,,,,,,,0.99262345,,,,,,,,,,,0.16159999840892852,0.01352711,-0.034079663159367106,1380,9.91375e-05,0.2,0.0248216912150383,-0.021383166313171387,0.2928839499751727,-1.2863061706225076,15.0,1.4160674452781676
15,,,,,,,,35250,,2301,,,,,,15.05,,,,,,,,,,47,,,0.96186732,,,,,,,,,,,,
15,,,,,,,,36000,,2349,,,,,,15.05,,,0.9924382,,,,,,,48,,,1.1137306100000002,0.1641333336631457,0.0153429285,-0.036727843671975034,1410,9.911875000000001e-05,0.2,0.055165380239486694,-0.04742538928985596,0.3514700472354889,-1.275322151184082,,
15,,,,,,,,36750,,2396,,,,,,15.0,,,1.3067677,,,,,,,49,,,1.2334131499999998,0.14008888859922689,0.010691969,-0.02874617781938157,1440,9.91e-05,0.2,0.0010286122560501099,0.02051299810409546,0.21793579955895742,-1.2806688745816548,,
15,,,,,,,,37500,,2444,,,,,,15.0,,,1.2122719,,,,,,,50,,,1.18633792,0.1407555573930343,0.014203828,-0.03512108126557948,1470,9.908125e-05,0.2,-0.026564128696918488,-0.017057061195373535,0.15917934278647106,-1.274437634150187,,
15,,,,,,,,38250,,2492,,,,,,15.0,,,1.1415255,,,,,,,51,,,1.0134881,0.140488888315546,0.011553584,-0.03466997508332135,1500,9.90625e-05,0.2,0.025554999709129333,0.047823429107666016,0.26256180902322135,-1.2645857413609822,,
15,,,,,,,,39000,,2540,,,,,,15.0,,,0.86628336,,,,,,,52,,,1.06686907,0.1363555557715396,0.0125626745,-0.032115590812907394,1530,9.904375e-05,0.2,0.034782230854034424,-0.07285511493682861,0.29438612262407937,-1.2450389822324117,,
15,,,,,,,,39750,,2588,,,,,,15.0,,,1.2872661,,,,,,,53,,,1.27671602,0.10137777744481961,0.011101417,-0.029149142265930312,1560,9.902500000000001e-05,0.2,-0.0031482502818107605,0.032668113708496094,0.19583722402652104,-1.2496786872545878,,
,,,,,,,,40000,,,,,,,,,,,1.2850122,,,,,,,,,,,0.16844444395974278,0.013474011,-0.03606207779285809,1590,9.900625000000001e-05,0.2,-0.018807806074619293,0.0384487509727478,0.1760600248972575,-1.235458505153656,15.0,1.4173446297645569
15,,,,,,,,40500,,2640,,,,,,15.05,,,,,,,,,,54,,,1.3158174000000002,,,,,,,,,,,,
15,,,,,,,,41250,,2688,,,,,,15.05,,,1.3470275,,,,,,,55,,,1.3163494000000002,0.14257777892053128,0.014058429,-0.03276593456634632,1620,9.898750000000001e-05,0.2,-0.011622302234172821,-0.03737080097198486,0.17697829157114028,-1.2156548142433166,,
15,,,,,,,,42000,,2736,,,,,,15.0,,,1.2867035,,,,,,,56,,,1.3350712999999998,0.13831111093362172,0.010833876,-0.03116060853950265,1650,9.896875e-05,0.2,-0.013142533600330353,-0.04541170597076416,0.17980141987403234,-1.222429060935974,,
15,,,,,,,,42750,,2784,,,,,,15.0,,,1.3830767,,,,,,,57,,,1.2890640400000002,0.14373333329179636,0.010895949,-0.02793686018650317,1680,9.895e-05,0.2,-0.030770309269428253,-0.01754474639892578,0.1277970681587855,-1.229269309838613,,
15,,,,,,,,43500,,2831,,,,,,15.0,,,1.1009736,,,,,,,58,,,1.2153074999999998,0.11471111016968887,0.0105656525,-0.03050098619779777,1710,9.893125e-05,0.2,0.02077466994524002,-0.12818503379821777,0.24913055350383123,-1.2252919554710389,,
15,,,,,,,,44250,,2881,,,,,,15.0,,,1.309223,,,,,,,59,,,1.27316828,0.11235555491099755,0.009971916,-0.03255789478081796,1740,9.89125e-05,0.2,0.00594465434551239,0.012569725513458252,0.223858805000782,-1.2486395200093587,,
,,,,,,,,45000,,,,,,,,,,,1.3100101,,,,,,,,,,,0.10026666543756922,0.0075008213,-0.02680379885385434,1770,9.889375e-05,0.2,-0.03961758688092232,-0.006245851516723633,0.10700017760197321,-1.2149063388506571,15.0,1.4191761136054992
15,,,,,,,,45000,,2935,,,,,,15.0,,,,,,,,,,60,,,1.27044184,,,,,,,,,,,,
