params/policy_kwargs,params/device,rollout/ep_len_mean,params/rollout_buffer_kwargs,params/_init_setup_model,mean_reward,time/iterations,params/stats_window_size,params/max_grad_norm,params/verbose,params/clip_range,params/normalize_advantage,params/seed,time/total_timesteps,params/rollout_buffer_class,params/policy,params/clip_range_vf,rollout/ep_rew_mean,params/use_sde,time/time_elapsed,params/vf_coef,time/fps,params/gamma,params/batch_size,params/n_steps,params/sde_sample_freq,params/gae_lambda,params/learning_rate,params/n_epochs,params/ent_coef,train/loss,train/value_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length
{'net_arch': [{'pi': [256, 256, 128], 'vf': [256, 256, 128]}]},"auto",15.0,,True,-0.51516205,1,100,0.7,1,0.2,True,69,750,,"MlpPolicy",,-0.48111808000000006,False,51,0.5,14,0.99,750,750,-1,0.95,<function learning_rate_schedule.<locals>.<lambda> at 0x350fce3a0>,30,0.03,,,,,,,,,,,,
,,15.0,,,-0.47888616,2,,,,,,,1500,,,,-0.4896865100000001,,102,,14,,,,,,,,,-0.06116633862257004,0.046381420952578384,-0.008772527361754356,30,9.998125e-05,0.009011115,-1.788613494237264,0.018044444546103478,0.2,-5.052555084228516,,
,,15.0,,,-0.49857408,3,,,,,,,2250,,,,-0.50352817,,152,,14,,,,,,,,,-0.06348159909248352,0.025839308214684328,-0.010768682294976628,60,9.99625e-05,0.014770046,-1.7814008990923564,0.06435555492838224,0.2,-0.2670247554779053,,
,,15.0,,,-0.51058924,4,,,,,,,3000,,,,-0.47771763,,203,,14,,,,,,,,,-0.07839924842119217,0.005616801317470769,-0.01699589043310068,90,9.994375e-05,0.013857949,-1.762527585029602,0.14968888784448306,0.2,-1.3790326118469238,,
,,15.0,,,-0.44486064,5,,,,,,,3750,,,,-0.43953664,,253,,14,,,,,,,,,-0.062199387699365616,0.02036185593654712,-0.009577973464721194,120,9.9925e-05,0.010517847,-1.7624547282854717,0.05697777735379835,0.2,0.09913003444671631,,
,,15.0,,,-0.43487576,6,,,,,,,4500,,,,-0.4403589700000001,,304,,14,,,,,,,,,-0.07244784384965897,0.020595077176888785,-0.016926822942342726,150,9.990625e-05,0.017452871,-1.73540461063385,0.12742222210702797,0.2,0.09840500354766846,,
,,,,,-0.44621027,,,,,,,,5000,,,,,,,,,,,,,,,,,-0.07266930490732193,0.014565954077988863,-0.015420094560298855,180,9.988750000000001e-05,0.016182184,-1.685422909259796,0.11542222173884512,0.2,-0.28328514099121094,-0.5467041969299317,15.0
,,15.05,,,,7,,,,,,,5250,,,,-0.40550584,,360,,14,,,,,,,,,,,,,,,,,,,,
,,15.05,,,-0.3611982,8,,,,,,,6000,,,,-0.38385903,,411,,14,,,,,,,,,-0.057766735553741455,0.03271506279706955,-0.010575226130237722,210,9.986875000000001e-05,0.010740951,-1.6407097697257995,0.03862222209572792,0.2,-0.028307795524597168,,
,,15.0,,,-0.38725722,9,,,,,,,6750,,,,-0.37731000000000003,,462,,14,,,,,,,,,-0.06468578428030014,0.016054914860675732,-0.012664329169488831,240,9.985000000000001e-05,0.015787069,-1.601032026608785,0.05359999982174486,0.2,-0.06266522407531738,,
,,15.0,,,-0.36871734,10,,,,,,,7500,,,,-0.37754468,,513,,14,,,,,,,,,-0.046512164175510406,0.052101192995905876,-0.012804911078631671,270,9.983125e-05,0.010954394,-1.5561096628506979,0.06835555484673629,0.2,0.014142632484436035,,
,,15.0,,,-0.40322846,11,,,,,,,8250,,,,-0.36525292,,564,,14,,,,,,,,,-0.0517389215528965,0.019710124873866638,-0.006384795450719268,300,9.98125e-05,0.0024713736,-1.5440829952557882,0.01408888892425845,0.2,-0.524341344833374,,
,,15.0,,,-0.30604303,12,,,,,,,9000,,,,-0.3214887,,614,,14,,,,,,,,,-0.049591705203056335,0.04353829113145669,-0.014626214950428255,330,9.979375e-05,0.01484526,-1.5173126101493835,0.12173333292206129,0.2,0.0807504653930664,,
,,15.0,,,-0.33911464,13,,,,,,,9750,,,,-0.34370129,,665,,14,,,,,,,,,-0.04642922058701515,0.05764947682619095,-0.013521639274091763,360,9.9775e-05,0.01384552,-1.5365153034528096,0.13711111057394496,0.2,-0.01716017723083496,,
,,,,,-0.3687863,,,,,,,,10000,,,,,,,,,,,,,,,,,-0.06545007228851318,0.02883951881279548,-0.01594430092292152,390,9.975625e-05,0.016595716,-1.5595091064771016,0.12573333337592582,0.2,-0.0290299654006958,-0.5620537042617798,15.0
,,15.05,,,,14,,,,,,,10500,,,,-0.31820491,,720,,14,,,,,,,,,,,,,,,,,,,,
,,15.05,,,-0.24833304,15,,,,,,,11250,,,,-0.26966957999999996,,769,,14,,,,,,,,,-0.03847995400428772,0.07763853073120117,-0.01344273017439838,420,9.97375e-05,0.01254159,-1.5562555591265361,0.0696000005894651,0.2,-0.0810236930847168,,
,,15.0,,,-0.29132456,16,,,,,,,12000,,,,-0.27292261,,819,,14,,,,,,,,,-0.04583166539669037,0.06307330665489037,-0.014720602282519568,450,9.971875000000001e-05,0.010449104,-1.5582814494768777,0.07604444454579304,0.2,0.01689136028289795,,
,,15.0,,,-0.27369845,17,,,,,,,12750,,,,-0.24646465999999997,,869,,14,,,,,,,,,-0.02520923689007759,0.09481487646698952,-0.010432153937199888,480,9.970000000000001e-05,0.0062454534,-1.5667815486590067,0.040844444278627635,0.2,-0.028894543647766113,,
