time/time_elapsed,params/n_epochs,params/normalize_advantage,params/use_sde,time/total_timesteps,rollout/ep_rew_mean,params/gamma,params/ent_coef,params/stats_window_size,time/iterations,params/n_steps,params/clip_range_vf,params/policy_kwargs,params/_init_setup_model,params/rollout_buffer_kwargs,params/batch_size,params/clip_range,params/verbose,params/max_grad_norm,params/target_kl,time/fps,params/gae_lambda,params/learning_rate,params/rollout_buffer_class,params/sde_sample_freq,params/vf_coef,params/policy,params/device,rollout/ep_len_mean,params/seed,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,mean_reward,eval/mean_ep_length,eval/mean_reward
2,10,True,False,30,0.6984915,0.99,0.02,100,1,30,,{'net_arch': [{'pi': [128, 128], 'vf': [128, 128]}]},True,,60,0.2,1,0.5,0.01,13,0.95,0.0001,,-1,0.5,"MlpPolicy","auto",15.0,42,,,,,,,,,,,,,
4,,,,60,-0.017871499999999957,,,,2,,,,,,,,,,,13,,,,,,,,15.0,,-1.7912596821784974,0.0014074366,0.0001,0.0,-0.016256427974440157,-0.05569693073630333,10,-4.220249176025391,0.2,0.06163975298404693,,,
6,,,,90,-0.2650833333333333,,,,3,,,,,,,,,,,13,,,,,,,,15.0,,-1.7890604257583618,0.00041886172,0.0001,0.0,-0.0031580672541167585,0.09820932894945145,20,0.7894111424684525,0.2,0.6871970772743226,,,
8,,,,120,-0.37939575,,,,4,,,,,,,,,,,13,,,,,,,,15.0,,-1.7870205283164977,0.0003652096,0.0001,0.0,-0.004035221169954894,-0.019497103989124298,30,0.23389416933059692,0.2,0.2061984773725271,,,
11,,,,150,-0.4490937,,,,5,,,,,,,,,,,13,,,,,,,,15.0,,-1.7858424663543702,0.0009945055,0.0001,0.0,-0.006917356133150676,-0.021885450929403305,40,-5.0540008544921875,0.2,0.10320303663611412,,,
13,,,,180,-0.490357,,,,6,,,,,,,,,,,13,,,,,,,,15.0,,-1.7830318450927733,0.0012663524,0.0001,0.0,-0.007896595452136168,-0.037392519414424896,50,-5.485636234283447,0.2,0.042143869772553445,,,
15,,,,210,-0.5189362142857143,,,,7,,,,,,,,,,,13,,,,,,,,15.0,,-1.7795824646949767,0.0005858342,0.0001,0.0,-0.0032225940088392415,-0.03743070736527443,60,-0.5425082445144653,0.2,0.022846877202391626,,,
17,,,,240,-0.4551655625,,,,8,,,,,,,,,,,13,,,,,,,,15.0,,-1.7800541996955872,0.0011192183,0.0001,0.0,-0.005259918180915335,-0.04129095748066902,70,-0.3709092140197754,0.2,0.01994531201198697,,,
19,,,,270,-0.4822680555555556,,,,9,,,,,,,,,,,13,,,,,,,,15.0,,-1.78065584897995,0.00023462574,0.0001,0.0,0.002041160369214268,0.10314671695232391,80,-0.4882756471633911,0.2,0.3798723787069321,,,
21,,,,300,-0.5065279,,,,10,,,,,,,,,,,13,,,,,,,,15.0,,-1.7788749098777772,7.353823e-05,0.0001,0.0,-0.0013521402201149614,0.02191869542002678,90,0.2739042639732361,0.2,0.21365990862250328,,,
24,,,,330,-0.5336500909090909,,,,11,,,,,,,,,,,13,,,,,,,,15.0,,-1.779116976261139,0.0004821062,0.0001,0.0,-0.004913556329362479,-0.02801835536956787,100,0.29599064588546753,0.2,0.043168320506811145,,,
26,,,,360,-0.4951700416666666,,,,12,,,,,,,,,,,13,,,,,,,,15.0,,-1.7800305366516114,0.0010615806,0.0001,0.0,-0.006863533794336618,-0.050739824771881104,110,-2.1794090270996094,0.2,0.020537626836448906,,,
28,,,,390,-0.5119998846153846,,,,13,,,,,,,,,,,13,,,,,,,,15.0,,-1.7857212662696837,0.0011658152,0.0001,0.0,-0.0051923220938382645,0.08384169638156891,120,-0.22598612308502197,0.2,0.42771096229553224,,,
31,,,,420,-0.47171224999999994,,,,14,,,,,,,,,,,13,,,,,,,,15.0,,-1.788062608242035,0.00023458997,0.0001,0.0,-0.0015494841247466694,0.015743620693683624,130,-0.24326419830322266,0.2,0.16450715512037278,,,
33,,,,450,-0.4456084666666666,,,,15,,,,,,,,,,,13,,,,,,,,15.0,,-1.7880964398384094,6.890098e-05,0.0001,0.0,-0.001087135379615134,0.06341877579689026,140,0.15890276432037354,0.2,0.257090824842453,,,
35,,,,480,-0.4675464374999999,,,,16,,,,,,,,,,,13,,,,,,,,15.0,,-1.7870994448661803,0.00084235467,0.0001,0.0,-0.011019252092034203,0.05165563523769379,150,-0.12616288661956787,0.2,0.2569545641541481,,,
37,,,,510,-0.48198858823529406,,,,17,,,,,,,,,,,13,,,,,,,,15.0,,-1.784937059879303,0.00050284265,0.0001,0.0,0.002454593558407936,-0.025233468040823936,160,0.5244112014770508,0.2,0.1274099001660943,,,
39,,,,540,-0.49657302777777773,,,,18,,,,,,,,,,,13,,,,,,,,15.0,,-1.7825748324394226,0.00062933366,0.0001,0.0,-0.006086973544831053,-0.033439941704273224,170,0.4657710790634155,0.2,0.026281450316309928,,,
41,,,,570,-0.5087887105263157,,,,19,,,,,,,,,,,13,,,,,,,,15.0,,-1.7803560853004456,0.0009938757,0.0001,0.0,-0.006288681658819151,-0.04911108314990997,180,-0.2654740810394287,0.2,0.014762194734066725,,,
44,,,,600,-0.52042005,,,,20,,,,,,,,,,,13,,,,,,,,15.0,,-1.7772477746009827,0.0008462926,0.0001,0.0,-0.002977482211523963,-0.03967662155628204,190,-1.7507565021514893,0.2,0.021623338013887404,,,
46,,,,630,-0.5298539047619049,,,,21,,,,,,,,,,,13,,,,,,,,15.0,,-1.7758833527565003,0.0012107095,0.0001,0.0,-0.00493753402377477,-0.04264337569475174,200,-0.6680176258087158,0.2,0.01963521521538496,,,
