params/policy,params/gae_lambda,params/rollout_buffer_class,params/learning_rate,params/clip_range_vf,params/policy_kwargs,params/verbose,params/ent_coef,params/seed,time/iterations,params/_init_setup_model,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,params/normalize_advantage,params/n_steps,params/clip_range,params/device,params/n_epochs,params/gamma,params/target_kl,params/max_grad_norm,params/rollout_buffer_kwargs,params/batch_size,time/time_elapsed,params/use_sde,params/stats_window_size,mean_reward,time/fps,params/sde_sample_freq,params/vf_coef,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
"MlpPolicy",0.95,,0.0003,,{'net_arch': [{'pi': [128, 128], 'vf': [128, 128]}]},1,0.01,,1,True,-0.46736226,15.0,2048,True,2048,0.2,"auto",10,0.99,,0.5,,64,135,False,100,-0.033659853,15,-1,0.5,,,,,,,,,,,,
,,,,,,,,,2,,-0.42752414,15.0,4096,,,,,,,,,,,268,,,-0.026035236,15,,,0.0003,-1.77967031262815,0.12154713794589042,0.2,0.07172316312789917,10,0.18974609375,0.03112434595823288,-0.0204305737366667,0.012942598,,
,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,0.0003,-1.7522315818816423,0.14612286093179136,0.2,0.007605135440826416,20,0.251220703125,-0.005291566252708435,-0.030257648711267394,0.016702171,-0.8091293025761843,15.0
,,,,,,,,,3,,-0.24639281999999998,15.05,6144,,,,,,,,,,,411,,,-0.012756777,14,,,,,,,,,,,,,,
,,,,,,,,,4,,-0.07759128,15.0,8192,,,,,,,,,,,556,,,-0.005440904,14,,,0.0003,-1.7253229200839997,0.17668900694698095,0.2,0.09367144107818604,30,0.204150390625,0.03706751763820648,-0.02765818321349798,0.013709602,,
,,,,,,,,,,,,,10000,,,,,,,,,,,,,,0.0028859978,,,,0.0003,-1.7032844599336385,0.1896863544359803,0.2,0.04136621952056885,40,0.210888671875,0.02776172012090683,-0.030313516795285978,0.016557086,-0.3741787657141685,15.0
,,,,,,,,,5,,0.05474655999999999,15.05,10240,,,,,,,,,,,709,,,0.004595293,14,,,,,,,,,,,,,,
,,,,,,,,,6,,0.11427983000000003,15.0,12288,,,,,,,,,,,855,,,0.008068687,14,,,0.0003,-1.6579030375927686,0.1962883149040863,0.2,0.01875925064086914,50,0.180029296875,0.07503534108400345,-0.02648865578958066,0.013138942,,
,,,,,,,,,7,,0.23077544,15.0,14336,,,,,,,,,,,1000,,,0.010297626,14,,,0.0003,-1.643118518963456,0.19521069917827844,0.2,0.04929780960083008,60,0.213818359375,0.04008541256189346,-0.027469116702559405,0.016153926,,
,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,0.0003,-1.6005413096398116,0.17279445820022374,0.2,0.01925969123840332,70,0.216748046875,0.03444262221455574,-0.03401181541848928,0.01539448,0.7763656660914421,15.0
,,,,,,,,,8,,0.33383353,15.05,16384,,,,,,,,,,,1137,,,0.021526325,14,,,,,,,,,,,,,,
,,,,,,,,,9,,0.5388096,15.0,18432,,,,,,,,,,,1275,,,0.03245286,14,,,0.0003,-1.5746618058532476,0.1567575387423858,0.2,-0.01768350601196289,80,0.211474609375,0.01944081485271454,-0.03244962937606033,0.017770313,,
,,,,,,,,,,,,,20000,,,,,,,,,,,,,,0.035540715,,,,0.0003,-1.5609424266964198,0.10211417000973597,0.2,-0.04841029644012451,90,0.265234375,0.004214808344841003,-0.02800164559157565,0.023095427,0.7851794768124819,15.0
,,,,,,,,,10,,0.5921621499999999,15.05,20480,,,,,,,,,,,1416,,,0.040284913,14,,,,,,,,,,,,,,
,,,,,,,,,11,,0.63044164,15.0,22528,,,,,,,,,,,1551,,,0.04168586,14,,,0.0003,-1.5352485526353121,0.08483272568555549,0.2,-0.046015024185180664,100,0.300439453125,-0.05197187513113022,-0.03576145770493895,0.02409826,,
