time/iterations,params/rollout_buffer_kwargs,params/learning_rate,params/n_steps,params/sde_sample_freq,params/vf_coef,rollout/ep_rew_mean,params/clip_range_vf,params/gae_lambda,params/seed,params/rollout_buffer_class,params/batch_size,params/policy_kwargs,time/total_timesteps,params/gamma,params/normalize_advantage,mean_reward,params/policy,time/time_elapsed,params/_init_setup_model,time/fps,params/clip_range,params/stats_window_size,params/target_kl,params/n_epochs,params/device,params/ent_coef,params/max_grad_norm,rollout/ep_len_mean,params/verbose,params/use_sde,train/clip_range,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,,0.0003,2048,-1,0.5,-0.44376667000000003,,0.95,,,64,{'net_arch': [{'pi': [128, 128], 'vf': [128, 128]}]},2048,0.99,True,-0.035708915,"MlpPolicy",141,True,14,0.2,100,,10,"auto",0.01,0.5,15.0,1,False,,,,,,,,,,,,
2,,,,,,-0.40827034999999995,,,,,,,4096,,,-0.024224637,,285,,14,,,,,,,,15.0,,,0.2,10,-0.024056992490659467,0.0003,0.204931640625,0.15855824947357178,-1.7794518917798996,0.013873491,0.015049640089273453,0.12764374502003192,,
,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,0.2,20,-0.026761771939345636,0.0003,0.202880859375,0.01707690954208374,-1.758509524166584,0.016281549,0.03301919251680374,0.1582178252050653,-0.43396943584084513,15.0
3,,,,,,-0.0847612,,,,,,,6144,,,-0.0023970543,,431,,14,,,,,,,,15.05,,,,,,,,,,,,,,
4,,,,,,-0.11195648999999999,,,,,,,8192,,,-0.007221115,,575,,14,,,,,,,,15.0,,,0.2,30,-0.02263441778050037,0.0003,0.137353515625,0.07870286703109741,-1.7322273913770914,0.013276011,0.0361567847430706,0.1863902856130153,,
,,,,,,,,,,,,,10000,,,0.0078697065,,,,,,,,,,,,,,,0.2,40,-0.02416235833952669,0.0003,0.167919921875,0.05485224723815918,-1.7106829073280096,0.014025142,0.0279063880443573,0.1862559056840837,0.7318932365626096,15.0
5,,,,,,0.08227607,,,,,,,10240,,,0.007395027,,725,,14,,,,,,,,15.05,,,,,,,,,,,,,,
6,,,,,,0.22924555,,,,,,,12288,,,0.016438749,,869,,14,,,,,,,,15.0,,,0.2,50,-0.02996230366406962,0.0003,0.207958984375,0.051860511302948,-1.6741151880472898,0.014099495,0.0180666521191597,0.1902160379802808,,
7,,,,,,0.38030311,,,,,,,14336,,,0.025391687,,1010,,14,,,,,,,,15.0,,,0.2,60,-0.026275603458634576,0.0003,0.198876953125,0.011103332042694092,-1.6734624963253737,0.014969539,0.006095878779888153,0.1743319128639996,,
,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,0.2,70,-0.03071124125417555,0.0003,0.2353515625,0.08609229326248169,-1.6442205481231214,0.0204157,0.03768544644117355,0.13917171354405583,0.7484659377485514,15.0
8,,,,,,0.40224697,,,,,,,16384,,,0.028617222,,1157,,14,,,,,,,,15.05,,,,,,,,,,,,,,
9,,,,,,0.5217932900000001,,,,,,,18432,,,0.031661328,,1297,,14,,,,,,,,15.0,,,0.2,80,-0.028265443557756953,0.0003,0.21923828125,0.026191234588623047,-1.611287233605981,0.01875768,0.019332073628902435,0.1284158190479502,,
,,,,,,,,,,,,,20000,,,0.036842007,,,,,,,,,,,,,,,0.2,90,-0.028200474519690034,0.0003,0.220703125,-0.03756976127624512,-1.579149429127574,0.018173497,-0.009292155504226685,0.09200729423901066,0.7200529374182224,15.0
10,,,,,,0.42415334,,,,,,,20480,,,0.028596811,,1445,,14,,,,,,,,15.05,,,,,,,,,,,,,,
11,,,,,,0.54050197,,,,,,,22528,,,0.03620762,,1577,,14,,,,,,,,15.0,,,0.2,100,-0.028388812829507514,0.0003,0.238671875,0.10797113180160522,-1.5625202890485526,0.019018054,-0.0057168155908584595,0.1173286069300957,,
12,,,,,,0.61371829,,,,,,,24576,,,0.03877289,,1709,,14,,,,,,,,15.0,,,0.2,110,-0.022408934573468285,0.0003,0.25205078125,-0.05390942096710205,-1.5420711930841207,0.020439938,-0.026164256036281586,0.0844375241023954,,
,,,,,,,,,,,,,25000,,,,,,,,,,,,,,,,,,0.2,120,-0.027536415451322682,0.0003,0.30166015625,0.09702664613723755,-1.5266467064619065,0.02391653,-0.04412945732474327,0.05899334276036825,0.7526893693953752,15.0
13,,,,,,0.6079082200000001,,,,,,,26624,,,0.03951666,,1845,,14,,,,,,,,15.0,,,,,,,,,,,,,,
14,,,,,,0.60870691,,,,,,,28672,,,0.038518433,,1977,,14,,,,,,,,15.0,,,0.2,130,-0.023173346219118686,0.0003,0.268896484375,0.006395697593688965,-1.505900477990508,0.01933955,-0.02480665035545826,0.06265734920452815,,
,,,,,,,,,,,,,30000,,,0.042369537,,,,,,,,,,,,,,,0.2,140,-0.025853852462023496,0.0003,0.249462890625,0.08498555421829224,-1.494512539356947,0.018762905,-0.04663480073213577,0.06163296694576274,0.7641776107251644,15.0
15,,,,,,0.6068443900000001,,,,,,,30720,,,0.041608065,,2114,,14,,,,,,,,15.05,,,,,,,,,,,,,,
16,,,,,,0.69366621,,,,,,,32768,,,0.045668,,2246,,14,,,,,,,,15.0,,,0.2,150,-0.02293175702507142,0.0003,0.27568359375,0.06471496820449829,-1.4698451701551676,0.021318153,-0.020882608368992805,0.061115764849819246,,
17,,,,,,0.6790572399999999,,,,,,,34816,,,0.04321747,,2382,,14,,,,,,,,15.0,,,0.2,160,-0.020907092645938975,0.0003,0.267529296875,0.13974207639694214,-1.4487277042120694,0.021601625,-0.022047847509384155,0.020154314294632058,,
,,,,,,,,,,,,,35000,,,,,,,,,,,,,,,,,,0.2,170,-0.016766930380254053,0.0003,0.27685546875,0.15147846937179565,-1.4555821128189563,0.02025567,0.01274784840643406,0.03836136067548068,0.7629003465175629,15.0
18,,,,,,0.6695135199999999,,,,,,,36864,,,0.03969085,,2529,,14,,,,,,,,15.0,,,,,,,,,,,,,,
19,,,,,,0.7040674899999999,,,,,,,38912,,,0.045789707,,2668,,14,,,,,,,,15.0,,,0.2,180,-0.021124630971462464,0.0003,0.2951171875,0.05770188570022583,-1.4287286065518856,0.02379965,-0.02551783062517643,0.03455362949971459,,
,,,,,,,,,,,,,40000,,,0.04870398,,,,,,,,,,,,,,,0.2,190,-0.020116033758677078,0.0003,0.294873046875,0.1605873703956604,-1.427243973687291,0.019506525,-0.05137418955564499,0.018270320241572335,0.7378655176609754,15.0
20,,,,,,0.7222024300000001,,,,,,,40960,,,0.047,,2811,,14,,,,,,,,15.05,,,,,,,,,,,,,,
21,,,,,,0.7329879899999997,,,,,,,43008,,,0.048762854,,2950,,14,,,,,,,,15.0,,,0.2,200,-0.018305500909627882,0.0003,0.300048828125,0.16473138332366943,-1.4183151684701443,0.021214474,-0.07112736254930496,0.013145852585148532,,
,,,,,,,,,,,,,45000,,,0.0469153,,,,,,,,,,,,,,,0.2,210,-0.013736375320877414,0.0003,0.268408203125,0.3156530261039734,-1.3985294710844756,0.019635927,-0.06802505999803543,0.00805820706045779,0.7699840109795332,15.0
22,,,,,,0.7075213299999998,,,,,,,45056,,,0.046302415,,3094,,14,,,,,,,,15.05,,,,,,,,,,,,,,
23,,,,,,0.7005199499999999,,,,,,,47104,,,0.045500204,,3233,,14,,,,,,,,15.0,,,0.2,220,-0.021153287729248405,0.0003,0.315966796875,0.2796705365180969,-1.3735536258667707,0.024398133,-0.03857811540365219,0.019601704404340125,,
24,,,,,,0.7441536200000002,,,,,,,49152,,,0.049549602,,3372,,14,,,,,,,,15.0,,,0.2,230,-0.014999801439989824,0.0003,0.279345703125,0.2621505856513977,-1.3691823784261943,0.020938601,-0.028899334371089935,0.020028579873542184,,
,,,,,,,,,,,,,50000,,,,,,,,,,,,,,,,,,0.2,240,-0.02050502083511674,0.0003,0.29013671875,0.4262482523918152,-1.3383826609700917,0.02501539,-0.05317046120762825,0.007424734409687517,0.775556793436408,15.0
25,,,,,,0.7348110699999999,,,,,,,51200,,,0.04824884,,3516,,14,,,,,,,,15.05,,,,,,,,,,,,,,
26,,,,,,0.7342119999999999,,,,,,,53248,,,0.048447996,,3655,,14,,,,,,,,15.0,,,0.2,250,-0.014345962118386523,0.0003,0.290673828125,0.43008166551589966,-1.3481776721775531,0.020030048,-0.024821890518069267,0.012955072038676008,,
,,,,,,,,,,,,,55000,,,0.04982268,,,,,,,,,,,,,,,0.2,260,-0.01986112956656143,0.0003,0.30703125,0.43348443508148193,-1.3304347947239876,0.0220394,-0.0463637113571167,0.007297563691827236,0.7692174546420574,15.0
27,,,,,,0.72153701,,,,,,,55296,,,0.047247402,,3802,,14,,,,,,,,15.05,,,,,,,,,,,,,,
28,,,,,,0.75370075,,,,,,,57344,,,0.050400257,,3944,,14,,,,,,,,15.0,,,0.2,270,-0.018323839821096043,0.0003,0.325,0.355720579624176,-1.3459552586078645,0.024996078,-0.04963330924510956,0.013705981026942027,,
29,,,,,,0.7117921700000001,,,,,,,59392,,,0.047173254,,4085,,14,,,,,,,,15.0,,,0.2,280,-0.019827541240374558,0.0003,0.310888671875,0.4425479769706726,-1.3085326816886664,0.023213089,-0.049770038574934006,0.0075014528974861605,,
,,,,,,,,,,,,,60000,,,,,,,,,,,,,,,,,,0.2,290,-0.018836401047883554,0.0003,0.296484375,0.2186640501022339,-1.284105933457613,0.028769832,-0.03375572711229324,0.025603539355506653,0.7777459856122733,15.0
30,,,,,,0.75641562,,,,,,,61440,,,0.050063774,,4230,,14,,,,,,,,15.05,,,,,,,,,,,,,,
31,,,,,,0.7388054800000002,,,,,,,63488,,,0.048919257,,4371,,14,,,,,,,,15.0,,,0.2,300,-0.021904544590506704,0.0003,0.27724609375,0.677163302898407,-1.2898664370179176,0.02170889,-0.04551193490624428,0.001209398137689277,,
,,,,,,,,,,,,,65000,,,0.049864884,,,,,,,,,,,,,,,0.2,310,-0.020020287336956245,0.0003,0.29072265625,0.5537258982658386,-1.2639362879097462,0.027554885,-0.028796937316656113,0.0062389112208620645,0.757574912533164,15.0
32,,,,,,0.7344206200000001,,,,,,,65536,,,0.049659964,,4516,,14,,,,,,,,15.05,,,,,,,,,,,,,,
33,,,,,,0.7643888200000001,,,,,,,67584,,,0.051065627,,4655,,14,,,,,,,,15.0,,,0.2,320,-0.013500531938916538,0.0003,0.2845703125,0.4285052418708801,-1.231884181126952,0.02313321,-0.03268576040863991,0.013595212547443225,,
34,,,,,,0.76489661,,,,,,,69632,,,0.05048717,,4797,,14,,,,,,,,15.0,,,0.2,330,-0.02347687545698136,0.0003,0.318359375,0.8025281429290771,-1.2248235527426004,0.024885355,-0.039787646383047104,0.0006932592804332671,,
,,,,,,,,,,,,,70000,,,,,,,,,,,,,,,,,,0.2,340,-0.02371442639559973,0.0003,0.303955078125,0.9466909281909466,-1.176647364720702,0.024059817,-0.06215938180685043,0.00047350693203043195,0.7891876868903637,15.0
35,,,,,,0.7715677500000001,,,,,,,71680,,,0.05128634,,4947,,14,,,,,,,,15.0,,,,,,,,,,,,,,
