params/normalize_advantage,params/use_sde,params/device,params/ent_coef,params/batch_size,params/clip_range,params/_init_setup_model,time/total_timesteps,params/policy,params/clip_range_vf,time/iterations,params/sde_sample_freq,params/max_grad_norm,rollout/ep_len_mean,params/verbose,params/seed,params/stats_window_size,params/policy_kwargs,rollout/ep_rew_mean,time/fps,params/gae_lambda,params/rollout_buffer_class,time/time_elapsed,params/n_epochs,params/vf_coef,params/target_kl,params/n_steps,params/rollout_buffer_kwargs,params/learning_rate,params/gamma,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,mean_reward,eval/mean_ep_length,eval/mean_reward
True,False,"auto",0.02,180,0.2,True,90,"MlpPolicy",,1,-1,0.5,15.0,1,42,100,{'net_arch': [{'pi': [128, 128], 'vf': [128, 128]}]},-0.27134199999999997,13,0.95,,6,10,0.5,0.005,90,,5e-05,0.99,,,,,,,,,,,,,
,,,,,,,180,,,2,,,15.0,,,,,-0.3786163333333333,14,,,12,,,,,,,,5e-05,0.2,-1.7916340231895447,0.2173609435558319,-0.003592593914363551,0.7872090756893158,10,0.0,-0.12903738021850586,0.0003284196,,,
,,,,,,,270,,,3,,,15.0,,,,,-0.40928705555555556,14,,,19,,,,,,,,5e-05,0.2,-1.791113829612732,0.13919875025749207,-0.0027147241580921743,0.5867675602436065,20,0.0,-0.3458373546600342,0.00021858347,,,
,,,,,,,360,,,4,,,15.0,,,,,-0.44189979166666665,14,,,25,,,,,,,,5e-05,0.2,-1.7901873350143434,0.04579850658774376,-0.0026701252163100265,0.22344914823770523,30,0.0,-0.19375300407409668,0.0003126012,,,
,,,,,,,450,,,5,,,15.0,,,,,-0.40195836666666657,14,,,31,,,,,,,,5e-05,0.2,-1.7885732293128966,0.03439519554376602,-0.0017972820373122645,0.1523958995938301,40,0.0,0.06365382671356201,0.0002931436,,,
,,,,,,,540,,,6,,,15.0,,,,,-0.4210525555555556,14,,,38,,,,,,,,5e-05,0.2,-1.78716961145401,0.08704397082328796,-0.0008734581890166738,0.2831453517079353,50,0.0,-0.217515230178833,0.00016313924,,,
,,,,,,,630,,,7,,,15.0,,,,,-0.46350078571428566,13,,,45,,,,,,,,5e-05,0.2,-1.7863715529441833,0.0415693037211895,-0.0008256839376311387,0.17141880244016647,60,0.0,-0.16032254695892334,5.1650735e-05,,,
,,,,,,,720,,,8,,,15.0,,,,,-0.4366124375,13,,,51,,,,,,,,5e-05,0.2,-1.7862823247909545,-0.021641753613948822,-0.0017510048340449557,0.05778753906488419,70,0.0,-0.43166518211364746,0.00016428696,,,
,,,,,,,810,,,9,,,15.0,,,,,-0.4196074259259259,13,,,58,,,,,,,,5e-05,0.2,-1.786556315422058,0.10130336880683899,-0.0018076332882628777,0.308276829123497,80,0.0,-0.06812441349029541,0.00021123621,,,
,,,,,,,900,,,10,,,15.0,,,,,-0.3795580333333333,13,,,64,,,,,,,,5e-05,0.2,-1.7863103151321411,0.07173598557710648,-0.0008575142736500397,0.25763305723667146,90,0.0,-0.02984905242919922,0.00010582937,,,
,,,,,,,990,,,11,,,15.0,,,,,-0.3910958939393939,14,,,70,,,,,,,,5e-05,0.2,-1.7861472368240356,0.10086609423160553,-0.001584194466348876,0.2929318755865097,100,0.0,-0.18967866897583008,0.00021375087,,,
,,,,,,,1080,,,12,,,15.0,,,,,-0.4017420833333334,14,,,76,,,,,,,,5e-05,0.2,-1.7857663869857787,0.06536872684955597,-0.0014462687353240967,0.2582269921898842,110,0.0,0.04253107309341431,0.00024479826,-0.025544174,,
,,,,,,,1170,,,13,,,15.0,,,,,-0.4083028205128206,14,,,82,,,,,,,,5e-05,0.2,-1.785020649433136,0.0410979688167572,-0.0020103618085279607,0.18860545754432678,120,0.0,-0.11052799224853516,0.00017996696,,,
,,,,,,,1260,,,14,,,15.0,,,,,-0.4162166428571429,14,,,89,,,,,,,,5e-05,0.2,-1.7847790479660035,0.03114086017012596,-0.0016692384116403281,0.150559663772583,130,0.0,-0.02116560935974121,0.00023167861,,,
,,,,,,,1350,,,15,,,15.0,,,,,-0.42315491111111114,14,,,95,,,,,,,,5e-05,0.2,-1.7842809319496156,0.018215138465166092,-0.002360450159176253,0.12980449199676514,140,0.0,0.03449219465255737,0.00020630624,,,
,,,,,,,1440,,,16,,,15.0,,,,,-0.4116186145833334,14,,,101,,,,,,,,5e-05,0.2,-1.7836158275604248,0.020432613790035248,-0.0032817806850653497,0.1325585126876831,150,0.0,0.22405147552490234,0.00046203998,,,
,,,,,,,1530,,,17,,,15.0,,,,,-0.42469135,14,,,107,,,,,,,,5e-05,0.2,-1.7826695561408996,0.07873043417930603,-0.0015184251912998992,0.2592277854681015,160,0.0,-0.07628881931304932,0.00030626787,,,
,,,,,,,1620,,,18,,,15.0,,,,,-0.4103797099999999,14,,,113,,,,,,,,5e-05,0.2,-1.7823922157287597,0.09419041872024536,-0.00048758612104098374,0.2720258593559265,170,0.0,-0.24847209453582764,0.00012604991,,,
,,,,,,,1710,,,19,,,15.0,,,,,-0.41151276000000003,14,,,119,,,,,,,,5e-05,0.2,-1.781566607952118,0.043914493173360825,-0.00011090752083369182,0.20480884462594987,180,0.0,0.010014653205871582,2.0395384e-05,,,
,,,,,,,1800,,,20,,,15.0,,,,,-0.39934765999999994,14,,,126,,,,,,,,5e-05,0.2,-1.780389940738678,0.02041603997349739,-0.0014804876924932487,0.12070744559168815,190,0.0,0.255770206451416,0.00021760132,,,
,,,,,,,1890,,,21,,,15.0,,,,,-0.36758764,14,,,132,,,,,,,,5e-05,0.2,-1.7776734113693238,0.05146037042140961,-0.0021898312986983193,0.21782465279102325,200,0.0,0.2017533779144287,0.00019260247,,,
,,,,,,,1980,,,22,,,15.0,,,,,-0.36777609000000006,14,,,138,,,,,,,,5e-05,0.2,-1.775511586666107,0.07606302201747894,-0.0019344675851365345,0.2677041932940483,210,0.0,0.028009772300720215,0.00025782653,,,
,,,,,,,2070,,,23,,,15.0,,,,,-0.33871553000000004,14,,,144,,,,,,,,5e-05,0.2,-1.7703574538230895,0.07425640523433685,-0.0007345354491956613,0.23806364536285402,220,0.0,0.12018090486526489,0.00021793842,-0.024017235,,
,,,,,,,2160,,,24,,,15.0,,,,,-0.29867834,14,,,150,,,,,,,,5e-05,0.2,-1.7677778363227845,0.07660707831382751,-0.002747337756122281,0.2465476557612419,230,0.0,0.002867281436920166,0.00024605592,,,
,,,,,,,2250,,,25,,,15.0,,,,,-0.29503954000000004,14,,,156,,,,,,,,5e-05,0.2,-1.7666645407676698,0.08870930969715118,-0.0058945948131277955,0.2898793756961823,240,0.0,-0.2088634967803955,0.0006373611,,,
,,,,,,,2340,,,26,,,15.0,,,,,-0.26563212999999997,14,,,163,,,,,,,,5e-05,0.2,-1.7657029032707214,0.0889577716588974,-0.00365421614318624,0.27356822192668917,250,0.0,-0.128190279006958,0.0005615956,,,
