params/verbose,params/vf_coef,params/device,time/iterations,params/gamma,params/seed,params/learning_rate,params/stats_window_size,params/rollout_buffer_kwargs,params/policy_kwargs,rollout/ep_rew_mean,time/fps,params/normalize_advantage,time/time_elapsed,rollout/ep_len_mean,params/target_kl,params/n_steps,params/clip_range,params/rollout_buffer_class,params/batch_size,params/_init_setup_model,params/gae_lambda,params/clip_range_vf,params/n_epochs,params/use_sde,params/sde_sample_freq,time/total_timesteps,params/max_grad_norm,params/policy,params/ent_coef,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/value_loss,mean_reward,eval/mean_reward,eval/mean_ep_length
1,0.5,"auto",1,0.99,42,5e-05,100,,{'net_arch': [{'pi': [128, 128], 'vf': [128, 128]}]},0.67117,14,True,1,15.0,0.005,15,0.2,,180,True,0.95,,10,False,-1,15,0.5,"MlpPolicy",0.02,,,,,,,,,,,,,
,,,2,,,,,,,0.696682,14,,2,15.0,,,,,,,,,,,,30,,,,-1.7916230082511901,0.2,-6.483442306518555,0.0,10,-0.007905111579845681,5e-05,-0.0314091220498085,0.0003759265,0.0814188152551651,,,
,,,3,,,,,,,0.21403633333333336,14,,3,15.0,,,,,,,,,,,,45,,,,-1.7909137964248658,0.2,-0.5871429443359375,0.0,20,-0.0101024857706701,5e-05,-0.05029664561152458,0.00032628377,0.02190697742626071,,,
,,,4,,,,,,,-0.016976499999999978,14,,4,15.0,,,,,,,,,,,,60,,,,-1.7898422956466675,0.2,0.703421950340271,0.0,30,-0.0034150227853871227,5e-05,0.1528640240430832,0.000113920374,0.673150235414505,,,
,,,5,,,,,,,-0.16610439999999999,14,,5,15.0,,,,,,,,,,,,75,,,,-1.7891630172729491,0.2,0.8143963813781738,0.0,40,-0.002090885369787543,5e-05,-0.01620994322001934,7.4092546e-05,0.2231319572776556,,,
,,,6,,,,,,,-0.26493949999999994,14,,6,15.0,,,,,,,,,,,,90,,,,-1.788225531578064,0.2,-1.23453688621521,0.0,50,-0.006823247570234159,5e-05,-0.023090945556759834,0.00031423967,0.09564617611467838,,,
,,,7,,,,,,,-0.3280775714285714,14,,7,15.0,,,,,,,,,,,,105,,,,-1.7878910779953003,0.2,-1.3076422214508057,0.0,60,-0.008355472071561999,5e-05,-0.04249023273587227,0.00042600234,0.02644341569393873,,,
,,,8,,,,,,,-0.38303075,14,,8,15.0,,,,,,,,,,,,120,,,,-1.7870155692100524,0.2,-6.2349853515625,0.0,70,0.0013838410158257374,5e-05,-0.025231994688510895,5.429586e-05,0.04384681340306997,,,
,,,9,,,,,,,-0.42166211111111107,14,,9,15.0,,,,,,,,,,,,135,,,,-1.7871219277381898,0.2,-0.4722294807434082,0.0,80,-0.0020211850821215014,5e-05,-0.02937576174736023,5.836487e-05,0.034072748757898806,,,
,,,10,,,,,,,-0.4519209999999999,14,,10,15.0,,,,,,,,,,,,150,,,,-1.7870833992958068,0.2,-0.5185946226119995,0.0,90,-0.002540594836561283,5e-05,-0.03656020760536194,7.3885916e-05,0.017637550458312036,,,
,,,11,,,,,,,-0.47108909090909085,14,,11,15.0,,,,,,,,,,,,165,,,,-1.7871963500976562,0.2,-2.506359815597534,0.0,100,-0.0032624217047123594,5e-05,-0.030564352869987488,8.577506e-05,0.04107429087162018,,,
,,,12,,,,,,,-0.49106508333333326,14,,12,15.0,,,,,,,,,,,,180,,,,-1.7859464168548584,0.2,0.22724252939224243,0.0,110,-0.002765345648901185,5e-05,-0.0366179533302784,0.00020254056,0.014292329177260399,,,
,,,13,,,,,,,-0.5071659230769231,14,,13,15.0,,,,,,,,,,,,195,,,,-1.785771095752716,0.2,-0.14615893363952637,0.0,120,-0.0016586061274090013,5e-05,-0.03477957844734192,0.00011762381,0.02559629725292325,,,
,,,14,,,,,,,-0.5191884999999999,14,,14,15.0,,,,,,,,,,,,210,,,,-1.7861552119255066,0.2,-0.9366844892501831,0.0,130,-0.00016295865425490773,5e-05,-0.03223887085914612,4.8971175e-05,0.024940843973308802,,,
,,,15,,,,,,,-0.5305019333333333,14,,15,15.0,,,,,,,,,,,,225,,,,-1.7855729699134826,0.2,0.20500248670578003,0.0,140,-0.0015974887551660545,5e-05,-0.034486621618270874,7.315477e-05,0.01577751701697707,,,
,,,16,,,,,,,-0.454843,13,,17,15.0,,,,,,,,,,,,240,,,,-1.7860427021980285,0.2,0.18541550636291504,0.0,150,-0.005140259711770056,5e-05,-0.04247107356786728,0.00023834308,0.0271567371673882,,,
,,,17,,,,,,,-0.4693465294117647,13,,18,15.0,,,,,,,,,,,,255,,,,-1.7872755408287049,0.2,-3.424168109893799,0.0,160,0.0011264122677189902,5e-05,0.2567962408065796,8.431673e-05,0.7637613356113434,,,
,,,18,,,,,,,-0.4820527777777778,13,,19,15.0,,,,,,,,,,,,270,,,,-1.7876312613487244,0.2,0.006873905658721924,0.0,170,-0.0024292004367453047,5e-05,0.0005696266889572144,4.4357777e-05,0.11165561527013779,,,
,,,19,,,,,,,-0.4945867894736842,13,,20,15.0,,,,,,,,,,,,285,,,,-1.7876526713371277,0.2,-0.4143099784851074,0.0,180,-0.0015450364296157205,5e-05,-0.023166166618466377,4.020532e-05,0.045966795086860655,,,
,,,20,,,,,,,-0.5068365499999999,13,,21,15.0,,,,,,,,,,,,300,,,,-1.7876098036766053,0.2,0.06829088926315308,0.0,190,-0.004135273647625582,5e-05,-0.04153585806488991,0.00015482903,0.01306539224460721,,,
,,,21,,,,,,,-0.5228634285714285,13,,23,15.0,,,,,,,,,,,,315,,,,-1.7871482133865357,0.2,-0.3674044609069824,0.0,200,-0.005119821159169114,5e-05,-0.04116225987672806,0.00022721688,0.015337853878736495,,,
,,,22,,,,,,,-0.5349692727272727,13,,24,15.0,,,,,,,,,,,,330,,,,-1.7852189779281615,0.2,-0.5681126117706299,0.0,210,-0.00514756344239391,5e-05,-0.0435798242688179,0.00038107237,0.013141996040940285,,,
,,,23,,,,,,,-0.4836401304347826,13,,25,15.0,,,,,,,,,,,,345,,,,-1.7833975672721862,0.2,-0.4300084114074707,0.0,220,-0.002333940748576424,5e-05,-0.03567379713058472,0.0001458327,0.01659026937559247,,,
,,,24,,,,,,,-0.49505487500000006,13,,26,15.0,,,,,,,,,,,,360,,,,-1.7818264365196228,0.2,-2.2461001873016357,0.0,230,-0.0002138109985395431,5e-05,0.3059884011745453,6.761551e-05,0.9577389299869538,,,
,,,25,,,,,,,-0.44571960000000005,13,,27,15.0,,,,,,,,,,,,375,,,,-1.7816888093948364,0.2,0.01876223087310791,0.0,240,-0.00511714523735769,5e-05,-0.020882800221443176,0.0001515627,0.06381844989955425,,,
,,,26,,,,,,,-0.4560909230769231,13,,29,15.0,,,,,,,,,,,,390,,,,-1.7806175827980042,0.2,-3.696437358856201,0.0,250,-0.001735366332383137,5e-05,0.1432809829711914,0.000117139025,0.510111951828003,,,
,,,27,,,,,,,-0.41173711111111116,13,,30,15.0,,,,,,,,,,,,405,,,,-1.7796899318695067,0.2,-0.5300464630126953,0.0,260,-0.0018916662575794163,5e-05,-0.0005082376301288605,0.00010214249,0.10585265830159188,,,
,,,28,,,,,,,-0.37052046428571433,13,,31,15.0,,,,,,,,,,,,420,,,,-1.7801668047904968,0.2,-19.493885040283203,0.0,270,-0.0022812498007752425,5e-05,0.0587957538664341,7.9957645e-05,0.28012094646692276,,,
,,,29,,,,,,,-0.382996551724138,13,,32,15.0,,,,,,,,,,,,435,,,,-1.78000807762146,0.2,-19.737567901611328,0.0,280,3.7351318553646706e-06,5e-05,0.0025419816374778748,7.99497e-06,0.2096373088657856,,,
,,,30,,,,,,,-0.3957297000000001,13,,33,15.0,,,,,,,,,,,,450,,,,-1.780183494091034,0.2,-0.22388577461242676,0.0,290,-0.0012471552646445617,5e-05,0.20885425806045532,3.0438105e-05,0.5603319466114044,,,
,,,31,,,,,,,-0.4068847741935484,13,,34,15.0,,,,,,,,,,,,465,,,,-1.7800312519073487,0.2,0.15227973461151123,0.0,300,-0.0010879518487982409,5e-05,0.06083368510007858,2.2212664e-05,0.4187010541558266,,,
,,,32,,,,,,,-0.41874240625000003,13,,35,15.0,,,,,,,,,,,,480,,,,-1.779354739189148,0.2,0.07390093803405762,0.0,310,-0.001868753238134957,5e-05,-0.023617316037416458,4.418691e-05,0.1629701942205429,,,
,,,33,,,,,,,-0.42996018181818185,13,,36,15.0,,,,,,,,,,,,495,,,,-1.778990340232849,0.2,0.12189638614654541,0.0,320,-0.003163946925391059,5e-05,-0.030035506933927536,0.00013851325,0.022653567604720592,,,
,,,34,,,,,,,-0.3969193529411765,13,,37,15.0,,,,,,,,,,,,510,,,,-1.7765388369560242,0.2,-7.790767669677734,0.0,330,-0.007952391093907173,5e-05,-0.04215013235807419,0.00049090385,0.04384351875633001,,,
,,,35,,,,,,,-0.40688225714285714,13,,38,15.0,,,,,,,,,,,,525,,,,-1.7715701699256896,0.2,-2.659548044204712,0.0,340,0.0018504794411516202,5e-05,0.20827719569206238,0.00016307434,0.7129496157169342,,,
,,,36,,,,,,,-0.4153591944444444,13,,39,15.0,,,,,,,,,,,,540,,,,-1.7714042901992797,0.2,-1.4467287063598633,0.0,350,-0.0011837478634937782,5e-05,0.004736736416816711,2.9345354e-05,0.10180942118167877,,,
,,,37,,,,,,,-0.42354405405405404,13,,40,15.0,,,,,,,,,,,,555,,,,-1.7721793532371521,0.2,0.20523858070373535,0.0,360,-0.002166394885340761,5e-05,-0.0360398031771183,8.256038e-05,0.01825528424233198,,,
,,,38,,,,,,,-0.3944091842105263,13,,41,15.0,,,,,,,,,,,,570,,,,-1.7686354875564576,0.2,-0.9011363983154297,0.0,370,-0.007921394254857005,5e-05,-0.046536292880773544,0.0006721218,0.02324277414008975,,,
,,,39,,,,,,,-0.40297005128205127,13,,42,15.0,,,,,,,,,,,,585,,,,-1.764337134361267,0.2,-3.631267547607422,0.0,380,-0.0037336445335910185,5e-05,0.29221010208129883,0.00025780202,0.8732636749744416,,,
,,,40,,,,,,,-0.41173295000000004,13,,43,15.0,,,,,,,,,,,,600,,,,-1.764877450466156,0.2,0.10239946842193604,0.0,390,-0.0034235892394399057,5e-05,-0.00943341851234436,0.0001249075,0.0961366631090641,,,
