time/total_timesteps,params/n_steps,params/batch_size,params/sde_sample_freq,params/clip_range_vf,params/clip_range,rollout/ep_len_mean,time/fps,params/device,rollout/ep_rew_mean,params/normalize_advantage,params/seed,params/ent_coef,params/n_epochs,params/gae_lambda,params/learning_rate,params/policy,params/verbose,time/iterations,time/time_elapsed,params/max_grad_norm,params/target_kl,params/policy_kwargs,params/_init_setup_model,params/gamma,params/vf_coef,params/stats_window_size,params/use_sde,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,mean_reward,eval/mean_reward,eval/mean_ep_length
60,60,256,-1,,0.2,15.0,13,"auto",-0.016986,True,42,0.03,15,0.95,<function learning_rate_schedule.<locals>.<lambda> at 0x354bafc10>,"MlpLstmPolicy",1,1,4,0.7,0.01,{'net_arch': [{'pi': [128, 128], 'vf': [128, 128]}], 'n_lstm_layers': 1, 'lstm_hidden_size': 128},True,0.99,0.5,100,False,,,,,,,,,,,,,
120,,,,,,15.0,13,,-0.381906875,,,,,,,,,2,8,,,,,,,,,-1.7913334369659424,-0.008773801818800475,9.999850000000001e-05,15,0.0,-0.041031211614608765,0.0015512694,0.054993391036987305,0.2,0.1438754456738631,,,
180,,,,,,15.0,13,,-0.37231133333333327,,,,,,,,,3,13,,,,,,,,,-1.7883561770121257,-0.007875831582479976,9.9997e-05,30,0.0,-0.045393042266368866,0.0012752116,0.14918160438537598,0.2,0.13943853862583638,,,
240,,,,,,15.0,13,,-0.3678266875,,,,,,,,,4,17,,,,,,,,,-1.7825834274291992,-0.0070348473432629175,9.99955e-05,45,0.0,0.001347362995147705,0.0025582213,-0.3140619993209839,0.2,0.2075008898973465,,,
300,,,,,,15.0,13,,-0.43809380000000003,,,,,,,,,5,22,,,,,,,,,-1.7750502268473307,-0.005270385780992607,9.9994e-05,60,0.0,-0.009728778153657913,0.0035508166,0.008407652378082275,0.2,0.1678356111049652,,,
360,,,,,,15.0,13,,-0.43432650000000006,,,,,,,,,6,26,,,,,,,,,-1.7649643421173096,-0.01481076270807525,9.999250000000001e-05,75,0.008888889104127884,-0.07677304744720459,0.00570198,-0.355460524559021,0.2,0.029031984756390253,,,
420,,,,,,15.0,13,,-0.41960203571428584,,,,,,,,,7,31,,,,,,,,,-1.7404944976170857,-0.00043634914831874503,9.999100000000001e-05,90,0.0,0.03087516874074936,0.0020597845,-0.4351459741592407,0.2,0.22167319456736248,,,
480,,,,,,15.0,13,,-0.41475653125,,,,,,,,,8,36,,,,,,,,,-1.7247715632120768,-0.010932868489116032,9.99895e-05,105,0.004444444676240286,0.013551868498325348,0.0059104087,-0.5453000068664551,0.2,0.22683291335900624,,,
540,,,,,,15.0,13,,-0.4112595,,,,,,,,,9,41,,,,,,,,,-1.6746645058904375,-0.02508602474062219,9.9988e-05,120,0.0500000004789659,-0.009101375937461853,0.015708849,-0.729688286781311,0.2,0.22946915349790029,,,
600,,,,,,15.0,13,,-0.4428942,,,,,,,,,10,45,,,,,,,,,-1.6265499273935953,-0.005187466076232431,9.99865e-05,135,0.0,-0.031890012323856354,0.0027648488,-0.09532713890075684,0.2,0.13625052571296692,,,
