,xp_made,xp_att,fg_made,fg_att,fg_1_19_made,fg_20_29_made,fg_30_39_made,fg_40_49_made,fg_50_made,fg_miss,fpts,source,source_url,gp,fg_longest,fg_1_19_att,fg_20_29_att,fg_30_39_att,fg_40_49_att,fg_50_att,fp_per_game,fpts_halfppr_adjust,fg_0_19_made,fpts_ci,rank_pos,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_plus,name_match,src_player_name,sleeper_row,sleeper_id,full_name,team,position
0,56.3,58.2,23.6,27.9,0.0,7.8,7.4,4.8,3.7,4.3,114.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18,,,,,,,,,,,,,,,,,,"('Jake Moody', 100.0, 88)",Jake Moody,88.0,10937,Jake Moody,SF,K
1,49,50.0,29.0,35.0,0.227,8.4,9.4,6.5,4.82,,136.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.227,8.5,10.7,9.7,4.82,8.0,False,,,,,,,,,"('Jake Moody', 100.0, 88)",Jake Moody,88.0,10937,Jake Moody,SF,K
2,49,50.0,29.0,35.0,0.227,8.4,9.4,6.5,4.82,,136.0,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,17,—,0.227,8.5,10.7,9.7,4.82,8.0,False,,,,,,,,,"('Jake Moody', 100.0, 88)",Jake Moody,88.0,10937,Jake Moody,SF,K
3,48,,,,,7,9,7,4,,137.0,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,17,,,,,,,,False,-,,,,,,,,"('Jake Moody', 90.0, 88)",Jake Moody K - SF,88.0,10937,Jake Moody,SF,K
4,43,,,,,5,7,7,3,,115.0,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,15,,,,,,,,False,-,,,,,,,,"('Jake Moody', 85.5, 88)",Jake Bates K - DET,88.0,10937,Jake Moody,SF,K
5,55,,26.0,30.0,,,,,,,133.0,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,,,,,,,,,,,,,,,,,,"('Jake Moody', 100.0, 88)",Jake Moody,88.0,10937,Jake Moody,SF,K
6,46.71,,24.4,31.04,,,,,,,129.26,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,,,,,,,,,False,,115.18-143.34,#28,0.38,8.35,7.65,6.72,1.32,"('Jake Moody', 90.0, 88)","Jake Moody  J. Moody  (K, SF)",88.0,10937,Jake Moody,SF,K
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11533,Brandon Aubrey,DAL,K
8,44.0,44.1,34.2,39.1,0.0,10.9,11.6,9.1,2.5,4.9,131.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18,,,,,,,,,,,,,,,,,,"('Justin Tucker', 100.0, 197)",Justin Tucker,197.0,1264,Justin Tucker,BAL,K
9,51,52.0,32.0,36.0,0.251,9,8.9,10.4,3.17,,147.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.252,9.1,9,11.6,3.17,8.6,False,,,,,,,,,"('Justin Tucker', 100.0, 197)",Justin Tucker,197.0,1264,Justin Tucker,BAL,K
10,51,52.0,32.0,36.0,0.251,9.0,8.9,10.4,3.17,,147.0,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,17,—,0.252,9.1,9.0,11.6,3.17,8.6,False,,,,,,,,,"('Justin Tucker', 100.0, 197)",Justin Tucker,197.0,1264,Justin Tucker,BAL,K
11,48,,,,,8,9,9,5,,151.0,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,17,,,,,,,,False,-,,,,,,,,"('Justin Tucker', 90.0, 197)",Justin Tucker K - BAL,197.0,1264,Justin Tucker,BAL,K
12,41,,34.0,39.0,,,,,,,143.0,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,,,,,,,,,,,,,,,,,,"('Justin Tucker', 100.0, 197)",Justin Tucker,197.0,1264,Justin Tucker,BAL,K
13,47.35,,27.63,33.18,,,,,,,139.84,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,,,,,,,,,False,,125.82-153.86,#15,0.48,10.04,9.58,5.51,2.05,"('Justin Tucker', 90.0, 197)","Justin Tucker  J. Tucker  (K, BAL)",197.0,1264,Justin Tucker,BAL,K
14,32.3,33.6,25.4,30.8,0.0,3.9,9.6,8.3,3.6,5.4,92.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18,,,,,,,,,,,,,,,,,,"('Brandon McManus', 100.0, 310)",Brandon McManus,310.0,1433,Brandon McManus,,K
15,9,,,,,1,2,2,1,,29.0,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,4,,,,,,,,False,-,,,,,,,,"('Brandon McManus', 95.0, 310)",Brandon McManus K,310.0,1433,Brandon McManus,,K
16,11,,5.0,6.0,,,,,,,26.0,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,,,,,,,,,,,,,,,,,,"('Brandon McManus', 100.0, 310)",Brandon McManus,310.0,1433,Brandon McManus,,K
17,0.0,,0.0,0.0,,,,,,,0.0,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,,,,,,,,,False,,0-0,#33,0.0,0.0,0.0,0.0,0.0,"('Brandon McManus', 90.0, 310)","Brandon McManus  B. McManus  (K, WSH)",310.0,1433,Brandon McManus,,K
18,34.8,35.3,34.1,39.2,0.0,9.0,11.8,8.0,5.2,5.2,121.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18,,,,,,,,,,,,,,,,,,"('Jason Myers', 100.0, 292)",Jason Myers,292.0,2747,Jason Myers,SEA,K
19,42,43.0,35.0,42.0,0.276,7.7,12,10.2,4.55,,147.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.276,7.8,13.2,12.3,4.55,8.6,False,,,,,,,,,"('Jason Myers', 100.0, 292)",Jason Myers,292.0,2747,Jason Myers,SEA,K
20,42,43.0,35.0,42.0,0.276,7.7,12.0,10.2,4.55,,147.0,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info,17,—,0.276,7.8,13.2,12.3,4.55,8.6,False,,,,,,,,,"('Jason Myers', 100.0, 292)",Jason Myers,292.0,2747,Jason Myers,SEA,K
21,38,,,,,7,9,7,5,,132.0,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,17,,,,,,,,False,-,,,,,,,,"('Jason Myers', 90.0, 292)",Jason Myers K - SEA,292.0,2747,Jason Myers,SEA,K
22,35,,33.0,39.0,,,,,,,134.0,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=4,,,,,,,,,,,,,,,,,,"('Jason Myers', 100.0, 292)",Jason Myers,292.0,2747,Jason Myers,SEA,K
23,43.07,,27.96,33.37,,,,,,,139.22,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/k,,,,,,,,,False,,122.52-155.92,#16,0.26,8.26,9.63,7.32,2.48,"('Jason Myers', 90.0, 292)","Jason Myers  J. Myers  (K, SEA)",292.0,2747,Jason Myers,SEA,K
